|chapter|sec|no|content|lang
0|1|1|1|以色列的眾子，各帶家眷，和雅各一同來到埃及。他們的名字記在下面。|zh
1|1|1|1|Now these are the names of the sons of Israel who came into Egypt; every man and his family came with Jacob.|en
2|1|2|2|有流便、西緬、利未、猶大、|zh
3|1|2|2|Reuben, Simeon, Levi, and Judah;|en
4|1|3|3|以薩迦、西布倫、便雅憫、|zh
5|1|3|3|Issachar, Zebulun, and Benjamin;|en
6|1|4|4|但、拿弗他利、迦得、亞設。|zh
7|1|4|4|Dan and Naphtali, Gad and Asher.|en
8|1|5|5|凡從雅各而生的，共有七十人。約瑟已經在埃及。|zh
9|1|5|5|All the offspring of Jacob were seventy persons: and Joseph had come to Egypt before them.|en
10|1|6|6|約瑟和他的弟兄，並那一代的人，都死了。|zh
11|1|6|6|Then Joseph came to his end, and all his brothers, and all that generation.|en
12|1|7|7|以色列人生養眾多，並且繁茂，極其強盛，滿了那地。|zh
13|1|7|7|And the children of Israel were fertile, increasing very greatly in numbers and in power; and the land was full of them.|en
14|1|8|8|有不認識約瑟的新王起來，治理埃及，|zh
15|1|8|8|Now a new king came to power in Egypt, who had no knowledge of Joseph.|en
16|1|9|9|對他的百姓說：看哪，這以色列民比我們還多，又比我們強盛。|zh
17|1|9|9|And he said to his people, See, the people of Israel are greater in number and in power than we are:|en
18|1|10|10|來罷，我們不如用巧計待他們，恐怕他們多起來，日後若遇甚麼爭戰的事，就連合我們的仇敵攻擊我們，離開這地去了。|zh
19|1|10|10|Let us take care for fear that their numbers may become even greater, and if there is a war, they may be joined with those who are against us, and make an attack on us, and go up out of the land.|en
20|1|11|11|於是埃及人派督工的轄制他們，加重擔苦害他們。他們為法老建造兩座積貨城，就是比東和蘭塞。|zh
21|1|11|11|So they put overseers of forced work over them, in order to make their strength less by the weight of their work. And they made store-towns for Pharaoh, Pithom and Raamses.|en
22|1|12|12|只是越發苦害他們，他們越發多起來，越發蔓延；埃及人就因以色列人愁煩。|zh
23|1|12|12|But the more cruel they were to them, the more their number increased, till all the land was full of them. And the children of Israel were hated by the Egyptians.|en
24|1|13|13|埃及人嚴嚴的使以色列人做工，|zh
25|1|13|13|And they gave the children of Israel even harder work to do:|en
26|1|14|14|使他們因做苦工覺得命苦；無論是和泥，是作磚，是作田間各樣的工，在一切的工上都嚴嚴的待他們。|zh
27|1|14|14|And made their lives bitter with hard work, making building-material and bricks, and doing all sorts of work in the fields under the hardest conditions.|en
28|1|15|15|有希伯來的兩個收生婆，一名施弗拉，一名普阿；埃及王對他們說：|zh
29|1|15|15|And the king of Egypt said to the Hebrew women who gave help at the time of childbirth (the name of the one was Shiphrah and the name of the other Puah),|en
30|1|16|16|你們為希伯來婦人收生，看他們臨盆的時候，若是男孩，就把他殺了；若是女孩，就留他存活。|zh
31|1|16|16|When you are looking after the Hebrew women in childbirth, if it is a son you are to put him to death; but if it is a daughter, she may go on living.|en
32|1|17|17|但是收生婆敬畏神，不照埃及王的吩咐行，竟存留男孩的性命。|zh
33|1|17|17|But the women had the fear of God, and did not do as the king of Egypt said, but let the male children go on living.|en
34|1|18|18|埃及王召了收生婆來，說：你們為甚麼做這事，存留男孩的性命呢？|zh
35|1|18|18|And the king of Egypt sent for the women, and said to them, Why have you done this, and let the male children go on living?|en
36|1|19|19|收生婆對法老說：因為希伯來婦人與埃及婦人不同；希伯來婦人本是健壯的（原文作活潑的），收生婆還沒有到，他們已經生產了。|zh
37|1|19|19|And they said to Pharaoh, Because the Hebrew women are not like the Egyptian women, for they are strong, and the birth takes place before we come to them.|en
38|1|20|20|神厚待收生婆。以色列人多起來，極其強盛。|zh
39|1|20|20|And the blessing of God was on these women: and the people were increased in number and became very strong.|en
40|1|21|21|收生婆因為敬畏神，神便叫他們成立家室。|zh
41|1|21|21|And because the women who took care of the Hebrew mothers had the fear of God, he gave them families.|en
42|1|22|22|法老吩咐他的眾民說：以色列人所生的男孩，你們都要丟在河裡；一切的女孩，你們要存留他的性命。|zh
43|1|22|22|And Pharaoh gave orders to all his people, saying, Every son who comes to birth is to be put into the river, but every daughter may go on living.|en
44|2|1|1|有一個利未家的人娶了一個利未女子為妻。|zh
45|2|1|1|Now a man of the house of Levi took as his wife a daughter of Levi.|en
46|2|2|2|那女人懷孕，生一個兒子，見他俊美，就藏了他三個月，|zh
47|2|2|2|And she became with child and gave birth to a Son; and when she saw that he was a beautiful child, she kept him secretly for three months.|en
48|2|3|3|後來不能再藏，就取了一個蒲草箱，抹上石漆和石油，將孩子放在裡頭，把箱子擱在河邊的蘆荻中。|zh
49|2|3|3|And when she was no longer able to keep him secret, she made him a basket out of the stems of water-plants, pasting sticky earth over it to keep the water out; and placing the baby in it she put it among the plants by the edge of the Nile.|en
50|2|4|4|孩子的姊姊遠遠站著，要知道他究竟怎麼樣。|zh
51|2|4|4|And his sister took her place at a distance to see what would become of him.|en
52|2|5|5|法老的女兒來到河邊洗澡，他的使女們在河邊行走。他看見箱子在蘆荻中，就打發一個婢女拿來。|zh
53|2|5|5|Now Pharaoh's daughter came down to the Nile to take a bath, while her women were walking by the riverside; and she saw the basket among the river-plants, and sent her servant-girl to get it.|en
54|2|6|6|他打開箱子，看見那孩子。孩子哭了，他就可憐他，說：「這是希伯來人的一個孩子。」|zh
55|2|6|6|And opening it, she saw the child, and he was crying. And she had pity on him, and said, This is one of the Hebrews' children.|en
56|2|7|7|孩子的姊姊對法老的女兒說：「我去在希伯來婦人中叫一個奶媽來，為你奶這孩子，可以不可以？」|zh
57|2|7|7|Then his sister said to Pharaoh's daughter, May I go and get you one of the Hebrew women to give him the breast?|en
58|2|8|8|法老的女兒說：「可以。」童女就去叫了孩子的母親來。|zh
59|2|8|8|And Pharaoh's daughter said to her, Go. And the girl went and got the child's mother.|en
60|2|9|9|法老的女兒對他說：「你把這孩子抱去，為我奶他，我必給你工價。」婦人就抱了孩子去奶他。|zh
61|2|9|9|And Pharaoh's daughter said to her, Take the child away and give it milk for me, and I will give you payment. And the woman took the child and gave it milk at her breast.|en
62|2|10|10|孩子漸長，婦人把他帶到法老的女兒那裡，就作了他的兒子。他給孩子起名叫摩西，意思說：因我把他從水裡拉出來。|zh
63|2|10|10|And when the child was older, she took him to Pharaoh's daughter and he became her son, and she gave him the name Moses, Because, she said, I took him out of the water.|en
64|2|11|11|後來，摩西長大，他出去到他弟兄那裡，看他們的重擔，見一個埃及人打希伯來人的一個弟兄。|zh
65|2|11|11|Now when Moses had become a man, one day he went out to his people and saw how hard their work was; and he saw an Egyptian giving blows to a Hebrew, one of his people.|en
66|2|12|12|他左右觀看，見沒有人，就把埃及人打死了，藏在沙土裡。|zh
67|2|12|12|And turning this way and that, and seeing no one, he put the Egyptian to death, covering his body with sand.|en
68|2|13|13|第二天他出去，見有兩個希伯來人爭鬥，就對那欺負人的說：「你為甚麼打你同族的人呢？」|zh
69|2|13|13|And he went out the day after and saw two of the Hebrews fighting: and he said to him who was in the wrong, Why are you fighting your brother?|en
70|2|14|14|那人說：「誰立你作我們的首領和審判官呢？難道你要殺我，像殺那埃及人麼？」摩西便懼怕，說：「這事必是被人知道了。」|zh
71|2|14|14|And he said, Who made you a ruler and a judge over us? are you going to put me to death as you did the Egyptian? And Moses was in fear, and said, It is clear that the thing has come to light.|en
72|2|15|15|法老聽見這事，就想殺摩西，但摩西躲避法老，逃往米甸地居住。|zh
73|2|15|15|Now when Pharaoh had news of this, he would have put Moses to death. But Moses went in flight from Pharaoh into the land of Midian: and he took his seat by a water-spring.|en
74|2|16|16|一日，他在井旁坐下。米甸的祭司有七個女兒；他們來打水，打滿了槽，要飲父親的群羊。|zh
75|2|16|16|Now the priest of Midian had seven daughters: and they came to get water for their father's flock.|en
76|2|17|17|有牧羊的人來，把他們趕走了，摩西卻起來幫助他們，又飲了他們的群羊。|zh
77|2|17|17|And the keepers of the sheep came up and were driving them away; but Moses got up and came to their help, watering their flock for them.|en
78|2|18|18|他們來到父親流珥那裡；他說：「今日你們為何來得這麼快呢？」|zh
79|2|18|18|And when they came to Reuel their father, he said, How is it that you have come back so quickly today?|en
80|2|19|19|他們說：「有一個埃及人救我們脫離牧羊人的手，並且為我們打水飲了群羊。」|zh
81|2|19|19|And they said, An Egyptian came to our help against the keepers of sheep and got water for us and gave it to the flock.|en
82|2|20|20|他對女兒們說：「那個人在那裡？你們為甚麼撇下他呢？你們去請他來吃飯。」|zh
83|2|20|20|And he said to his daughters, Where is he? why have you let the man go? make him come in and give him a meal.|en
84|2|21|21|摩西甘心和那人同住；那人把他的女兒西坡拉給摩西為妻。|zh
85|2|21|21|And Moses was happy to go on living with the man; and he gave his daughter Zipporah to Moses.|en
86|2|22|22|西坡拉生了一個兒子，摩西給他起名叫革舜，意思說：「因我在外邦作了寄居的。」|zh
87|2|22|22|And she gave birth to a son, to whom he gave the name Gershom: for he said, I have been living in a strange land.|en
88|2|23|23|過了多年，埃及王死了。以色列人因做苦工，就歎息哀求，他們的哀聲達於神。|zh
89|2|23|23|Now after a long time the king of Egypt came to his end: and the children of Israel were crying in their grief under the weight of their work, and their cry for help came to the ears of God.|en
90|2|24|24|神聽見他們的哀聲，就記念他與亞伯拉罕、以撒、雅各所立的約。|zh
91|2|24|24|And at the sound of their weeping the agreement which God had made with Abraham and Isaac and Jacob came to his mind.|en
92|2|25|25|神看顧以色列人，也知道他們的苦情。|zh
93|2|25|25|And God's eyes were turned to the children of Israel and he gave them the knowledge of himself.|en
94|3|1|1|摩西牧養他岳父米甸祭司葉忒羅的羊群；一日領羊群往野外去，到了神的山，就是何烈山。|zh
95|3|1|1|Now Moses was looking after the flock of Jethro, his father-in-law, the priest of Midian: and he took the flock to the back of the waste land and came to Horeb, the mountain of God.|en
96|3|2|2|耶和華的使者從荊棘裡火燄中向摩西顯現。摩西觀看，不料，荊棘被火燒著，卻沒有燒燬。|zh
97|3|2|2|And the angel of the Lord was seen by him in a flame of fire coming out of a thorn-tree: and he saw that the tree was on fire, but it was not burned up.|en
98|3|3|3|摩西說：我要過去看這大異象，這荊棘為何沒有燒壞呢？|zh
99|3|3|3|And Moses said, I will go and see this strange thing, why the tree is not burned up,|en
100|3|4|4|耶和華神見他過去要看，就從荊棘裡呼叫說：摩西！摩西！他說：我在這裡。|zh
101|3|4|4|And when the Lord saw him turning to one side to see, God said his name out of the tree, crying, Moses, Moses. And he said, Here am I.|en
102|3|5|5|神說：不要近前來。當把你腳上的鞋脫下來，因為你所站之地是聖地；|zh
103|3|5|5|And he said, Do not come near: take off your shoes from your feet, for the place where you are is holy.|en
104|3|6|6|又說：我是你父親的神，是亞伯拉罕的　神，以撒的　神，雅各的　神。摩西蒙上臉，因為怕看　神。|zh
105|3|6|6|And he said, I am the God of your fathers, the God of Abraham, the God of Isaac, and the God of Jacob. And Moses kept his face covered for fear of looking on God.|en
106|3|7|7|耶和華說：我的百姓在埃及所受的困苦，我實在看見了；他們因受督工的轄制所發的哀聲，我也聽見了。我原知道他們的痛苦，|zh
107|3|7|7|And God said, Truly, I have seen the grief of my people in Egypt, and their cry because of their cruel masters has come to my ears; for I have knowledge of their sorrows;|en
108|3|8|8|我下來是要救他們脫離埃及人的手，領他們出了那地，到美好、寬闊、流奶與蜜之地，就是到迦南人、赫人、亞摩利人、比利洗人、希未人、耶布斯人之地。|zh
109|3|8|8|And I have come down to take them out of the hands of the Egyptians, guiding them out of that land into a good land and wide, into a land flowing with milk and honey; into the place of the Canaanite and the Hittite and the Amorite and the Perizzite and the Hivite and the Jebusite.|en
110|3|9|9|現在以色列人的哀聲達到我耳中，我也看見埃及人怎樣欺壓他們。|zh
111|3|9|9|For now, truly, the cry of the children of Israel has come to me, and I have seen the cruel behaviour of the Egyptians to them.|en
112|3|10|10|故此，我要打發你去見法老，使你可以將我的百姓以色列人從埃及領出來。|zh
113|3|10|10|Come, then, and I will send you to Pharaoh, so that you may take my people, the children of Israel, out of Egypt.|en
114|3|11|11|摩西對神說：我是甚麼人，竟能去見法老，將以色列人從埃及領出來呢？|zh
115|3|11|11|And Moses said to God, Who am I to go to Pharaoh and take the children of Israel out of Egypt?|en
116|3|12|12|神說：我必與你同在。你將百姓從埃及領出來之後，你們必在這山上事奉我；這就是我打發你去的證據。|zh
117|3|12|12|And he said, Truly I will be with you; and this will be the sign to you that I have sent you: when you have taken the children of Israel out of Egypt, you will give worship to God on this mountain.|en
118|3|13|13|摩西對神說：我到以色列人那裡，對他們說：你們祖宗的　神打發我到你們這裡來。他們若問我說：他叫甚麼名字？我要對他們說甚麼呢？|zh
119|3|13|13|And Moses said to God, When I come to the children of Israel and say to them, The God of your fathers has sent me to you: and they say to me, What is his name? what am I to say to them?|en
120|3|14|14|神對摩西說：我是自有永有的；又說：你要對以色列人這樣說：那自有的打發我到你們這裡來。|zh
121|3|14|14|And God said to him, I AM WHAT I AM: and he said, Say to the children of Israel, I AM has sent me to you.|en
122|3|15|15|神又對摩西說：你要對以色列人這樣說：耶和華─你們祖宗的神，就是亞伯拉罕的　神，以撒的　神，雅各的　神，打發我到你們這裡來。耶和華是我的名，直到永遠；這也是我的紀念，直到萬代。|zh
123|3|15|15|And God went on to say to Moses, Say to the children of Israel, The Lord, the God of your fathers, the God of Abraham, of Isaac, and of Jacob, has sent me to you: this is my name for ever, and this is my sign to all generations.|en
124|3|16|16|你去招聚以色列的長老，對他們說：耶和華你們祖宗的神，就是亞伯拉罕的　神，以撒的　神，雅各的　神，向我顯現，說：我實在眷顧了你們，我也看見埃及人怎樣待你們。|zh
125|3|16|16|Go and get together the chiefs of the children of Israel, and say to them, The Lord, the God of your fathers, the God of Abraham, of Isaac, and of Jacob, has been seen by me, and has said, Truly I have taken up your cause, because of what is done to you in Egypt;|en
126|3|17|17|我也說：要將你們從埃及的困苦中領出來，往迦南人、赫人、亞摩利人、比利洗人、希未人、耶布斯人的地去，就是到流奶與蜜之地。|zh
127|3|17|17|And I have said, I will take you up out of the sorrows of Egypt into the land of the Canaanite and the Hittite and the Amorite and the Perizzite and the Hivite and the Jebusite, into a land flowing with milk and honey.|en
128|3|18|18|他們必聽你的話。你和以色列的長老要去見埃及王，對他說：耶和華希伯來人的神遇見了我們，現在求你容我們往曠野去，走三天的路程，為要祭祀耶和華我們的　神。|zh
129|3|18|18|And they will give ear to your voice: and you, with the chiefs of Israel, will go to Pharaoh, the king of Egypt, and say to him, The Lord, the God of the Hebrews, has come to us: let us then go three days' journey into the waste land to make an offering to the Lord our God.|en
130|3|19|19|我知道雖用大能的手，埃及王也不容你們去。|zh
131|3|19|19|And I am certain that the king of Egypt will not let you go without being forced.|en
132|3|20|20|我必伸手在埃及中間施行我一切的奇事，攻擊那地，然後他才容你們去。|zh
133|3|20|20|But I will put out my hand and overcome Egypt with all the wonders which I will do among them: and after that he will let you go.|en
134|3|21|21|我必叫你們在埃及人眼前蒙恩，你們去的時候就不至於空手而去。|zh
135|3|21|21|And I will give this people grace in the eyes of the Egyptians, so that when you go out you will go out with your hands full.|en
136|3|22|22|但各婦女必向他的鄰舍，並居住在他家裡的女人，要金器銀器和衣裳，好給你們的兒女穿戴。這樣你們就把埃及人的財物奪去了。|zh
137|3|22|22|For every woman will get from her neighbour and from the woman living in her house, ornaments of silver and gold, and clothing; and you will put them on your sons and your daughters; you will take the best of their goods from the Egyptians.|en
138|4|1|1|摩西回答說：他們必不信我，也不聽我的話，必說：耶和華並沒有向你顯現。|zh
139|4|1|1|And Moses, answering, said, It is certain that they will not have faith in me or give ear to my voice; for they will say, You have not seen the Lord.|en
140|4|2|2|耶和華對摩西說：你手裡是甚麼？他說：是杖。|zh
141|4|2|2|And the Lord said to him, What is that in your hand? And he said, A rod.|en
142|4|3|3|耶和華說：丟在地上。他一丟下去，就變作蛇；摩西便跑開。|zh
143|4|3|3|And he said, Put it down on the earth. And he put it down on the earth and it became a snake; and Moses went running from it.|en
144|4|4|4|耶和華對摩西說：伸出手來，拿住他的尾巴，他必在你手中仍變為杖；|zh
