idx|chapter|sec|no|content|lang
0|1|1|1|起初，神創造天地a。|zh
1|1|1|1|At the first God made the heaven and the earth.|en
2|1|2|2|地是空虛混沌，淵面黑暗；神的靈運行在水面上。|zh
3|1|2|2|And the earth was waste and without form; and it was dark on the face of the deep: and the Spirit of God was moving on the face of the waters.|en
4|1|3|3|神說：要有光，就有了光。|zh
5|1|3|3|And God said, Let there be light: and there was light.|en
6|1|4|4|神看光是好的，就把光暗分開了。|zh
7|1|4|4|And God, looking on the light, saw that it was good: and God made a division between the light and the dark,|en
8|1|5|5|神稱光為晝，稱暗為夜。有晚上，有早晨，這是頭一日。|zh
9|1|5|5|Naming the light, Day, and the dark, Night. And there was evening and there was morning, the first day.|en
10|1|6|6|神說：諸水之間要有空氣，將水分為上下。|zh
11|1|6|6|And God said, Let there be a solid arch stretching over the waters, parting the waters from the waters.|en
12|1|7|7|神就造出空氣，將空氣以下的水、空氣以上的水分開了。事就這樣成了。|zh
13|1|7|7|And God made the arch for a division between the waters which were under the arch and those which were over it: and it was so.|en
14|1|8|8|神稱空氣為天。有晚上，有早晨，是第二日。|zh
15|1|8|8|And God gave the arch the name of Heaven. And there was evening and there was morning, the second day.|en
16|1|9|9|神說：天下的水要聚在一處，使旱地露出來。事就這樣成了。|zh
17|1|9|9|And God said, Let the waters under the heaven come together in one place, and let the dry land be seen: and it was so.|en
18|1|10|10|神稱旱地為地，稱水的聚處為海。神看著是好的。|zh
19|1|10|10|And God gave the dry land the name of Earth; and the waters together in their place were named Seas: and God saw that it was good.|en
20|1|11|11|神說：地要發生青草和結種子的菜蔬，並結果子的樹木，各從其類，果子都包著核。事就這樣成了。|zh
21|1|11|11|And God said, Let grass come up on the earth, and plants producing seed, and fruit-trees giving fruit, in which is their seed, after their sort: and it was so.|en
22|1|12|12|於是地發生了青草和結種子的菜蔬，各從其類；並結果子的樹木，各從其類；果子都包著核。神看著是好的。|zh
23|1|12|12|And grass came up on the earth, and every plant producing seed of its sort, and every tree producing fruit, in which is its seed, of its sort: and God saw that it was good.|en
24|1|13|13|有晚上，有早晨，是第三日。|zh
25|1|13|13|And there was evening and there was morning, the third day.|en
26|1|14|14|神說：天上要有光體，可以分晝夜，作記號，定節令、日子、年歲，|zh
27|1|14|14|And God said, Let there be lights in the arch of heaven, for a division between the day and the night, and let them be for signs, and for marking the changes of the year, and for days and for years:|en
28|1|15|15|並要發光在天空，普照在地上。事就這樣成了。|zh
29|1|15|15|And let them be for lights in the arch of heaven to give light on the earth: and it was so.|en
30|1|16|16|於是神造了兩個大光，大的管晝，小的管夜，又造眾星，|zh
31|1|16|16|And God made the two great lights: the greater light to be the ruler of the day, and the smaller light to be the ruler of the night: and he made the stars.|en
32|1|17|17|就把這些光擺列在天空，普照在地上，|zh
33|1|17|17|And God put them in the arch of heaven, to give light on the earth;|en
34|1|18|18|管理晝夜，分別明暗。神看著是好的。|zh
35|1|18|18|To have rule over the day and the night, and for a division between the light and the dark: and God saw that it was good.|en
36|1|19|19|有晚上，有早晨，是第四日。|zh
37|1|19|19|And there was evening and there was morning, the fourth day.|en
38|1|20|20|神說：水要多多滋生有生命的物；要有雀鳥飛在地面以上，天空之中。|zh
39|1|20|20|And God said, Let the waters be full of living things, and let birds be in flight over the earth under the arch of heaven.|en
40|1|21|21|神就造出大魚和水中所滋生各樣有生命的動物，各從其類；又造出各樣飛鳥，各從其類。神看著是好的。|zh
41|1|21|21|And God made great sea-beasts, and every sort of living and moving thing with which the waters were full, and every sort of winged bird: and God saw that it was good.|en
42|1|22|22|神就賜福給這一切，說：滋生繁多，充滿海中的水；雀鳥也要多生在地上。|zh
43|1|22|22|And God gave them his blessing, saying, Be fertile and have increase, making all the waters of the seas full, and let the birds be increased in the earth.|en
44|1|23|23|有晚上，有早晨，是第五日。|zh
45|1|23|23|And there was evening and there was morning, the fifth day.|en
46|1|24|24|神說：地要生出活物來，各從其類；牲畜、昆蟲、地上的野獸，各從其類。事就這樣成了。|zh
47|1|24|24|And God said, Let the earth give birth to all sorts of living things, cattle and all things moving on the earth, and beasts of the earth after their sort: and it was so.|en
48|1|25|25|於是神造出野獸，各從其類；牲畜，各從其類；地上一切昆蟲，各從其類。　神看著是好的。|zh
49|1|25|25|And God made the beast of the earth after its sort, and the cattle after their sort, and everything moving on the face of the earth after its sort: and God saw that it was good.|en
50|1|26|26|神說：我們要照著我們的形像、按著我們的樣式造人，使他們管理海裡的魚、空中的鳥、地上的牲畜，和全地，並地上所爬的一切昆蟲。|zh
51|1|26|26|And God said, Let us make man in our image, like us: and let him have rule over the fish of the sea and over the birds of the air and over the cattle and over all the earth and over every living thing which goes flat on the earth.|en
52|1|27|27|神就照著自己的形像造人，乃是照著他的形像造男造女。|zh
53|1|27|27|And God made man in his image, in the image of God he made him: male and female he made them.|en
54|1|28|28|神就賜福給他們，又對他們說：要生養眾多，遍滿地面，治理這地，也要管理海裡的魚、空中的鳥，和地上各樣行動的活物。|zh
55|1|28|28|And God gave them his blessing and said to them, Be fertile and have increase, and make the earth full and be masters of it; be rulers over the fish of the sea and over the birds of the air and over every living thing moving on the earth.|en
56|1|29|29|神說：看哪，我將遍地上一切結種子的菜蔬和一切樹上所結有核的果子全賜給你們作食物。|zh
57|1|29|29|And God said, See, I have given you every plant producing seed, on the face of all the earth, and every tree which has fruit producing seed: they will be for your food:|en
58|1|30|30|至於地上的走獸和空中的飛鳥，並各樣爬在地上有生命的物，我將青草賜給他們作食物。事就這樣成了。|zh
59|1|30|30|And to every beast of the earth and to every bird of the air and every living thing moving on the face of the earth I have given every green plant for food: and it was so.|en
60|1|31|31|神看著一切所造的都甚好。有晚上，有早晨，是第六日。|zh
61|1|31|31|And God saw everything which he had made and it was very good. And there was evening and there was morning, the sixth day.|en
62|2|1|1|天地萬物都造齊了。|zh
63|2|1|1|And the heaven and the earth and all things in them were complete.|en
64|2|2|2|到第七日，神造物的工已經完畢，就在第七日歇了他一切的工，安息了。|zh
65|2|2|2|And on the seventh day God came to the end of all his work; and on the seventh day he took his rest from all the work which he had done.|en
66|2|3|3|神賜福給第七日，定為聖日；因為在這日，神歇了他一切創造的工，就安息了。|zh
67|2|3|3|And God gave his blessing to the seventh day and made it holy: because on that day he took his rest from all the work which he had made and done.|en
68|2|4|4|創造天地的來歷，在耶和華神造天地的日子，乃是這樣，|zh
69|2|4|4|These are the generations of the heaven and the earth when they were made.|en
70|2|5|5|野地還沒有草木，田間的菜蔬還沒有長起來；因為耶和華神還沒有降雨在地上，也沒有人耕地，|zh
71|2|5|5|In the day when the Lord God made earth and heaven there were no plants of the field on the earth, and no grass had come up: for the Lord God had not sent rain on the earth and there was no man to do work on the land.|en
72|2|6|6|但有霧氣從地上騰，滋潤遍地。|zh
73|2|6|6|But a mist went up from the earth, watering all the face of the land.|en
74|2|7|7|耶和華神用地上的塵土造人，將生氣吹在他鼻孔裡，他就成了有靈的活人，名叫亞當。|zh
75|2|7|7|And the Lord God made man from the dust of the earth, breathing into him the breath of life: and man became a living soul.|en
76|2|8|8|耶和華神在東方的伊甸立了一個園子，把所造的人安置在那裡。|zh
77|2|8|8|And the Lord God made a garden in the east, in Eden; and there he put the man whom he had made.|en
78|2|9|9|耶和華神使各樣的樹從地裡長出來，可以悅人的眼目，其上的果子好作食物。園子當中又有生命樹和分別善惡的樹。|zh
79|2|9|9|And out of the earth the Lord made every tree to come, delighting the eye and good for food; and in the middle of the garden, the tree of life and the tree of the knowledge of good and evil.|en
80|2|10|10|有河從伊甸流出來，滋潤那園子，從那裡分為四道：|zh
