|chapter|sec|no|content|lang
0|1|1|1|為基督耶穌被囚的保羅，同兄弟提摩太寫信給我們所親愛的同工腓利門，|zh
1|1|1|1|Paul, a prisoner of Jesus Christ, and Timothy our brother, to Philemon, our dear helper in the faith,|en
2|1|2|2|和妹子亞腓亞並與我們同當兵的亞基布，以及在你家的教會。|zh
3|1|2|2|And to Apphia, our sister, and to Archippus, our brother in God's army, and to the church in your house:|en
4|1|3|3|願恩惠、平安從神我們的父和主耶穌基督歸與你們！|zh
5|1|3|3|Grace to you and peace from God our Father and the Lord Jesus Christ.|en
6|1|4|4|我禱告的時候提到你，常為你感謝我的神；|zh
7|1|4|4|I give praise to God at all times and make prayer for you,|en
8|1|5|5|因聽說你的愛心並你向主耶穌和眾聖徒的信心（或作：因聽說你向主耶穌和眾聖徒有愛心有信心）。|zh
9|1|5|5|Hearing of the love and the faith which you have to the Lord Jesus and to all the saints;|en
10|1|6|6|願你與人所同有的信心顯出功效，使人知道你們各樣善事都是為基督做的。|zh
11|1|6|6|That the faith which you have in common with them may be working with power, in the knowledge of every good thing in you, for Christ.|en
12|1|7|7|兄弟阿，我為你的愛心，大有快樂，大得安慰，因眾聖徒的心從你得了暢快。|zh
13|1|7|7|For I had great joy and comfort in your love, because the hearts of the saints have been made strong again through you, brother.|en
14|1|8|8|我雖然靠著基督能放膽吩咐你合宜的事；|zh
15|1|8|8|And so, though I might, in the name of Christ, give you orders to do what is right,|en
16|1|9|9|然而像我這有年紀的保羅，現在又是為基督耶穌被囚的，寧可憑著愛心求你，|zh
17|1|9|9|Still, because of love, in place of an order, I make a request to you, I, Paul, an old man and now a prisoner of Christ Jesus:|en
18|1|10|10|就是為我在捆鎖中所生的兒子阿尼西母（就是有益處的意思）求你。|zh
19|1|10|10|My request is for my child Onesimus, the child of my chains,|en
20|1|11|11|他從前與你沒有益處，但如今與你我都有益處。|zh
21|1|11|11|Who in the past was of no profit to you, but now is of profit to you and to me:|en
22|1|12|12|我現在打發他親自回你那裡去，他是我心上的人。|zh
23|1|12|12|Whom I have sent back to you, him who is my very heart:|en
24|1|13|13|我本來有意將他留下，在我為福音所受的捆鎖中替你伺候我。|zh
25|1|13|13|Though my desire was to keep him with me, to be my servant in the chains of the good news, in your place:|en
26|1|14|14|但不知道你的意思，我就不願意這樣行，叫你的善行不是出於勉強，乃是出於甘心。|zh
27|1|14|14|But without your approval I would do nothing; so that your good works might not be forced, but done freely from your heart.|en
28|1|15|15|他暫時離開你，或者是叫你永遠得著他，|zh
29|1|15|15|For it is possible that for this reason he was parted from you for a time, so that you might have him for ever;|en
30|1|16|16|不再是奴僕，乃是高過奴僕，是親愛的兄弟。在我實在是如此，何況在你呢！這也不拘是按肉體說，是按主說，|zh
31|1|16|16|No longer as a servant, but more than a servant, a brother, very dear to me specially, but much more to you, in the flesh as well as in the Lord.|en
32|1|17|17|你若以我為同伴，就收納他，如同收納我一樣。|zh
33|1|17|17|If then you take me to be your friend and brother, take him in as myself.|en
34|1|18|18|他若虧負你，或欠你甚麼，都歸在我的賬上，|zh
35|1|18|18|If he has done you any wrong or is in debt to you for anything, put it to my account.|en
36|1|19|19|我必償還。這是我保羅親筆寫的。我並不用對你說，連你自己也是虧欠於我。|zh
37|1|19|19|I, Paul, writing this myself, say, I will make payment to you: and I do not say to you that you are in debt to me even for your life.|en
38|1|20|20|兄弟阿，望你使我在主裡因你得快樂（或作：益處）並望你使我的心在基督裡得暢快。|zh
39|1|20|20|So brother, let me have joy of you in the Lord: give new life to my heart in Christ.|en
40|1|21|21|我寫信給你，深信你必順服，知道你所要行的，必過於我所說的。|zh
41|1|21|21|Being certain that you will do my desire, I am writing to you, in the knowledge that you will do even more than I say.|en
42|1|22|22|此外你還要給我預備住處；因為我盼望藉著你們的禱告，必蒙恩到你們那裡去。|zh
43|1|22|22|And make a room ready for me; for I am hoping that through your prayers I will be given to you.|en
44|1|23|23|為基督耶穌與我同坐監的以巴弗問你安。|zh
45|1|23|23|Epaphras, my brother-prisoner in Christ Jesus, sends you his love;|en
46|1|24|24|與我同工的馬可、亞里達古、底馬、路加、也都問你安。|zh
47|1|24|24|And so do Mark, Aristarchus, Demas, and Luke, my brother-workers.|en
48|1|25|25|願我們主耶穌基督的恩常在你的心裡。阿們！|zh
49|1|25|25|The grace of our Lord Jesus Christ be with your spirit. So be it.|en
