|chapter|sec|no|content|lang
0|1|1|1|大利烏王第二年六月初一日，耶和華的話藉先知哈該向猶大省長撒拉鐵的兒子所羅巴伯和約撒答的兒子大祭司約書亞說：|zh
1|1|1|1|In the second year of Darius the king, in the sixth month, on the first day of the month, came the word of the Lord by Haggai the prophet to Zerubbabel, the son of Shealtiel, ruler of Judah, and to Joshua, the son of Jehozadak, the high priest, saying,|en
2|1|2|2|萬軍之耶和華如此說：這百姓說，建造耶和華殿的時候尚未來到。|zh
3|1|2|2|These are the words of the Lord of armies: These people say, The time has not come for building the Lord's house.|en
4|1|3|3|那時耶和華的話臨到先知哈該說：|zh
5|1|3|3|Then the word of the Lord came by Haggai the prophet, saying,|en
6|1|4|4|這殿仍然荒涼，你們自己還住天花板的房屋麼？|zh
7|1|4|4|Is it a time for you to be living in roofed houses while this house is a waste?|en
8|1|5|5|現在萬軍之耶和華如此說：你們要省察自己的行為。|zh
9|1|5|5|For this cause the Lord of armies has said, Give thought to your ways.|en
10|1|6|6|你們撒的種多，收的卻少；你們吃，卻不得飽；喝，卻不得足；穿衣服，卻不得暖；得工錢的，將工錢裝在破漏的囊中。|zh
11|1|6|6|Much has been planted, but little got in; you take food, but have not enough; you take drink, but are not full; you are clothed, but no one is warm; and he who gets payment for his work, gets it to put it into a bag full of holes.|en
12|1|7|7|萬軍之耶和華如此說：你們要省察自己的行為。|zh
13|1|7|7|This is what the Lord of armies has said: Give thought to your ways.|en
14|1|8|8|你們要上山取木料，建造這殿，我就因此喜樂，且得榮耀。這是耶和華說的。|zh
15|1|8|8|Go up to the hills and get wood and put up the house; and I will take pleasure in it and be honoured, says the Lord.|en
16|1|9|9|你們盼望多得，所得的卻少；你們收到家中，我就吹去。這是為甚麼呢？因為我的殿荒涼，你們各人卻顧（原文是奔）自己的房屋。這是萬軍之耶和華說的。|zh
17|1|9|9|You were looking for much, and it came to little; and when you got it into your house, I took it away with a breath. Why? says the Lord of armies. Because of my house which is a waste, while every man takes care of the house which is his.|en
18|1|10|10|所以為你們的緣故，天就不降甘露，地也不出土產。|zh
19|1|10|10|For this cause the heaven over you is kept from giving dew, and the earth from giving her fruit.|en
20|1|11|11|我命乾旱臨到地土、山岡、五穀、新酒，和油，並地上的出產、人民、牲畜，以及人手一切勞碌得來的。|zh
21|1|11|11|And by my order no rain came on the land or on the mountains or the grain or the wine or the oil or the produce of the earth or on men or cattle or on any work of man's hands.|en
22|1|12|12|那時，撒拉鐵的兒子所羅巴伯和約撒答的兒子大祭司約書亞，並剩下的百姓，都聽從耶和華─他們神的話和先知哈該奉耶和華─他們　神差來所說的話；百姓也在耶和華面前存敬畏的心。|zh
23|1|12|12|Then Zerubbabel, the son of Shealtiel, and Joshua, the son of Jehozadak, the high priest, and all the rest of the people, gave ear to the voice of the Lord their God and to the words of Haggai the prophet, because the Lord their God had sent him, and the people were in fear before the Lord.|en
24|1|13|13|耶和華的使者哈該奉耶和華差遣對百姓說：耶和華說：我與你們同在。|zh
25|1|13|13|Then Haggai, whom the Lord had sent to give his words to the people, said, I am with you, says the Lord.|en
26|1|14|14|耶和華激動猶大省長撒拉鐵的兒子所羅巴伯和約撒答的兒子大祭司約書亞，並剩下之百姓的心，他們就來為萬軍之耶和華─他們神的殿做工。|zh
27|1|14|14|And the spirit of Zerubbabel, the son of Shealtiel, ruler of Judah, was moved by the Lord, as was the spirit of Joshua, the son of Jehozadak, the high priest, and the spirit of all the rest of the people; and they came and did work in the house of the Lord of armies, their God.|en
28|1|15|15|這是在大利烏王第二年六月二十四日。|zh
29|1|15|15|On the twenty-fourth day of the month, in the sixth month, in the second year of Darius the king.|en
30|2|1|1|七月二十一日，耶和華的話臨到先知哈該說：|zh
31|2|1|1|In the seventh month, on the twenty-first day of the month, the word of the Lord came by Haggai the prophet, saying,|en
32|2|2|2|你要曉諭猶大省長撒拉鐵的兒子所羅巴伯和約撒答的兒子大祭司約書亞，並剩下的百姓，說：|zh
33|2|2|2|Say now to Zerubbabel, the son of Shealtiel, ruler of Judah, and to Joshua, the son of Jehozadak, the high priest, and to the rest of the people,|en
34|2|3|3|你們中間存留的，有誰見過這殿從前的榮耀呢？現在你們看著如何？豈不在眼中看如無有麼？|zh
35|2|3|3|Who is there still among you who saw this house in its first glory? and how do you see it now? is it not in your eyes as nothing?|en
36|2|4|4|耶和華說：所羅巴伯啊，雖然如此，你當剛強！約撒答的兒子大祭司約書亞啊，你也當剛強！這地的百姓，你們都當剛強作工，因為我與你們同在。這是萬軍之耶和華說的。|zh
37|2|4|4|But now be strong, O Zerubbabel, says the Lord; and be strong, O Joshua, son of Jehozadak, the high priest; and be strong, all you people of the land, says the Lord, and get to work: for I am with you, says the Lord of armies:|en
38|2|5|5|這是照著你們出埃及我與你們立約的話。那時，我的靈住在你們中間，你們不要懼怕。|zh
39|2|5|5|The agreement which I made with you when you came out of Egypt, and my spirit, are with you still; have no fear.|en
40|2|6|6|萬軍之耶和華如此說：過不多時，我必再一次震動天地、滄海，與旱地。|zh
41|2|6|6|For this is what the Lord of armies has said: In a short time I will make a shaking of the heavens and the earth and the sea and the dry land;|en
42|2|7|7|我必震動萬國；萬國的珍寶必都運來（或譯：萬國所羨慕的必來到），我就使這殿滿了榮耀。這是萬軍之耶和華說的。|zh
43|2|7|7|And I will make a shaking of all the nations, and the desired things of all nations will come: and I will make this house full of my glory, says the Lord of armies.|en
44|2|8|8|萬軍之耶和華說：銀子是我的，金子也是我的。|zh
45|2|8|8|The silver is mine and the gold is mine, says the Lord of armies.|en
46|2|9|9|這殿後來的榮耀必大過先前的榮耀；在這地方我必賜平安。這是萬軍之耶和華說的。|zh
47|2|9|9|The second glory of this house will be greater than the first, says the Lord of armies: and in this place I will give peace, says the Lord of armies.|en
48|2|10|10|大利烏王第二年九月二十四日，耶和華的話臨到先知哈該說：|zh
49|2|10|10|On the twenty-fourth day of the ninth month, in the second year of Darius, the word of the Lord came by Haggai the prophet, saying,|en
50|2|11|11|萬軍之耶和華如此說：你要向祭司問律法，|zh
51|2|11|11|These are the words of the Lord of armies: Put now a point of law to the priests, saying,|en
52|2|12|12|說：若有人用衣襟兜聖肉，這衣襟挨著餅，或湯，或酒，或油，或別的食物，便算為聖麼？祭司說：不算為聖。|zh
53|2|12|12|If anyone has some holy flesh folded in the skirt of his robe, will bread or soup or wine or oil or any other food be made holy if touched by his skirt? And the priests answering said, No.|en
54|2|13|13|哈該又說：若有人因摸死屍染了污穢，然後挨著這些物的哪一樣，這物算污穢麼？祭司說：必算污穢。|zh
55|2|13|13|Then Haggai said, Will any of these be made unclean by the touch of one who is unclean through touching a dead body? And the priests answering said, It will be made unclean.|en
