|chapter|sec|no|content|lang
0|1|1|1|論到從起初原有的生命之道，就是我們所聽見、所看見、親眼看過、親手摸過的。|zh
1|1|1|1|That which was from the first, which has come to our ears, and which we have seen with our eyes, looking on it and touching it with our hands, about the Word of life|en
2|1|2|2|這生命已經顯現出來，我們也看見過，現在又作見證，將原與父同在、且顯現與我們那永遠的生命、傳給你們。|zh
3|1|2|2|(And the life was made clear to us, and we have seen it and are witnessing to it and giving you word of that eternal life which was with the Father and was seen by us);|en
4|1|3|3|我們將所看見、所聽見的傳給你們，使你們與我們相交。我們乃是與父並他兒子耶穌基督相交的。|zh
5|1|3|3|We give you word of all we have seen and everything which has come to our ears, so that you may be united with us; and we are united with the Father and with his Son Jesus Christ:|en
6|1|4|4|我們將這些話寫給你們，使你們（有古卷作：我們）的喜樂充足。|zh
7|1|4|4|And we are writing these things to you so that our joy may be made complete.|en
8|1|5|5|神就是光，在他毫無黑暗。這是我們從主所聽見、又報給你們的信息。|zh
9|1|5|5|This is the word which came to us from him and which we give to you, that God is light and in him there is nothing dark.|en
10|1|6|6|我們若說是與神相交，卻仍在黑暗裡行，就是說謊話，不行真理了。|zh
11|1|6|6|If we say we are joined to him, and are walking still in the dark, our words are false and our acts are untrue:|en
12|1|7|7|我們若在光明中行，如同神在光明中，就彼此相交，他兒子耶穌的血也洗淨我們一切的罪。|zh
13|1|7|7|But if we are walking in the light, as he is in the light, we are all united with one another, and the blood of Jesus his Son makes us clean from all sin.|en
14|1|8|8|我們若說自己無罪，便是自欺，真理不在我們心裡了。|zh
15|1|8|8|If we say that we have no sin, we are false to ourselves and there is nothing true in us.|en
16|1|9|9|我們若認自己的罪，神是信實的，是公義的，必要赦免我們的罪，洗淨我們一切的不義。|zh
17|1|9|9|If we say openly that we have done wrong, he is upright and true to his word, giving us forgiveness of sins and making us clean from all evil.|en
18|1|10|10|我們若說自己沒有犯過罪，便是以神為說謊的，他的道也不在我們心裡了。|zh
19|1|10|10|If we say that we have no sin, we make him false and his word is not in us.|en
20|2|1|1|我小子們哪，我將這些話寫給你們，是要叫你們不犯罪。若有人犯罪，在父那裡我們有一位中保，就是那義者耶穌基督。|zh
21|2|1|1|My little children, I am writing these things to you so that you may be without sin. And if any man is a sinner, we have a friend and helper with the Father, Jesus Christ, the upright one:|en
22|2|2|2|他為我們的罪作了挽回祭，不是單為我們的罪，也是為普天下人的罪。|zh
23|2|2|2|He is the offering for our sins; and not for ours only, but for all the world.|en
24|2|3|3|我們若遵守他的誡命，就曉得是認識他。|zh
25|2|3|3|And by this we may be certain that we have knowledge of him, if we keep his laws.|en
26|2|4|4|人若說我認識他，卻不遵守他的誡命，便是說謊話的，真理也不在他心裡了。|zh
27|2|4|4|The man who says, I have knowledge of him, and does not keep his laws, is false, and there is nothing true in him:|en
28|2|5|5|凡遵守主道的，愛神的心在他裡面實在是完全的。從此我們知道我們是在主裡面。|zh
29|2|5|5|But in every man who keeps his word, the love of God is made complete. By this we may be certain that we are in him:|en
30|2|6|6|人若說他住在主裡面，就該自己照主所行的去行。|zh
31|2|6|6|He who says that he is living in him, will do as he did.|en
32|2|7|7|親愛的弟兄阿，我寫給你們的，不是一條新命令，乃是你們從起初所受的舊命令；這舊命令就是你們所聽見的道。|zh
33|2|7|7|My loved ones, I do not give you a new law, but an old law which you had from the first; this old law is the word which came to your ears.|en
34|2|8|8|再者，我寫給你們的，是一條新命令，在主是真的，在你們也是真的；因為黑暗漸漸過去，真光已經照耀。|zh
35|2|8|8|Again, I give you a new law, which is true in him and in you; for the night is near its end and the true light is even now shining out.|en
36|2|9|9|人若說自己在光明中，卻恨他的弟兄，他到如今還是在黑暗裡。|zh
37|2|9|9|He who says that he is in the light, and has hate in his heart for his brother, is still in the dark.|en
38|2|10|10|愛弟兄的，就是住在光明中，在他並沒有絆跌的緣由。|zh
39|2|10|10|He who has love for his brother is in the light, and there is no cause of error in him.|en
40|2|11|11|惟獨恨弟兄的，是在黑暗裡，且在黑暗裡行，也不知道往那裡去，因為黑暗叫他眼睛瞎了。|zh
41|2|11|11|But he who has hate for his brother is in the dark, walking in the dark with no knowledge of where he is going, unable to see because of the dark.|en
42|2|12|12|小子們哪，我寫信給你們，因為你們的罪藉著主名得了赦免。|zh
43|2|12|12|I am writing to you, my children, because you have forgiveness of sins through his name.|en
44|2|13|13|父老阿，我寫信給你們，因為你們認識那從起初原有的。少年人哪，我寫信給你們，因為你們勝了那惡者。小子們哪，我曾寫信給你們，因為你們認識父。|zh
45|2|13|13|I am writing to you, fathers, because you have knowledge of him who was from the first. I am writing to you, young men, because you have overcome the Evil One. I have sent a letter to you, children, because you have knowledge of the Father.|en
46|2|14|14|父老阿，我曾寫信給你們，因為，你們認識那從起初原有的。少年人哪，我曾寫信給你們；因為，你們剛強，神的道常存在你們心裡；你們也勝了那惡者。|zh
47|2|14|14|I have sent a letter to you, fathers, because you have knowledge of him who was from the first. I have sent a letter to you, young men, because you are strong, and the word of God is in you, and because you have overcome the Evil One.|en
48|2|15|15|不要愛世界和世界上的事。人若愛世界，愛父的心就不在他裡面了。|zh
49|2|15|15|Have no love for the world or for the things which are in the world. If any man has love for the world, the love of the Father is not in him.|en
