|chapter|sec|no|content|lang
0|1|1|1|奉神旨意，作基督耶穌使徒的保羅，寫信給在以弗所的聖徒，就是在基督耶穌裡有忠心的人。|zh
1|1|1|1|Paul, an Apostle of Christ Jesus by the purpose of God, to the saints who are at Ephesus, and those who have faith in Christ Jesus:|en
2|1|2|2|願恩惠、平安從神我們的父和主耶穌基督歸與你們！|zh
3|1|2|2|Grace to you and peace from God our Father and the Lord Jesus Christ.|en
4|1|3|3|願頌讚歸與我們主耶穌基督的父神！他在基督裡曾賜給我們天上各樣屬靈的福氣：|zh
5|1|3|3|Praise be to the God and Father of our Lord Jesus Christ, who has given us every blessing of the Spirit in the heavens in Christ:|en
6|1|4|4|就如神從創立世界以前，在基督裡揀選了我們，使我們在他面前成為聖潔，無有瑕疵；|zh
7|1|4|4|Even as he made selection of us in him from the first, so that we might be holy and free from all evil before him in love:|en
8|1|5|5|又因愛我們，就按著自己意旨所喜悅的，預定我們藉著耶穌基督得兒子的名分，|zh
9|1|5|5|As we were designed before by him for the position of sons to himself, through Jesus Christ, in the good pleasure of his purpose,|en
10|1|6|6|使他榮耀的恩典得著稱讚；這恩典是他在愛子裡所賜給我們的。|zh
11|1|6|6|To the praise of the glory of his grace, which he freely gave to us in the Loved One:|en
12|1|7|7|我們藉這愛子的血得蒙救贖，過犯得以赦免，乃是照他豐富的恩典。|zh
13|1|7|7|In whom we have salvation through his blood, the forgiveness of our sins, through the wealth of his grace,|en
14|1|8|8|這恩典是神用諸般智慧聰明，充充足足賞給我們的；|zh
15|1|8|8|Which he gave us in full measure in all wisdom and care;|en
16|1|9|9|都是照他自己所預定的美意，叫我們知道他旨意的奧祕，|zh
17|1|9|9|Having made clear to us the secret of his purpose, in agreement with the design which he had in mind, to put into his hands|en
18|1|10|10|要照所安排的，在日期滿足的時候，使天上、地上、一切所有的都在基督裡面同歸於一。|zh
19|1|10|10|The ordering of the times when they are complete, so that all things might come to a head in Christ, the things in heaven and the things on the earth; in him, I say,|en
20|1|11|11|我們也在他裡面得（或作：成）了基業；這原是那位隨己意行、做萬事的，照著他旨意所預定的，|zh
21|1|11|11|In whom we have a heritage, being marked out from the first in his purpose who does all things in agreement with his designs;|en
22|1|12|12|叫他的榮耀從我們這首先在基督裡有盼望的人可以得著稱讚。|zh
23|1|12|12|So that his glory might have praise through us who first had hope in Christ:|en
24|1|13|13|你們既聽見真理的道，就是那叫你們得救的福音，也信了基督，既然信他，就受了所應許的聖靈為印記。|zh
25|1|13|13|In whom you, having been given the true word, the good news of your salvation, and through your faith in him, were given the sign of the Holy Spirit of hope,|en
26|1|14|14|這聖靈是我們得基業的憑據（原文作：質），直等到神之民（原文作：產業）被贖，使他的榮耀得著稱讚。|zh
27|1|14|14|Which is the first-fruit of our heritage, till God gets back that which is his, to the praise of his glory.|en
28|1|15|15|因此，我既聽見你們信從主耶穌，親愛眾聖徒，|zh
29|1|15|15|For this cause I, having had news of the faith in the Lord Jesus which is among you, and which you make clear to all the saints,|en
30|1|16|16|就為你們不住的感謝神。禱告的時候，常題到你們，|zh
31|1|16|16|Give praise without end for you, keeping you in mind in my prayers;|en
32|1|17|17|求我們主耶穌基督的神，榮耀的父，將那賜人智慧和啟示的靈賞給你們，使你們真知道他，|zh
33|1|17|17|That the God of our Lord Jesus Christ, the Father of glory, may give to you a spirit of wisdom and revelation in the knowledge of him;|en
34|1|18|18|並且照明你們心中的眼睛，使你們知道他的恩召有何等指望，他在聖徒中得的基業有何等豐盛的榮耀；|zh
35|1|18|18|And that having the eyes of your heart full of light, you may have knowledge of what is the hope of his purpose, what is the wealth of the glory of his heritage in the saints,|en
36|1|19|19|並知道他向我們這信的人所顯的能力是何等浩大，|zh
37|1|19|19|And how unlimited is his power to us who have faith, as is seen in the working of the strength of his power,|en
