|chapter|sec|no|content|lang
0|1|1|1|太初有道，道與神同在，道就是神。|zh
1|1|1|1|From the first he was the Word, and the Word was in relation with God and was God.|en
2|1|2|2|這道太初與神同在。|zh
3|1|2|2|This Word was from the first in relation with God.|en
4|1|3|3|萬物是藉著他造的；凡被造的，沒有一樣不是藉著他造的。|zh
5|1|3|3|All things came into existence through him, and without him nothing was.|en
6|1|4|4|生命在他裡頭，這生命就是人的光。|zh
7|1|4|4|What came into existence in him was life, and the life was the light of men.|en
8|1|5|5|光照在黑暗裡，黑暗卻不接受光。|zh
9|1|5|5|And the light goes on shining in the dark; it is not overcome by the dark.|en
10|1|6|6|有一個人，是從神那裡差來的，名叫約翰。|zh
11|1|6|6|There was a man sent from God, whose name was John.|en
12|1|7|7|這人來，為要作見證，就是為光作見證，叫眾人因他可以信。|zh
13|1|7|7|He came for witness, to give witness about the light, so that all men might have faith through him.|en
14|1|8|8|他不是那光，乃是要為光作見證。|zh
15|1|8|8|He himself was not the light: he was sent to give witness about the light.|en
16|1|9|9|那光是真光，照亮一切生在世上的人。|zh
17|1|9|9|The true light, which gives light to every man, was then coming into the world.|en
18|1|10|10|他在世界，世界也是藉著他造的，世界卻不認識他。|zh
19|1|10|10|He was in the world, the world which came into being through him, but the world had no knowledge of him.|en
20|1|11|11|他到自己的地方來，自己的人倒不接待他。|zh
21|1|11|11|He came to the things which were his and his people did not take him to their hearts.|en
22|1|12|12|凡接待他的，就是信他名的人，他就賜他們權柄，作神的兒女。|zh
23|1|12|12|To all those who did so take him, however, he gave the right of becoming children of God--that is, to those who had faith in his name:|en
24|1|13|13|這等人不是從血氣生的，不是從情慾生的，也不是從人意生的，乃是從神生的。|zh
25|1|13|13|Whose birth was from God and not from blood, or from an impulse of the flesh and man's desire.|en
26|1|14|14|道成了肉身，住在我們中間，充充滿滿的有恩典有真理。我們也見過他的榮光，正是父獨生子的榮光。|zh
27|1|14|14|And so the Word became flesh and took a place among us for a time; and we saw his glory--such glory as is given to an only son by his father--saw it to be true and full of grace.|en
28|1|15|15|約翰為他作見證，喊著說：「這就是我曾說：『那在我以後來的，反成了在我以前的，因他本來在我以前。』」|zh
29|1|15|15|John gave witness about him, crying, This is he of whom I said, He who is coming after me is put over me because he was in existence before me.|en
30|1|16|16|從他豐滿的恩典裡，我們都領受了，而且恩上加恩。|zh
31|1|16|16|From his full measure we have all been given grace on grace.|en
32|1|17|17|律法本是藉著摩西傳的；恩典和真理都是由耶穌基督來的。|zh
33|1|17|17|For the law was given through Moses; grace and the true way of life are ours through Jesus Christ.|en
34|1|18|18|從來沒有人看見神，只有在父懷裡的獨生子將他表明出來。|zh
35|1|18|18|No man has seen God at any time; the only Son, who is on the breast of the Father, he has made clear what God is.|en
36|1|19|19|約翰所作的見證記在下面：猶太人從耶路撒冷差祭司和利未人到約翰那裡，問他說：「你是誰？」|zh
37|1|19|19|And this is the witness of John when the Jews sent priests and Levites from Jerusalem to him with the question, Who are you?|en
38|1|20|20|他就明說，並不隱瞞，明說：「我不是基督。」|zh
39|1|20|20|He said quite openly and straightforwardly, I am not the Christ.|en
40|1|21|21|他們又問他說：「這樣，你是誰呢？是以利亞嗎？」他說：「我不是。」「是那先知嗎？」他回答說：「不是。」|zh
41|1|21|21|And they said to him, What then? Are you Elijah? And he said, I am not. Are you the prophet? And his answer was, I am not.|en
42|1|22|22|於是他們說：「你到底是誰，叫我們好回覆差我們來的人。你自己說，你是誰？」|zh
43|1|22|22|So they said to him, Who are you then? We have to give some answer to those who sent us. What have you to say about yourself?|en
44|1|23|23|他說：「我就是那在曠野有人聲喊著說：『修直主的道路』，正如先知以賽亞所說的。」|zh
45|1|23|23|He said, I am the voice of one crying in the waste land, Make straight the way of the Lord, as said Isaiah the prophet.|en
46|1|24|24|那些人是法利賽人差來的（或作：那差來的是法利賽人）；|zh
47|1|24|24|Those who had been sent came from the Pharisees.|en
48|1|25|25|他們就問他說：「你既不是基督，不是以利亞，也不是那先知，為甚麼施洗呢？」|zh
49|1|25|25|And they put this question to him, saying, Why then are you giving baptism if you are not the Christ, or Elijah, or the prophet?|en
50|1|26|26|約翰回答說：「我是用水施洗，但有一位站在你們中間，是你們不認識的，|zh
51|1|26|26|John's answer was: I give baptism with water; but there is one among you of whom you have no knowledge;|en
52|1|27|27|就是那在我以後來的，我給他解鞋帶也不配。」|zh
53|1|27|27|It is he who is coming after me; I am not good enough to undo his shoes.|en
54|1|28|28|這是在約但河外伯大尼（有古卷：伯大巴喇），約翰施洗的地方作的見證。|zh
55|1|28|28|These things took place at Bethany on the other side of the Jordan, where John was giving baptism.|en
56|1|29|29|次日，約翰看見耶穌來到他那裡，就說：「看哪，神的羔羊，除去（或譯：背負）世人罪孽的！|zh
57|1|29|29|The day after, John sees Jesus coming to him and says, See, here is the Lamb of God who takes away the sin of the world!|en
58|1|30|30|這就是我曾說：『有一位在我以後來、反成了在我以前的，因他本來在我以前。』|zh
59|1|30|30|This is he of whom I said, One is coming after me who is put over me because he was in existence before me.|en
60|1|31|31|我先前不認識他，如今我來用水施洗，為要叫他顯明給以色列人。」|zh
61|1|31|31|I myself had no knowledge of him, but I came giving baptism with water so that he might be seen openly by Israel.|en
62|1|32|32|約翰又作見證說：「我曾看見聖靈，彷彿鴿子從天降下，住在他的身上。|zh
63|1|32|32|And John gave this witness, saying, I saw the Spirit coming down from heaven like a dove and resting on him.|en
64|1|33|33|我先前不認識他，只是那差我來用水施洗的、對我說：『你看見聖靈降下來，住在誰的身上，誰就是用聖靈施洗的。』|zh
65|1|33|33|I had no knowledge who he was, but he who sent me to give baptism with water said to me, The one on whom you see the Spirit coming down and resting, it is he who gives baptism with the Holy Spirit.|en
66|1|34|34|我看見了，就證明這是神的兒子。」|zh
67|1|34|34|This I saw myself and my witness is that he is the Son of God.|en
68|1|35|35|再次日，約翰同兩個門徒站在那裡。|zh
69|1|35|35|The day after, John was there again with two of his disciples;|en
70|1|36|36|他見耶穌行走，就說：「看哪，這是神的羔羊！」|zh
71|1|36|36|And looking at Jesus while he was walking he said, See, there is the Lamb of God!|en
72|1|37|37|兩個門徒聽見他的話，就跟從了耶穌。|zh
73|1|37|37|Hearing what he said, the two disciples went after Jesus.|en
74|1|38|38|耶穌轉過身來，看見他們跟著，就問他們說：「你們要甚麼？」他們說：「拉比，在哪裡住？」（拉比翻出來就是夫子。）|zh
75|1|38|38|And Jesus, turning round, saw them coming after him and said to them, What are you looking for? They said to him, Rabbi (which is to say, Master), where are you living?|en
76|1|39|39|耶穌說：「你們來看。」他們就去看他在那裡住，這一天便與他同住；那時約有申正了。|zh
77|1|39|39|He said to them, Come and see. They went with him then and saw where he was living; and they were with him all that day: it was then about the tenth hour of the day.|en
78|1|40|40|聽見約翰的話跟從耶穌的那兩個人，一個是西門彼得的兄弟安得烈。|zh
79|1|40|40|Andrew, Simon Peter's brother, was one of the two men who, hearing what John said, went after Jesus.|en
80|1|41|41|他先找著自己的哥哥西門，對他說：「我們遇見彌賽亞了。」（彌賽亞繙出來就是基督。）|zh
81|1|41|41|Early in the morning he came across his brother and said to him, We have made discovery! It is the Messiah! (which is to say, the Christ).|en
82|1|42|42|於是領他去見耶穌。耶穌看著他，說：「你是約翰的兒子西門（約翰在馬太16：17稱約拿），你要稱為磯法。」（磯法翻出來就是彼得。）|zh
83|1|42|42|And he took him to Jesus. Looking at him fixedly Jesus said, You are Simon, the son of John; your name will be Cephas (which is to say, Peter).|en
84|1|43|43|又次日，耶穌想要往加利利去，遇見腓力，就對他說：「來跟從我吧。」|zh
85|1|43|43|The day after this, Jesus had a desire to go into Galilee. He came across Philip and said to him, Come and be my disciple.|en
86|1|44|44|這腓力是伯賽大人，和安得烈、彼得同城。|zh
87|1|44|44|Now Philip's town was Beth-saida, where Andrew and Peter came from.|en
88|1|45|45|腓力找著拿但業，對他說「摩西在律法上所寫的和眾先知所記的那一位，我們遇見了，就是約瑟的兒子拿撒勒人耶穌。」|zh
89|1|45|45|Philip came across Nathanael and said to him, We have made a discovery! It is he of whom Moses, in the law, and the prophets were writing, Jesus of Nazareth, the son of Joseph.|en
90|1|46|46|拿但業對他說：「拿撒勒還能出甚麼好的嗎？」腓力說：「你來看！」|zh
91|1|46|46|Nazareth! said Nathanael, Is it possible for any good to come out of Nazareth? Philip said to him, Come and see.|en
92|1|47|47|耶穌看見拿但業來，就指著他說：「看哪，這是個真以色列人，他心裡是沒有詭詐的。」|zh
93|1|47|47|Jesus saw Nathanael coming to him and said of him, See, here is a true son of Israel in whom there is nothing false.|en
94|1|48|48|拿但業對耶穌說：「你從哪知道我呢？」耶穌回答說：「腓力還沒有招呼你，你在無花果樹底下，我就看見你了。」|zh
95|1|48|48|Nathanael said to him, Where did you get knowledge of me? In answer Jesus said, Before Philip was talking with you, while you were still under the fig-tree, I saw you.|en
96|1|49|49|拿但業說：「拉比，你是神的兒子，你是以色列的王！」|zh
97|1|49|49|Nathanael said to him, Rabbi, you are the Son of God, you are King of Israel!|en
98|1|50|50|耶穌對他說：「因為我說『在無花果樹底下看見你』，你就信嗎？你將要看見比這更大的事」；|zh
99|1|50|50|In answer Jesus said to him, You have faith because I said to you, I saw you under the fig-tree. You will see greater things than these.|en
100|1|51|51|又說：「我實實在在地告訴你們，你們將要看見天開了，神的使者上去下來在人子身上。」|zh
101|1|51|51|And he said to him, Truly I say to you all, You will see heaven opening and God's angels going up and coming down on the Son of man.|en
102|2|1|1|第三日，在加利利的迦拿有娶親的筵席，耶穌的母親在那裡。|zh
103|2|1|1|On the third day two people were going to be married at Cana in Galilee. The mother of Jesus was there:|en
104|2|2|2|耶穌和他的門徒也被請去赴席。|zh
105|2|2|2|And Jesus with his disciples came as guests.|en
106|2|3|3|酒用盡了，耶穌的母親對他說：「他們沒有酒了。」|zh
107|2|3|3|When they had not enough wine, the mother of Jesus said to him, They have no wine.|en
108|2|4|4|耶穌說：「母親（原文是婦人），我與你有甚麼相干？我的時候還沒有到。」|zh
109|2|4|4|Jesus said to her, Woman, this is not your business; my time is still to come.|en
110|2|5|5|他母親對用人說：「他告訴你們甚麼，你們就做甚麼。」|zh
111|2|5|5|His mother said to the servants, Whatever he says to you, do it.|en
112|2|6|6|照猶太人潔淨的規矩，有六口石缸擺在那裡，每口可以盛兩三桶水。|zh
113|2|6|6|Now six pots of stone, every one taking two or three firkins of water, were placed there for the purpose of washing, as is the way of the Jews.|en
114|2|7|7|耶穌對用人說：「把缸倒滿了水。他們就倒滿了，直到缸口。」|zh
