|chapter|sec|no|content|lang
0|1|1|1|掃羅死後，大衛擊殺亞瑪力人回來，在洗革拉住了兩天。|zh
1|1|1|1|Now after the death of Saul, when David, having come back from the destruction of the Amalekites, had been in Ziklag for two days;|en
2|1|2|2|第三天，有一人從掃羅的營裡出來，衣服撕裂，頭蒙灰塵，到大衛面前伏地叩拜。|zh
3|1|2|2|On the third day a man came from Saul's tents, with his clothing out of order and earth on his head: and when he came to David, he went down on the earth and gave him honour.|en
4|1|3|3|大衛問他說：你從哪裡來？他說：我從以色列的營裡逃來。|zh
5|1|3|3|And David said to him, Where have you come from? And he said, I have come in flight from the tents of Israel.|en
6|1|4|4|大衛又問他說：事情怎樣？請你告訴我。他回答說：百姓從陣上逃跑，也有許多人仆倒死亡；掃羅和他兒子約拿單也死了。|zh
7|1|4|4|And David said to him, How did things go? Give me the news. And in answer he said, The people have gone in flight from the fight, and a great number of them are dead; and Saul and his son Jonathan are dead.|en
8|1|5|5|大衛問報信的少年人說：你怎麼知道掃羅和他兒子約拿單死了呢？|zh
9|1|5|5|And David said to the young man who gave him the news, Why are you certain that Saul and his son Jonathan are dead?|en
10|1|6|6|報信的少年人說：我偶然到基利波山，看見掃羅伏在自己槍上，有戰車、馬兵緊緊地追他。|zh
11|1|6|6|And the young man said, I came by chance to Mount Gilboa, and I saw Saul supporting himself on his spear; and the war-carriages and horsemen overtook him.|en
12|1|7|7|他回頭看見我，就呼叫我。我說：我在這裡。|zh
13|1|7|7|And looking back, he saw me and gave a cry to me. And answering him I said, Here am I.|en
14|1|8|8|他問我說：你是甚麼人？我說：我是亞瑪力人。|zh
15|1|8|8|And he said to me, Who are you? And I said, I am an Amalekite.|en
16|1|9|9|他說：請你來，將我殺死；因為痛苦抓住我，我的生命尚存。|zh
17|1|9|9|Then he said to me, Come here to my side, and put me to death, for the pain of death has me in its grip but my life is still strong in me.|en
18|1|10|10|我準知他仆倒必不能活，就去將他殺死，把他頭上的冠冕、臂上的鐲子拿到我主這裡。|zh
19|1|10|10|So I put my foot on him and gave him his death-blow, because I was certain that he would not go on living after his fall: and I took the crown from his head and the band from his arm, and I have them here for my lord.|en
20|1|11|11|大衛就撕裂衣服，跟隨他的人也是如此，|zh
21|1|11|11|Then David gave way to bitter grief, and so did all the men who were with him:|en
22|1|12|12|而且悲哀哭號，禁食到晚上，是因掃羅和他兒子約拿單，並耶和華的民以色列家的人，倒在刀下。|zh
23|1|12|12|And till evening they gave themselves to sorrow and weeping, and took no food, weeping for Saul and for Jonathan, his son, and for the people of the Lord and for the men of Israel; because they had come to their end by the sword.|en
24|1|13|13|大衛問報信的少年人說：你是哪裡的人？他說：我是亞瑪力客人的兒子。|zh
