|chapter|sec|no|content|lang
0|1|1|1|烏斯地有一個人名叫約伯；那人完全正直，敬畏神，遠離惡事。|zh
1|1|1|1|There was a man in the land of Uz whose name was Job. He was without sin and upright, fearing God and keeping himself far from evil.|en
2|1|2|2|他生了七個兒子，三個女兒。|zh
3|1|2|2|And he had seven sons and three daughters.|en
4|1|3|3|他的家產有七千羊，三千駱駝，五百對牛，五百母驢，並有許多僕婢。這人在東方人中就為至大。|zh
5|1|3|3|And of cattle he had seven thousand sheep and goats, and three thousand camels, and a thousand oxen, and five hundred she-asses, and a very great number of servants. And the man was greater than any of the sons of the east.|en
6|1|4|4|他的兒子按著日子各在自己家裡設擺筵宴，就打發人去，請了他們的三個姊妹來，與他們一同吃喝。|zh
7|1|4|4|His sons regularly went to one another's houses, and every one on his day gave a feast: and at these times they sent for their three sisters to take part in their feasts with them.|en
8|1|5|5|筵宴的日子過了，約伯打發人去叫他們自潔。他清早起來，按著他們眾人的數目獻燔祭；因為他說：恐怕我兒子犯了罪，心中棄掉神。約伯常常這樣行。|zh
9|1|5|5|And at the end of their days of feasting, Job sent and made them clean, getting up early in the morning and offering burned offerings for them all. For, Job said, It may be that my sons have done wrong and said evil of God in their hearts. And Job did this whenever the feasts came round.|en
10|1|6|6|有一天，神的眾子來侍立在耶和華面前，撒但也來在其中。|zh
11|1|6|6|And there was a day when the sons of the gods came together before the Lord, and the Satan came with them.|en
12|1|7|7|耶和華問撒但說：「你從哪裡來？」撒但回答說：「我從地上走來走去，往返而來。」|zh
13|1|7|7|And the Lord said to the Satan, Where do you come from? And the Satan said in answer, From wandering this way and that on the earth, and walking about on it.|en
14|1|8|8|耶和華問撒但說：「你曾用心察看我的僕人約伯沒有？地上再沒有人像他完全正直，敬畏神，遠離惡事。」|zh
15|1|8|8|And the Lord said to the Satan, Have you taken note of my servant Job, for there is no one like him on the earth, a man without sin and upright, fearing God and keeping himself far from evil?|en
16|1|9|9|撒但回答耶和華說：約伯敬畏神，豈是無故呢？|zh
17|1|9|9|And the Satan said in answer to the Lord, Is it for nothing that Job is a god-fearing man?|en
18|1|10|10|你豈不是四面圈上籬笆圍護他和他的家，並他一切所有的嗎？他手所做的都蒙你賜福；他的家產也在地上增多。|zh
19|1|10|10|Have you yourself not put a wall round him and his house and all he has on every side, blessing the work of his hands, and increasing his cattle in the land?|en
20|1|11|11|你且伸手毀他一切所有的；他必當面棄掉你。」|zh
21|1|11|11|But now, put out your hand against all he has, and he will be cursing you to your face.|en
22|1|12|12|耶和華對撒但說：「凡他所有的都在你手中；只是不可伸手加害於他。」於是撒但從耶和華面前退去。|zh
23|1|12|12|And the Lord said to the Satan, See, I give all he has into your hands, only do not put a finger on the man himself. And the Satan went out from before the Lord.|en
24|1|13|13|有一天，約伯的兒女正在他們長兄的家裡吃飯喝酒，|zh
25|1|13|13|And there was a day when his sons and daughters were feasting in the house of their oldest brother,|en
26|1|14|14|有報信的來見約伯，說：牛正耕地，驢在旁邊吃草，|zh
27|1|14|14|And a man came to Job, and said, The oxen were ploughing, and the asses were taking their food by their side:|en
28|1|15|15|示巴人忽然闖來，把牲畜擄去，並用刀殺了僕人；惟有我一人逃脫，來報信給你。」|zh
29|1|15|15|And the men of Sheba came against them and took them away, putting the young men to the sword, and I was the only one who got away safe to give you the news.|en
30|1|16|16|他還說話的時候，又有人來說：「神從天上降下火來，將群羊和僕人都燒滅了；惟有我一人逃脫，來報信給你。」|zh
31|1|16|16|And this one was still talking when another came, and said, The fire of God came down from heaven, burning up the sheep and the goats and the young men completely, and I was the only one who got away safe to give you the news.|en
32|1|17|17|他還說話的時候，又有人來說：「迦勒底人分作三隊忽然闖來，把駱駝擄去，並用刀殺了僕人；惟有我一人逃脫，來報信給你。」|zh
33|1|17|17|And this one was still talking when another came, and said, The Chaldaeans made themselves into three bands, and came down on the camels and took them away, putting the young men to the sword, and I was the only one who got away safe to give you the news.|en
34|1|18|18|他還說話的時候，又有人來說：你的兒女正在他們長兄的家裡吃飯喝酒，|zh
35|1|18|18|And this one was still talking when another came, and said, Your sons and your daughters were feasting together in their oldest brother's house,|en
36|1|19|19|不料，有狂風從曠野颳來，擊打房屋的四角，房屋倒塌在少年人身上，他們就都死了；惟有我一人逃脫，來報信給你。」|zh
37|1|19|19|When a great wind came rushing from the waste land against the four sides of the house, and it came down on the young men, and they are dead; and I was the only one who got away safe to give you the news.|en
38|1|20|20|約伯便起來，撕裂外袍，剃了頭，伏在地上下拜，|zh
39|1|20|20|Then Job got up, and after parting his clothing and cutting off his hair, he went down on his face to the earth, and gave worship, and said,|en
40|1|21|21|說：「我赤身出於母胎，也必赤身歸回；賞賜的是耶和華，收取的也是耶和華。耶和華的名是應當稱頌的。」|zh
41|1|21|21|With nothing I came out of my mother's body, and with nothing I will go back there; the Lord gave and the Lord has taken away; let the Lord's name be praised.|en
42|1|22|22|在這一切的事上約伯並不犯罪，也不以神為愚妄（或譯：也不妄評　神）。|zh
43|1|22|22|In all this Job did no sin, and did not say that God's acts were foolish.|en
44|2|1|1|又有一天，神的眾子來侍立在耶和華面前，撒但也來在其中。|zh
45|2|1|1|And there was a day when the sons of the gods came together before the Lord, and the Satan came with them.|en
46|2|2|2|耶和華問撒但說：你從哪裡來？撒但回答說：我從地上走來走去，往返而來。|zh
47|2|2|2|And the Lord said to the Satan, Where do you come from? And the Satan said in answer, From wandering this way and that on the earth, and walking about on it.|en
48|2|3|3|耶和華問撒但說：你曾用心察看我的僕人約伯沒有？地上再沒有人像他完全正直，敬畏神，遠離惡事。你雖激動我攻擊他，無故地毀滅他，他仍然持守他的純正。|zh
49|2|3|3|And the Lord said to the Satan, Have you taken note of my servant Job, for there is no one like him on the earth, a man without sin and upright, fearing God and keeping himself far from evil? and he still keeps his righteousness, though you have been moving me to send destruction on him without cause.|en
50|2|4|4|撒但回答耶和華說：人以皮代皮，情願捨去一切所有的，保全性命。|zh
51|2|4|4|And the Satan said in answer to the Lord, Skin for skin, all a man has he will give for his life.|en
52|2|5|5|你且伸手傷他的骨頭和他的肉，他必當面棄掉你。|zh
53|2|5|5|But now, if you only put your hand on his bone and his flesh, he will certainly be cursing you to your face.|en
54|2|6|6|耶和華對撒但說：他在你手中，只要存留他的性命。|zh
55|2|6|6|And the Lord said to the Satan, See, he is in your hands, only do not take his life.|en
56|2|7|7|於是撒但從耶和華面前退去，擊打約伯，使他從腳掌到頭頂長毒瘡。|zh
57|2|7|7|And the Satan went out from before the Lord, and sent on Job an evil disease covering his skin from his feet to the top of his head.|en
58|2|8|8|約伯就坐在爐灰中，拿瓦片刮身體。|zh
