|chapter|sec|no|content|lang
0|1|1|1|便雅憫地亞拿突城的祭司中，希勒家的兒子耶利米的話記在下面。|zh
1|1|1|1|The words of Jeremiah, the son of Hilkiah, of the priests who were in Anathoth in the land of Benjamin:|en
2|1|2|2|猶大王亞們的兒子約西亞在位十三年耶和華的話臨到耶利米。|zh
3|1|2|2|To whom the word of the Lord came in the days of Josiah, the son of Amon, king of Judah, in the thirteenth year of his rule.|en
4|1|3|3|從猶大王約西亞的兒子約雅敬在位的時候，直到猶大王約西亞的兒子西底家在位的末年，就是十一年五月間耶路撒冷人被擄的時候，耶和華的話也常臨到耶利米。|zh
5|1|3|3|And it came again in the days of Jehoiakim, the son of Josiah, king of Judah, up to the eleventh year of Zedekiah, the son of Josiah, king of Judah; till Jerusalem was taken away in the fifth month.|en
6|1|4|4|耶利米說，耶和華的話臨到我說：|zh
7|1|4|4|Now the word of the Lord came to me, saying,|en
8|1|5|5|我未將你造在腹中，我已曉得你；你未出母胎，我已分別你為聖；我已派你作列國的先知。|zh
9|1|5|5|Before you were formed in the body of your mother I had knowledge of you, and before your birth I made you holy; I have given you the work of being a prophet to the nations.|en
10|1|6|6|我就說：主耶和華啊，我不知怎樣說，因為我是年幼的。|zh
11|1|6|6|Then said I, O Lord God! see, I have no power of words, for I am a child.|en
12|1|7|7|耶和華對我說：你不要說我是年幼的，因為我差遣你到誰那裡去，你都要去；我吩咐你說甚麼話，你都要說。|zh
13|1|7|7|But the Lord said to me, Do not say, I am a child: for wherever I send you, you are to go, and whatever I give you orders to say, you are to say.|en
14|1|8|8|你不要懼怕他們，因為我與你同在，要拯救你。這是耶和華說的。|zh
15|1|8|8|Have no fear because of them: for I am with you, to keep you safe, says the Lord.|en
16|1|9|9|於是耶和華伸手按我的口，對我說：我已將當說的話傳給你。|zh
17|1|9|9|Then the Lord put out his hand, touching my mouth; and the Lord said to me, See, I have put my words in your mouth:|en
18|1|10|10|看哪，我今日立你在列邦列國之上，為要施行拔出、拆毀、毀壞、傾覆，又要建立、栽植。|zh
19|1|10|10|See, this day I have put you over the nations and over the kingdoms, for uprooting and smashing down, for destruction and overturning, for building up and planting.|en
20|1|11|11|耶和華的話又臨到我說：「耶利米，你看見甚麼？」我說：「我看見一根杏樹枝。」|zh
21|1|11|11|Again the word of the Lord came to me, saying, Jeremiah, what do you see? And I said, I see a branch of an almond-tree.|en
22|1|12|12|耶和華對我說：「你看得不錯；因為我留意保守我的話，使得成就。」|zh
23|1|12|12|Then the Lord said to me, You have seen well: for I keep watch over my word to give effect to it.|en
24|1|13|13|耶和華的話第二次臨到我說：「你看見甚麼？」我說：「我看見一個燒開的鍋，從北而傾。」|zh
25|1|13|13|And the word of the Lord came to me a second time, saying, What do you see? And I said, I see a boiling pot, and its face is from the north.|en
26|1|14|14|耶和華對我說：「必有災禍從北方發出，臨到這地的一切居民。」|zh
27|1|14|14|Then the Lord said to me, Out of the north evil will come, bursting out on all the people of the land.|en
28|1|15|15|耶和華說：「看哪，我要召北方列國的眾族；他們要來，各安座位在耶路撒冷的城門口，周圍攻擊城牆，又要攻擊猶大的一切城邑。|zh
29|1|15|15|For see, I will send for all the families of the kingdoms of the north, says the Lord; and they will come, everyone placing his high seat at the way into Jerusalem, and against its walls on every side, and against all the towns of Judah.|en
30|1|16|16|至於這民的一切惡，就是離棄我、向別神燒香、跪拜自己手所造的，我要發出我的判語，攻擊他們。|zh
31|1|16|16|And I will give my decision against them on account of all their evil-doing; because they have given me up, burning perfumes to other gods and worshipping the works of their hands.|en
32|1|17|17|所以你當束腰，起來將我所吩咐你的一切話告訴他們；不要因他們驚惶，免得我使你在他們面前驚惶。|zh
33|1|17|17|So make yourself ready, and go and say to them everything I give you orders to say: do not be overcome by fear of them, or I will send fear on you before them.|en
34|1|18|18|看哪，我今日使你成為堅城、鐵柱、銅牆，與全地和猶大的君王、首領、祭司，並地上的眾民反對。|zh
35|1|18|18|For see, this day have I made you a walled town, and an iron pillar, and walls of brass, against all the land, against the kings of Judah, against its captains, against its priests, and against the people of the land.|en
36|1|19|19|他們要攻擊你，卻不能勝你；因為我與你同在，要拯救你。這是耶和華說的。|zh
37|1|19|19|They will be fighting against you, but they will not overcome you: for I am with you, says the Lord, to give you salvation.|en
38|2|1|1|耶和華的話臨到我說：|zh
39|2|1|1|And the word of the Lord came to me, saying,|en
40|2|2|2|你去向耶路撒冷人的耳中喊叫說，耶和華如此說：你幼年的恩愛，婚姻的愛情，你怎樣在曠野，在未曾耕種之地跟隨我，我都記得。|zh
