|chapter|sec|no|content|lang
0|1|1|1|奉神旨意，照著在基督耶穌裡生命的應許，作基督耶穌使徒的保羅，|zh
1|1|1|1|Paul, an Apostle of Jesus Christ by the purpose of God, in the hope of the life which is in Christ Jesus,|en
2|1|2|2|寫信給我親愛的兒子提摩太。願恩惠、憐憫、平安從父神和我們主基督耶穌歸與你！|zh
3|1|2|2|To Timothy, my well-loved child: Grace, mercy, peace, from God the Father and Christ Jesus our Lord.|en
4|1|3|3|我感謝神，就是我接續祖先用清潔的良心所事奉的神。祈禱的時候，不住的想念你！|zh
5|1|3|3|I give praise to God, whose servant I have been, with a heart free from sin, from the time of my fathers, because in my prayers at all times the thought of you is with me, night and day|en
6|1|4|4|記念你的眼淚，晝夜切切的想要見你，好叫我滿心快樂。|zh
7|1|4|4|Desiring to see you, keeping in my memory your weeping, so that I may be full of joy;|en
8|1|5|5|想到你心裡無偽之信，這信是先在你外祖母羅以和你母親友尼基心裡的，我深信也在你的心裡。|zh
9|1|5|5|Having in mind your true faith, which first was in your mother's mother Lois, and in your mother Eunice, and, I am certain, is now in you.|en
10|1|6|6|為此我提醒你，使你將神藉我按手所給你的恩賜再如火挑旺起來。|zh
11|1|6|6|For this reason I say to you, Let that grace of God which is in you, given to you by my hands, have living power.|en
12|1|7|7|因為神賜給我們，不是膽怯的心，乃是剛強、仁愛、謹守的心。|zh
13|1|7|7|For God did not give us a spirit of fear, but of power and of love and of self-control.|en
14|1|8|8|你不要以給我們的主作見證為恥，也不要以我這為主被囚的為恥；總要按神的能力，與我為福音同受苦難。|zh
15|1|8|8|Have no feeling of shame, then, for the witness of our Lord or for me, his prisoner: but undergo all things for the good news in the measure of the power of God;|en
16|1|9|9|神救了我們，以聖召召我們，不是按我們的行為，乃是按他的旨意和恩典；這恩典是萬古之先，在基督耶穌裡賜給我們的，|zh
17|1|9|9|Who gave us salvation, marking us out for his purpose, not on account of our works, but in the measure of his purpose and his grace, which was given to us in Christ Jesus before times eternal,|en
18|1|10|10|但如今藉著我們救主基督耶穌的顯現才表明出來了。他已經把死廢去，藉著福音，將不能壞的生命彰顯出來。|zh
