|chapter|sec|no|content|lang
0|1|1|1|耶穌基督的僕人保羅，奉召為使徒，特派傳神的福音。|zh
1|1|1|1|Paul, a servant of Jesus Christ, an Apostle by the selection of God, given authority as a preacher of the good news,|en
2|1|2|2|這福音是神從前藉眾先知在聖經上所應許的，|zh
3|1|2|2|Of which God had given word before by his prophets in the holy Writings,|en
4|1|3|3|論到他兒子─我主耶穌基督。按肉體說，是從大衛後裔生的；|zh
5|1|3|3|About his Son who, in the flesh, came from the family of David,|en
6|1|4|4|按聖善的靈說，因從死裡復活，以大能顯明是神的兒子。|zh
7|1|4|4|But was marked out as Son of God in power by the Holy Spirit through the coming to life again of the dead; Jesus Christ our Lord,|en
8|1|5|5|我們從他受了恩惠並使徒的職分，在萬國之中叫人為他的名信服真道；|zh
9|1|5|5|Through whom grace has been given to us, sending us out to make disciples to the faith among all nations, for his name:|en
10|1|6|6|其中也有你們這蒙召屬耶穌基督的人。|zh
11|1|6|6|Among whom you in the same way have been marked out to be disciples of Jesus Christ:|en
12|1|7|7|我寫信給你們在羅馬、為神所愛、奉召作聖徒的眾人。願恩惠、平安從我們的父神並主耶穌基督歸與你們！|zh
13|1|7|7|To all those who are in Rome, loved by God, marked out as saints: Grace to you and peace from God our Father and the Lord Jesus Christ.|en
14|1|8|8|第一，我靠著耶穌基督，為你們眾人感謝我的神，因你們的信德傳遍了天下。|zh
15|1|8|8|First of all, I give praise to my God through Jesus Christ for you all, because news of your faith has gone into all the world.|en
16|1|9|9|我在他兒子福音上，用心靈所事奉的神，可以見證我怎樣不住的提到你們；|zh
17|1|9|9|For God is my witness, whose servant I am in spirit in the good news of his Son, that you are at all times in my memory and in my prayers,|en
18|1|10|10|在禱告之間常常懇求，或者照神的旨意，終能得平坦的道路往你們那裡去。|zh
19|1|10|10|And that I am ever making prayers that God will give me a good journey to you.|en
20|1|11|11|因為我切切的想見你們，要把些屬靈的恩賜分給你們，使你們可以堅固。|zh
21|1|11|11|For I have a strong desire to see you, and to give you some grace of the spirit, so that you may be made strong;|en
22|1|12|12|這樣，我在你們中間，因你與我彼此的信心，就可以同得安慰。|zh
23|1|12|12|That is to say, that all of us may be comforted together by the faith which is in you and in me.|en
24|1|13|13|弟兄們，我不願意你們不知道，我屢次定意往你們那裡去，要在你們中間得些果子，如同在其餘的外邦人中一樣；只是到如今仍有阻隔。|zh
25|1|13|13|You may be certain, my brothers, that it has frequently been in my mind to come to you (but till now I was kept from it), so that I might have some fruit from you in the same way as I have had it from the other nations.|en
26|1|14|14|無論是希利尼人、化外人、聰明人、愚拙人，我都欠他們的債，|zh
27|1|14|14|I have a debt to Greeks and to the nations outside; to the wise and to those who have no learning.|en
28|1|15|15|所以情願盡我的力量，將福音也傳給你們在羅馬的人。|zh
29|1|15|15|For which reason I have the desire, as far as I am able, to give the knowledge of the good news to you who are in Rome.|en
30|1|16|16|我不以福音為恥；這福音本是神的大能，要救一切相信的，先是猶太人，後是希利尼人。|zh
31|1|16|16|For I have no feeling of shame about the good news, because it is the power of God giving salvation to everyone who has faith, to the Jew first, and then to the Greek.|en
32|1|17|17|因為神的義正在這福音上顯明出來；這義是本於信，以致於信。如經上所記：義人必因信得生。|zh
33|1|17|17|For in it there is the revelation of the righteousness of God from faith to faith: as it is said in the holy Writings, The man who does righteousness will be living by his faith.|en
34|1|18|18|原來，神的忿怒從天上顯明在一切不虔不義的人身上，就是那些行不義阻擋真理的人。|zh
35|1|18|18|For there is a revelation of the wrath of God from heaven against all the wrongdoing and evil thoughts of men who keep down what is true by wrongdoing;|en
36|1|19|19|神的事情，人所能知道的，原顯明在人心裡，因為神已經給他們顯明。|zh
37|1|19|19|Because the knowledge of God may be seen in them, God having made it clear to them.|en
38|1|20|20|自從造天地以來，神的永能和神性是明明可知的，雖是眼不能見，但藉著所造之物就可以曉得，叫人無可推諉。|zh
39|1|20|20|For from the first making of the world, those things of God which the eye is unable to see, that is, his eternal power and existence, are fully made clear, he having given the knowledge of them through the things which he has made, so that men have no reason for wrongdoing:|en
40|1|21|21|因為，他們雖然知道神，卻不當作神榮耀他，也不感謝他。他們的思念變為虛妄，無知的心就昏暗了。|zh
