|chapter|sec|no|content|lang
0|1|1|1|奉神旨意，蒙召作耶穌基督使徒的保羅，同兄弟所提尼，|zh
1|1|1|1|Paul, an Apostle of Jesus Christ by the purpose of God, and Sosthenes the brother,|en
2|1|2|2|寫信給在哥林多神的教會，就是在基督耶穌裡成聖、蒙召作聖徒的，以及所有在各處求告我主耶穌基督之名的人。基督是他們的主，也是我們的主。|zh
3|1|2|2|To the church of God which is in Corinth, to those who have been made holy in Christ Jesus, saints by the selection of God, with all those who in every place give honour to the name of our Lord Jesus Christ, their Lord and ours:|en
4|1|3|3|願恩惠、平安從神我們的父並主耶穌基督歸與你們。|zh
5|1|3|3|Grace to you and peace from God our Father and the Lord Jesus Christ.|en
6|1|4|4|我常為你們感謝我的神，因神在基督耶穌裡所賜給你們的恩惠；|zh
7|1|4|4|I give praise to my God for you at all times, because of the grace of God which has been given to you in Christ Jesus;|en
8|1|5|5|又因你們在他裡面凡事富足，口才、知識都全備，|zh
9|1|5|5|So that in him you have wealth in all things, in word and in knowledge of every sort;|en
10|1|6|6|正如我為基督作的見證，在你們心裡得以堅固，|zh
11|1|6|6|Even as the witness of the Christ has been made certain among you:|en
12|1|7|7|以致你們在恩賜上沒有一樣不及人的，等候我們的主耶穌基督顯現。|zh
13|1|7|7|So that having every grace you are living in the hope of the revelation of our Lord Jesus Christ;|en
14|1|8|8|他也必堅固你們到底，叫你們在我們主耶穌基督的日子無可責備。|zh
15|1|8|8|Who will give you strength to the end, to be free from all sin in the day of our Lord Jesus Christ.|en
16|1|9|9|神是信實的，你們原是被他所召，好與他兒子─我們的主耶穌基督一同得分。|zh
17|1|9|9|God is true, through whom you have been given a part with his Son, Jesus Christ our Lord.|en
18|1|10|10|弟兄們，我藉我們主耶穌基督的名勸你們都說一樣的話。你們中間也不可分黨，只要一心一意，彼此相合。|zh
19|1|10|10|Now I make request to you, my brothers, in the name of our Lord Jesus Christ, that you will all say the same thing, and that there may be no divisions among you, so that you may be in complete agreement, in the same mind and in the same opinion.|en
20|1|11|11|因為革來氏家裡的人曾對我題起弟兄們來，說你們中間有分爭。|zh
21|1|11|11|Because it has come to my knowledge, through those of the house of Chloe, that there are divisions among you, my brothers.|en
22|1|12|12|我的意思就是你們各人說：我是屬保羅的；我是屬亞波羅的；我是屬磯法的；我是屬基督的。|zh
23|1|12|12|That is, that some of you say, I am of Paul; some say, I am of Apollos; some say, I am of Cephas; and some say, I am Christ's.|en
24|1|13|13|基督是分開的麼？保羅為你們釘了十字架麼？你們是奉保羅的名受了洗麼？|zh
25|1|13|13|Is there a division in Christ? was Paul nailed to the cross for you? or were you given baptism in the name of Paul?|en
26|1|14|14|我感謝神，除了基利司布並該猶以外，我沒有給你們一個人施洗；|zh
27|1|14|14|I give praise to God that not one of you had baptism from me, but Crispus and Gaius;|en
28|1|15|15|免得有人說，你們是奉我的名受洗。|zh
29|1|15|15|So that no one may be able to say that you had baptism in my name.|en
30|1|16|16|我也給司提反家施過洗，此外給別人施洗沒有，我卻記不清。|zh
31|1|16|16|And I gave baptism to the house of Stephanas; but I am not certain that any others had baptism from me.|en
32|1|17|17|基督差遣我，原不是為施洗，乃是為傳福音，並不用智慧的言語，免得基督的十字架落了空。|zh
33|1|17|17|For Christ sent me, not to give baptism, but to be a preacher of the good news: not with wise words, for fear that the cross of Christ might be made of no value.|en
34|1|18|18|因為十字架的道理，在那滅亡的人為愚拙；在我們得救的人，卻為神的大能。|zh
35|1|18|18|For the word of the cross seems foolish to those who are on the way to destruction; but to us who are on the way to salvation it is the power of God.|en
36|1|19|19|就如經上所記：我要滅絕智慧人的智慧，廢棄聰明人的聰明。|zh
37|1|19|19|As it says in the holy Writings, I will put an end to the wisdom of the wise, and will put on one side the designs of those who have knowledge.|en
38|1|20|20|智慧人在那裡？文士在那裡？這世上的辯士在那裡？神豈不是叫這世上的智慧變成愚拙麼？|zh
39|1|20|20|Where is the wise? where is he who has knowledge of the law? where is the man of this world who has a love of discussion? has not God made foolish the wisdom of this world?|en
40|1|21|21|世人憑自己的智慧，既不認識神，神就樂意用人所當作愚拙的道理，拯救那些信的人；這就是神的智慧了。|zh
41|1|21|21|For because, by the purpose of God, the world, with all its wisdom, had not the knowledge of God, it was God's pleasure, by so foolish a thing as preaching, to give salvation to those who had faith in him.|en
42|1|22|22|猶太人是要神蹟，希利尼人是求智慧，|zh
43|1|22|22|Seeing that the Jews make request for signs, and the Greeks are looking for knowledge:|en
44|1|23|23|我們卻是傳釘十字架的基督，在猶太人為絆腳石，在外邦人為愚拙；|zh
45|1|23|23|But we give the good news of Christ on the cross, a hard thing to the Jews, and a foolish thing to the Gentiles;|en
46|1|24|24|但在那蒙召的，無論是猶太人、希利尼人，基督總為神的能力，神的智慧。|zh
47|1|24|24|But to those of God's selection, Jews and Greeks, Christ is the power and the wisdom of God.|en
48|1|25|25|因神的愚拙總比人智慧，神的軟弱總比人強壯。|zh
49|1|25|25|Because what seems foolish in God is wiser than men; and what seems feeble in God is stronger than men.|en
50|1|26|26|弟兄們哪，可見你們蒙召的，按著肉體有智慧的不多，有能力的不多，有尊貴的也不多。|zh
51|1|26|26|For you see God's design for you, my brothers, that he has not taken a great number of the wise after the flesh, not the strong, not the noble:|en
52|1|27|27|神卻揀選了世上愚拙的，叫有智慧的羞愧；又揀選了世上軟弱的，叫那強壯的羞愧。|zh
53|1|27|27|But God made selection of the foolish things of this world so that he might put the wise to shame; and the feeble things that he might put to shame the strong;|en
54|1|28|28|神也揀選了世上卑賤的，被人厭惡的，以及那無有的，為要廢掉那有的。|zh
55|1|28|28|And the low things of the world, and the things without honour, did God make selection of, yes, even the things which are not, so that he might make as nothing the things which are:|en
56|1|29|29|使一切有血氣的，在神面前一個也不能自誇。|zh
57|1|29|29|So that no flesh might have glory before God.|en
58|1|30|30|但你們得在基督耶穌裡，是本乎神，神又使他成為我們的智慧、公義、聖潔、救贖。|zh
59|1|30|30|But God has given you a place in Christ Jesus, through whom God has given us wisdom and righteousness and salvation, and made us holy:|en
60|1|31|31|如經上所記：誇口的，當指著主誇口。|zh
61|1|31|31|So that, as it is said in the holy Writings, Whoever has a desire for glory, let his glory be in the Lord.|en
62|2|1|1|弟兄們，從前我到你們那裡去，並沒有用高言大智對你們宣傳神的奧祕。|zh
63|2|1|1|And when I came to you, my brothers, I did not come with wise words of knowledge, putting before you the secret of God.|en
64|2|2|2|因為我曾定了主意，在你們中間不知道別的，只知道耶穌基督並他釘十字架。|zh
65|2|2|2|For I had made the decision to have knowledge of nothing among you but only of Jesus Christ on the cross.|en
66|2|3|3|我在你們那裡，又軟弱又懼怕，又甚戰兢。|zh
67|2|3|3|And I was with you without strength, in fear and in doubt.|en
68|2|4|4|我說的話、講的道，不是用智慧委婉的言語，乃是用聖靈和大能的明證，|zh
69|2|4|4|And in my preaching there were no honeyed words of wisdom, but I was dependent on the power of the Spirit to make it clear to you:|en
70|2|5|5|叫你們的信不在乎人的智慧，只在乎神的大能。|zh
71|2|5|5|So that your faith might be based not on man's wisdom but on the power of God.|en
72|2|6|6|然而，在完全的人中，我們也講智慧。但不是這世上的智慧，也不是這世上有權有位、將要敗亡之人的智慧。|zh
73|2|6|6|But still we have wisdom for those who are complete in knowledge, though not the wisdom of this world, and not of the rulers of this world, who are coming to nothing:|en
74|2|7|7|我們講的，乃是從前所隱藏、神奧祕的智慧，就是神在萬世以前預定使我們得榮耀的。|zh
75|2|7|7|But we give the news of the secret wisdom of God, which he had kept in store before the world came into existence, for our glory;|en
76|2|8|8|這智慧世上有權有位的人沒有一個知道的、他們若知道，就不把榮耀的主釘在十字架上了。|zh
77|2|8|8|Of which not one of the rulers of this world had knowledge: for if they had, they would not have put the Lord of glory on the cross:|en
78|2|9|9|如經上所記：神為愛他的人所預備的是眼睛未曾看見，耳朵未曾聽見，人心也未曾想到的。|zh
79|2|9|9|But as it says in the holy Writings, Things which the eye saw not, and which had not come to the ears or into the heart of man, such things as God has made ready for those who have love for him.|en
80|2|10|10|只有神藉著聖靈向我們顯明了，因為聖靈參透萬事，就是神深奧的事也參透了。|zh
81|2|10|10|But God has given us the revelation of these things through his Spirit, for the Spirit makes search into all things, even the deep things of God.|en
82|2|11|11|除了在人裡頭的靈，誰知道人的事；像這樣，除了神的靈，也沒有人知道神的事。|zh
83|2|11|11|For who has knowledge of the things of a man but the spirit of the man which is in him? in the same way, no one has knowledge of the things of God but the Spirit of God.|en
84|2|12|12|我們所領受的，並不是世上的靈，乃是從神來的靈，叫我們能知道神開恩賜給我們的事。|zh
85|2|12|12|But we have not the spirit of the world, but the Spirit which comes from God, so that we may have knowledge of the things which are freely given to us by God.|en
86|2|13|13|並且我們講說這些事，不是用人智慧所指教言語，乃是用聖靈所指教的言語，將屬靈的話解釋屬靈的事。（或作：將屬靈的事講與屬靈的人）|zh
87|2|13|13|And these are the things which we say, not in the language of man's wisdom, but in words given to us by the Spirit, judging the things of the spirit by the help of the Spirit.|en
88|2|14|14|然而，屬血氣的人不領會神聖靈的事，反倒以為愚拙，並且不能知道，因為這些事惟有屬靈的人才能看透。|zh
89|2|14|14|For the natural man is not able to take in the things of the Spirit of God: for they seem foolish to him, and he is not able to have knowledge of them, because such knowledge comes only through the Spirit.|en
90|2|15|15|屬靈的人能看透萬事，卻沒有一人能看透了他。|zh
91|2|15|15|But he who has the Spirit, though judging all things, is himself judged by no one.|en
92|2|16|16|誰曾知道主的心去教導他呢？但我們是有基督的心了。|zh
93|2|16|16|For who has knowledge of the mind of the Lord, so as to be his teacher? But we have the mind of Christ.|en
94|3|1|1|弟兄們，我從前對你們說話，不能把你們當作屬靈的，只得把你們當作屬肉體，在基督裡為嬰孩的。|zh
95|3|1|1|And the teaching I gave you, my brothers, was such as I was able to give, not to those who have the Spirit, but to those who are still in the flesh, even to children in Christ.|en
96|3|2|2|我是用奶餵你們，沒有用飯餵你們。那時你們不能吃，就是如今還是不能。|zh
97|3|2|2|I gave you milk and not meat, because you were, then, unable to take it, and even now you are not able;|en
98|3|3|3|你們仍是屬肉體的，因為在你們中間有嫉妒、分爭，這豈不是屬乎肉體、照著世人的樣子行麼？|zh
