|chapter|sec|no|content|lang
0|1|1|1|作長老的寫信給蒙揀選的太太（或作：教會；下同），和他的兒女，就是我誠心所愛的；不但我愛，也是一切知道真理之人所愛的。|zh
1|1|1|1|I, a ruler in the church, send word to the noble sister who is of God's selection, and to her children, for whom I have true love; and not only I, but all who have knowledge of what is true;|en
2|1|2|2|愛你們是為真理的緣故，這真理存在我們裡面，也必永遠與我們同在。|zh
3|1|2|2|Because of this true knowledge which is in us, and will be with us for ever:|en
4|1|3|3|恩惠，憐憫，平安從父神和他兒子耶穌基督在真理和愛心上必常與我們同在！|zh
5|1|3|3|May grace, mercy, and peace be with us from God the Father, and from Jesus Christ, the Son of the Father, in all true love.|en
6|1|4|4|我見你的兒女，有照我們從父所受之命令遵行真理的，就甚歡喜。|zh
7|1|4|4|It gave me great joy to see some of your children walking in the true way, even as we were ordered to do by the Father.|en
8|1|5|5|太太阿，我現在勸你，我們大家要彼此相愛。這並不是我寫一條新命令給你，乃是我們從起初所受的命令。|zh
9|1|5|5|And now, my sister, I make a request to you, not sending you a new law, but the law which we had from the first, that we have love for one another.|en
10|1|6|6|我們若照他的命令行，這就是愛。你們從起初所聽見當行的，就是這命令。|zh
11|1|6|6|And love is the keeping of his laws. This is the law which was given to you from the first, so that you might keep it.|en
12|1|7|7|因為世上有許多迷惑人的出來，他們不認耶穌基督是成了肉身來的；這就是那迷惑人、敵基督的。|zh
13|1|7|7|Because a number of false teachers have gone out into the world, who do not give witness that Jesus Christ came in the flesh. Such a one is a false teacher and Antichrist.|en
14|1|8|8|你們要小心，不要失去你們（有古卷：我們）所做的工，乃要得著滿足的賞賜。|zh
15|1|8|8|Keep watch over yourselves, so that you do not make our work of no effect, but may get your full reward.|en
16|1|9|9|凡越過基督的教訓、不常守著的，就沒有神；常守這教訓的，就有父又有子。|zh
17|1|9|9|Anyone who goes on and does not keep to the teaching of Christ, has not God: he who keeps to the teaching has the Father and the Son.|en
18|1|10|10|若有人到你們那裡，不是傳這教訓，不要接他到家裡，也不要問他的安；|zh
19|1|10|10|If anyone comes to you not having this teaching, do not take him into your house or give him words of love:|en
20|1|11|11|因為問他安的，就在他的惡行上有分。|zh
21|1|11|11|For he who gives him words of love has a part in his evil works.|en
22|1|12|12|我還有許多事要寫給你們，卻不願意用紙墨寫出來，但盼望到你們那裡，與你們當面談論，使你們的喜樂滿足。|zh
23|1|12|12|Having much to say to you, it is not my purpose to put it all down with paper and ink: but I am hoping to come to you, and to have talk with you face to face, so that your joy may be full.|en
24|1|13|13|你那蒙揀選之姊妹的兒女都問你安。|zh
25|1|13|13|The children of your noble sister, who is of God's selection, send you their love.|en
