|chapter|sec|no|content|lang
0|1|1|1|先知哈巴谷所得的默示。|zh
1|1|1|1|The word which Habakkuk the prophet saw.|en
2|1|2|2|他說：耶和華啊！我呼求你，你不應允，要到幾時呢？我因強暴哀求你，你還不拯救。|zh
3|1|2|2|How long, O Lord, will your ears be shut to my voice? I make an outcry to you about violent behaviour, but you do not send salvation.|en
4|1|3|3|你為何使我看見罪孽？你為何看著奸惡而不理呢？毀滅和強暴在我面前，又起了爭端和相鬥的事。|zh
5|1|3|3|Why do you make me see evil-doing, and why are my eyes fixed on wrong? for wasting and violent acts are before me: and there is fighting and bitter argument.|en
6|1|4|4|因此律法放鬆，公理也不顯明，惡人圍困義人，所以公理顯然顛倒。|zh
7|1|4|4|For this reason the law is feeble and decisions are not effected: for the upright man is circled round by evil-doers; because of which right is twisted.|en
8|1|5|5|耶和華說：你們要向列國中觀看，大大驚奇；因為在你們的時候，我行一件事，雖有人告訴你們，你們總是不信。|zh
9|1|5|5|See among the nations, and take note, and be full of wonder: for in your days I am doing a work in which you will have no belief, even if news of it is given to you.|en
10|1|6|6|我必興起迦勒底人，就是那殘忍暴躁之民，通行遍地，佔據那不屬自己的住處。|zh
11|1|6|6|For see, I am sending the Chaldaeans, that bitter and quick-moving nation; who go through the wide spaces of the earth to get for themselves living-places which are not theirs.|en
12|1|7|7|他威武可畏，判斷和勢力都任意發出。|zh
13|1|7|7|They are greatly to be feared: their right comes from themselves.|en
14|1|8|8|他的馬比豹更快，比晚上的豺狼更猛。馬兵踴躍爭先，都從遠方而來；他們飛跑如鷹抓食，|zh
15|1|8|8|And their horses are quicker than leopards and their horsemen more cruel than evening wolves; they come from far away, like an eagle in flight rushing on its food.|en
16|1|9|9|都為行強暴而來，定住臉面向前，將擄掠的人聚集，多如塵沙。|zh
17|1|9|9|They are coming all of them with force; the direction of their faces is forward, the number of their prisoners is like the sands of the sea.|en
18|1|10|10|他們譏誚君王，笑話首領，嗤笑一切保障，築壘攻取。|zh
19|1|10|10|He makes little of kings, rulers are a sport to him; all the strong places are to be laughed at; for he makes earthworks and takes them.|en
20|1|11|11|他以自己的勢力為神，像風猛然掃過，顯為有罪。|zh
21|1|11|11|Then his purpose will be changed, over-stepping the limit; he will make his strength his god.|en
22|1|12|12|耶和華─我的神，我的聖者啊，你不是從亙古而有麼？我們必不致死。耶和華啊，你派定他為要刑罰人；磐石啊，你設立他為要懲治人。|zh
23|1|12|12|Are you not eternal, O Lord my God, my Holy One? for you there is no death. O Lord, he has been ordered by you for our punishment; and by you, O Rock, he has been marked out to put us right.|en
24|1|13|13|你眼目清潔，不看邪僻，不看奸惡；行詭詐的，你為何看著不理呢？惡人吞滅比自己公義的，你為何靜默不語呢？|zh
25|1|13|13|Before your holy eyes sin may not be seen, and you are unable to put up with wrong; why, then, are your eyes on the false? why do you say nothing when the evil-doer puts an end to one who is more upright than himself?|en
26|1|14|14|你為何使人如海中的魚，又如沒有管轄的爬物呢？|zh
27|1|14|14|He has made men like the fishes of the sea, like the worms which have no ruler over them.|en
