|chapter|sec|no|content|lang
0|1|1|1|當士師秉政的時候，國中遭遇饑荒。在猶大、伯利恆，有一個人帶著妻子和兩個兒子往摩押地去寄居。|zh
1|1|1|1|Now there came a time, in the days of the judges, when there was no food in the land. And a certain man went from Beth-lehem-judah, he and his wife and his two sons, to make a living-place in the country of Moab.|en
2|1|2|2|這人名叫以利米勒，他的妻名叫拿俄米；他兩個兒子，一個名叫瑪倫，一個名叫基連，都是猶大的伯利恆的以法他人。他們到了摩押地，就住在那裡。|zh
3|1|2|2|And the name of the man was Elimelech, and the name of his wife Naomi, and the name of his two sons Mahlon and Chilion, Ephrathites of Beth-lehem-judah. And they came into the country of Moab, and were there for some time.|en
4|1|3|3|後來拿俄米的丈夫以利米勒死了，剩下婦人和他兩個兒子。|zh
5|1|3|3|And Elimelech, Naomi's husband, came to his end; and only her two sons were with her.|en
6|1|4|4|這兩個兒子娶了摩押女子為妻，一個名叫俄珥巴，一個名叫路得，在那裡住了約有十年。|zh
7|1|4|4|And they took two women of Moab as their wives: the name of the one was Orpah, and the name of the other Ruth; and they went on living there for about ten years.|en
8|1|5|5|瑪倫和基連二人也死了，剩下拿俄米，沒有丈夫，也沒有兒子。|zh
9|1|5|5|And Mahlon and Chilion came to their end; and the woman was without her two sons and her husband.|en
10|1|6|6|他就與兩個兒婦起身，要從摩押地歸回；因為他在摩押地聽見耶和華眷顧自己的百姓，賜糧食與他們。|zh
11|1|6|6|So she and her daughters-in-law got ready to go back from the country of Moab, for news had come to her in the country of Moab that the Lord, in mercy for his people, had given them food.|en
12|1|7|7|於是他和兩個兒婦起行離開所住的地方，要回猶大地去。|zh
13|1|7|7|And she went out of the place where she was, and her two daughters-in-law with her; and they went on their way to go back to the land of Judah.|en
14|1|8|8|拿俄米對兩個兒婦說：你們各人回娘家去罷。願耶和華恩待你們，像你們恩待已死的人與我一樣！|zh
15|1|8|8|And Naomi said to her two daughters-in-law, Go back to your mothers' houses: may the Lord be good to you as you have been good to the dead and to me:|en
16|1|9|9|願耶和華使你們各在新夫家中得平安！於是拿俄米與他們親嘴。他們就放聲而哭，|zh
17|1|9|9|May the Lord give you rest in the houses of your husbands. Then she gave them a kiss; and they were weeping bitterly.|en
18|1|10|10|說：不然，我們必與你一同回你本國去。|zh
19|1|10|10|And they said to her, No, but we will go back with you to your people.|en
20|1|11|11|拿俄米說：我女兒們哪，回去罷！為何要跟我去呢？我還能生子作你們的丈夫麼？|zh
21|1|11|11|But Naomi said, Go back, my daughters; why will you come with me? Have I more sons in my body, to become your husbands?|en
22|1|12|12|我女兒們哪，回去罷！我年紀老邁，不能再有丈夫；即或說，我還有指望，今夜有丈夫可以生子，|zh
23|1|12|12|Go back, my daughters, and go on your way; I am so old now that I may not have another husband. If I said, I have hopes, if I had a husband tonight, and might have sons,|en
24|1|13|13|你們豈能等著他們長大呢？你們豈能等著他們不嫁別人呢？我女兒們哪，不要這樣。我為你們的緣故甚是愁苦，因為耶和華伸手攻擊我。|zh
25|1|13|13|Would you keep yourselves till they were old enough? would you keep from having husbands for them? No, my daughters; but I am very sad for you that the hand of the Lord is against me.|en
26|1|14|14|兩個兒婦又放聲而哭，俄珥巴與婆婆親嘴而別，只是路得捨不得拿俄米。|zh
27|1|14|14|Then again they were weeping; and Orpah gave her mother-in-law a kiss, but Ruth would not be parted from her.|en
28|1|15|15|拿俄米說：看哪，你嫂子已經回他本國和他所拜的神那裡去了，你也跟著你嫂子回去罷！|zh
29|1|15|15|And Naomi said, See, your sister-in-law has gone back to her people and to her gods: go back after your sister-in-law.|en
30|1|16|16|路得說：不要催我回去不跟隨你。你往哪裡去，我也往那裡去；你在哪裡住宿，我也在那裡住宿；你的國就是我的國，你的神就是我的　神。|zh
