|chapter|sec|no|content|lang
0|1|1|1|以法蓮山地的拉瑪瑣非有一個以法蓮人，名叫以利加拿，是蘇弗的玄孫，託戶的曾孫，以利戶的孫子，耶羅罕的兒子。|zh
1|1|1|1|Now there was a certain man of Ramathaim, a Zuphite of the hill-country of Ephraim, named Elkanah; he was the son of Jeroham, the son of Elihu, the son of Tohu, the son of Zuph, an Ephraimite:|en
2|1|2|2|他有兩個妻：一名哈拿，一名毗尼拿。毗尼拿有兒女，哈拿沒有兒女。|zh
3|1|2|2|And he had two wives, one named Hannah and the other Peninnah: and Peninnah was the mother of children, but Hannah had no children.|en
4|1|3|3|這人每年從本城上到示羅，敬拜祭祀萬軍之耶和華；在那裡有以利的兩個兒子何弗尼、非尼哈當耶和華的祭司。|zh
5|1|3|3|Now this man went up from his town every year to give worship and to make offerings to the Lord of armies in Shiloh. And the two sons of Eli, Hophni and Phinehas, the priests of the Lord, were there.|en
6|1|4|4|以利加拿每逢獻祭的日子，將祭肉分給他的妻毗尼拿和毗尼拿所生的兒女；|zh
7|1|4|4|And when the day came for Elkanah to make his offering, he gave to Peninnah his wife, and to all her sons and daughters, their part of the feast:|en
8|1|5|5|給哈拿的卻是雙分，因為他愛哈拿。無奈耶和華不使哈拿生育。|zh
9|1|5|5|But to Hannah he gave one part, though Hannah was very dear to him, but the Lord had not let her have children.|en
10|1|6|6|毗尼拿見耶和華不使哈拿生育，就作他的對頭，大大激動他，要使他生氣。|zh
11|1|6|6|And the other wife did everything possible to make her unhappy, because the Lord had not let her have children;|en
12|1|7|7|每年上到耶和華殿的時候，以利加拿都以雙分給哈拿；毗尼拿仍是激動他，以致他哭泣不吃飯。|zh
13|1|7|7|And year by year, whenever she went up to the house of the Lord, she kept on attacking her, so that Hannah gave herself up to weeping and would take no food.|en
14|1|8|8|他丈夫以利加拿對他說：哈拿啊，你為何哭泣，不吃飯，心裡愁悶呢？有我不比十個兒子還好麼？|zh
15|1|8|8|Then her husband Elkanah said to her, Hannah, why are you weeping? and why are you taking no food? why is your heart troubled? am I not more to you than ten sons?|en
16|1|9|9|他們在示羅吃喝完了，哈拿就站起來。祭司以利在耶和華殿的門框旁邊，坐在自己的位上。|zh
17|1|9|9|So after they had taken food and wine in the guest room, Hannah got up. Now Eli the priest was seated by the pillars of the doorway of the Temple of the Lord.|en
