|chapter|sec|no|content|lang
0|1|1|1|耶穌基督的使徒彼得寫信給那分散在本都、加拉太、加帕多家、亞西亞、庇推尼寄居的，|zh
1|1|1|1|Peter, an Apostle of Jesus Christ, to the saints who are living in Pontus, Galatia, Cappadocia, Asia, and Bithynia,|en
2|1|2|2|就是照父神的先見被揀選，藉著聖靈得成聖潔，以致順服耶穌基督，又蒙他血所灑的人。願恩惠、平安多多的加給你們。|zh
3|1|2|2|Who, through the purpose of God, have been made holy by the Spirit, disciples of Jesus, made clean by his blood: May you have grace and peace in full measure.|en
4|1|3|3|願頌讚歸與我們主耶穌基督的父神！他曾照自己的大憐憫，藉耶穌基督從死裡復活，重生了我們，叫我們有活潑的盼望，|zh
5|1|3|3|Praise be to the God and Father of our Lord Jesus Christ, who through his great mercy has given us a new birth and a living hope by the coming again of Jesus Christ from the dead,|en
6|1|4|4|可以得著不能朽壞、不能玷污、不能衰殘、為你們存留在天上的基業。|zh
7|1|4|4|And a heritage fair, holy and for ever new, waiting in heaven for you,|en
8|1|5|5|你們這因信蒙神能力保守的人，必能得著所預備、到末世要顯現的救恩。|zh
9|1|5|5|Who, by the power of God are kept, through faith, for that salvation, which will be seen at the last day.|en
10|1|6|6|因此，你們是大有喜樂；但如今，在百般的試煉中暫時憂愁，|zh
11|1|6|6|You have cause for great joy in this, though it may have been necessary for you to be troubled for a little time, being tested in all sorts of ways,|en
12|1|7|7|叫你們的信心既被試驗，就比那被火試驗仍然能壞的金子更顯寶貴，可以在耶穌基督顯現的時候得著稱讚、榮耀、尊貴。|zh
13|1|7|7|So that the true metal of your faith, being of much greater value than gold (which, though it comes to an end, is tested by fire), may come to light in praise and glory and honour, at the revelation of Jesus Christ:|en
14|1|8|8|你們雖然沒有見過他，卻是愛他；如今雖不得看見，卻因信他就有說不出來、滿有榮光的大喜樂；|zh
15|1|8|8|To whom your love is given, though you have not seen him; and the faith which you have in him, though you do not see him now, gives you joy greater than words and full of glory:|en
16|1|9|9|並且得著你們信心的果效，就是靈魂的救恩。|zh
17|1|9|9|For so you have the true end of your faith, even the salvation of your souls.|en
18|1|10|10|論到這救恩，那預先說你們要得恩典的眾先知早已詳細的尋求考察，|zh
19|1|10|10|For the prophets who gave the news of the grace which would come to you, made search with all care for knowledge of this salvation;|en
20|1|11|11|就是考察在他們心裡基督的靈，預先證明基督受苦難，後來得榮耀，是指著甚麼時候，並怎樣的時候。|zh
