|chapter|sec|no|content|lang
0|1|1|1|亞哈死後，摩押背叛以色列。|zh
1|1|1|1|After the death of Ahab, Moab made itself free from the authority of Israel.|en
2|1|2|2|亞哈謝在撒瑪利亞，一日從樓上的欄杆裡掉下來，就病了；於是差遣使者說：你們去問以革倫的神巴力西卜，我這病能好不能好。|zh
3|1|2|2|Now Ahaziah had a fall from the window of his room in Samaria, and was ill. And he sent men, and said to them, Put a question to Baal-zebub, the god of Ekron, about the outcome of my disease, to see if I will get well or not.|en
4|1|3|3|但耶和華的使者對提斯比人以利亞說：你起來，去迎著撒瑪利亞王的使者，對他們說：你們去問以革倫神巴力西卜，豈因以色列中沒有　神麼？|zh
5|1|3|3|But the angel of the Lord said to Elijah the Tishbite, Go now, and, meeting the men sent by the king of Samaria, say to them, Is it because there is no God in Israel, that you are going to get directions from Baal-zebub, the god of Ekron?|en
6|1|4|4|所以耶和華如此說：你必不下你所上的床，必定要死！以利亞就去了。|zh
7|1|4|4|Give ear then to the words of the Lord: You will never again get down from the bed on to which you have gone up, but death will certainly come to you. Then Elijah went away.|en
8|1|5|5|使者回來見王，王問他們說：你們為甚麼回來呢？|zh
9|1|5|5|And the men he had sent came back to the king; and he said to them, Why have you come back?|en
10|1|6|6|使者回答說：有一個人迎著我們來，對我們說：你們回去見差你們來的王，對他說：耶和華如此說，你差人去問以革倫神巴力西卜，豈因以色列中沒有　神麼？所以你必不下所上的床，必定要死。|zh
11|1|6|6|And they said to him, On our way we had a meeting with a man who said, Go back to the king who sent you and say to him, The Lord says, Is it because there is no God in Israel that you send to put a question to Baal-zebub, the god of Ekron? For this reason, you will not come down from the bed on to which you have gone up, but death will certainly come to you.|en
12|1|7|7|王問他們說：迎著你們來告訴你們這話的，是怎樣的人？|zh
13|1|7|7|And he said to them, What sort of a man was it who came and said these words to you?|en
14|1|8|8|回答說：他身穿毛衣，腰束皮帶。王說：這必是提斯比人以利亞。|zh
15|1|8|8|And they said in answer, He was a man clothed in a coat of hair, with a leather band about his body. Then he said, It is Elijah the Tishbite.|en
16|1|9|9|於是，王差遣五十夫長，帶領五十人去見以利亞，他就上到以利亞那裡；以利亞正坐在山頂上。五十夫長對他說：神人哪，王吩咐你下來！|zh
17|1|9|9|Then the king sent to him a captain of fifty with his fifty men; and he went up to him where he was seated on the top of a hill, and said to him, O man of God, the king has said, Come down.|en
18|1|10|10|以利亞回答說：我若是神人，願火從天上降下來，燒滅你和你那五十人！於是有火從天上降下來，燒滅五十夫長和他那五十人。|zh
19|1|10|10|And Elijah in answer said to the captain of fifty, If I am a man of God, may fire come down from heaven on you and on your fifty men, and put an end to you. Then fire came down from heaven and put an end to him and his fifty men.|en
20|1|11|11|王第二次差遣一個五十夫長，帶領五十人去見以利亞。五十夫長對以利亞說：神人哪，王吩咐你快快下來！|zh
21|1|11|11|Then the king sent another captain of fifty with his fifty men; and he said to Elijah, O man of God, the king says, Come down quickly.|en
22|1|12|12|以利亞回答說：我若是神人，願火從天上降下來，燒滅你和你那五十人！於是　神的火從天上降下來，燒滅五十夫長和他那五十人。|zh
23|1|12|12|And Elijah in answer said, If I am a man of God, may fire come down from heaven on you and on your fifty men, and put an end to you. And the fire of God came down from heaven, and put an end to him and his fifty men.|en
24|1|13|13|王第三次差遣一個五十夫長，帶領五十人去。這五十夫長上去，雙膝跪在以利亞面前，哀求他說：神人哪，願我的性命和你這五十個僕人的性命在你眼前看為寶貴！|zh
25|1|13|13|Then he sent a third captain of fifty with his fifty men; and the third captain of fifty went up, and falling on his knees before Elijah, requesting mercy of him, said, O man of God, let my life and the life of these your fifty servants be of value to you.|en
26|1|14|14|已經有火從天上降下來，燒滅前兩次來的五十夫長和他們各自帶的五十人；現在願我的性命在你眼前看為寶貴！|zh
27|1|14|14|For fire came down from heaven and put an end to the first two captains of fifty and their fifties; but now let my life be of value in your eyes.|en
28|1|15|15|耶和華的使者對以利亞說：你同著他下去，不要怕他！以利亞就起來，同著他下去見王，|zh
29|1|15|15|Then the angel of the Lord said to Elijah, Go down with him; have no fear of him. So he got up and went down with him to the king.|en
30|1|16|16|對王說：耶和華如此說：你差人去問以革倫神巴力西卜，豈因以色列中沒有　神可以求問麼？所以你必不下所上的床，必定要死！|zh
31|1|16|16|And he said to him, This is the word of the Lord: Because you sent men to put a question to Baal-zebub, the god of Ekron, for this reason you will never again get down from the bed on to which you have gone up, but death will certainly come to you.|en
32|1|17|17|亞哈謝果然死了，正如耶和華藉以利亞所說的話。因他沒有兒子，他兄弟約蘭接續他作王，正在猶大王約沙法的兒子約蘭第二年。|zh
33|1|17|17|So death came to him, as the Lord had said by the mouth of Elijah. And Jehoram became king in his place in the second year of the rule of Jehoram, son of Jehoshaphat, king of Judah; because he had no son.|en
34|1|18|18|亞哈謝其餘所行的事都寫在以色列諸王記上。|zh
35|1|18|18|Now the rest of the acts of Ahaziah, are they not recorded in the book of the history of the kings of Israel?|en
36|2|1|1|耶和華要用旋風接以利亞升天的時候，以利亞與以利沙從吉甲前往。|zh
37|2|1|1|Now when the Lord was about to take Elijah up to heaven in a great wind, Elijah went with Elisha from Gilgal.|en
