|chapter|sec|no|content|lang
0|1|1|1|耶和華的話臨到毗土珥的兒子約珥。|zh
1|1|1|1|The word of the Lord which came to Joel, the son of Pethuel.|en
2|1|2|2|老年人哪，當聽我的話；國中的居民哪，都要側耳而聽。在你們的日子，或你們列祖的日子，曾有這樣的事麼？|zh
3|1|2|2|Give ear to this, you old men, and take note, you people of the land. Has this ever been in your days, or in the days of your fathers?|en
4|1|3|3|你們要將這事傳與子，子傳與孫，孫，傳與後代。|zh
5|1|3|3|Give the story of it to your children, and let them give it to their children, and their children to another generation.|en
6|1|4|4|剪蟲剩下的，蝗蟲來吃；蝗蟲剩下的，蝻子來吃；蝻子剩下的，螞蚱來吃。|zh
7|1|4|4|What the worm did not make a meal of, has been taken by the locust; and what the locust did not take, has been food for the plant-worm; and what the plant-worm did not take, has been food for the field-fly.|en
8|1|5|5|酒醉的人哪，要清醒哭泣；好酒的人哪，都要為甜酒哀號，因為從你們的口中斷絕了。|zh
9|1|5|5|Come out of your sleep, you who are overcome with wine, and give yourselves to weeping; give cries of sorrow, all you drinkers of wine, because of the sweet wine; for it has been cut off from your mouths.|en
10|1|6|6|有一隊蝗蟲（原文是民）又強盛又無數，侵犯我的地；他的牙齒如獅子的牙齒，大牙如母獅的大牙。|zh
11|1|6|6|For a nation has come up over my land, strong and without number; his teeth are the teeth of a lion, and he has the back teeth of a great lion.|en
12|1|7|7|他毀壞我的葡萄樹，剝了我無花果樹的皮，剝盡而丟棄，使枝條露白。|zh
13|1|7|7|By him my vine is made waste and my fig-tree broken: he has taken all its fruit and sent it down to the earth; its branches are made white.|en
14|1|8|8|我的民哪，你當哀號，像處女腰束麻布，為幼年的丈夫哀號。|zh
15|1|8|8|Make sounds of grief like a virgin dressed in haircloth for the husband of her early years.|en
16|1|9|9|素祭和奠祭從耶和華的殿中斷絕；事奉耶和華的祭司都悲哀。|zh
17|1|9|9|The meal offering and the drink offering have been cut off from the house of the Lord; the priests, the Lord's servants, are sorrowing.|en
18|1|10|10|田荒涼，地悲哀；因為五穀毀壞，新酒乾竭，油也缺乏。|zh
19|1|10|10|The fields are wasted, the land has become dry; for the grain is wasted, the new wine is kept back, the oil is poor.|en
20|1|11|11|農夫啊，你們要慚愧,修理葡萄園的啊，你們要哀號；因為大麥小麥與田間的莊稼都滅絕了。|zh
21|1|11|11|The farmers are shamed, the workers in the vine-gardens give cries of grief, for the wheat and the barley; for the produce of the fields has come to destruction.|en
22|1|12|12|葡萄樹枯乾；無花果樹衰殘。石榴樹、棕樹、蘋果樹，連田野一切的樹木也都枯乾；眾人的喜樂盡都消滅。|zh
23|1|12|12|The vine has become dry and the fig-tree is feeble; the pomegranate and the palm-tree and the apple-tree, even all the trees of the field, are dry: because joy has gone from the sons of men.|en
24|1|13|13|祭司啊，你們當腰束麻布痛哭；伺候祭壇的啊，你們要哀號；事奉我神的啊，你們要來披上麻布過夜，因為素祭和奠祭從你們　神的殿中斷絕了。|zh
25|1|13|13|Put haircloth round you and give yourselves to sorrow, you priests; give cries of grief, you servants of the altar: come in, and, clothed in haircloth, let the night go past, you servants of my God: for the meal offering and the drink offering have been kept back from the house of your God.|en
26|1|14|14|你們要分定禁食的日子，宣告嚴肅會，招聚長老和國中的一切居民到耶和華─你們神的殿，向耶和華哀求。|zh
27|1|14|14|Let a time be fixed for going without food, have a holy meeting, let the old men, even all the people of the land, come together to the house of the Lord your God, crying out to the Lord.|en
28|1|15|15|哀哉!耶和華的日子臨近了。這日來到，好像毀滅從全能者來到。|zh
29|1|15|15|Sorrow for the day! for the day of the Lord is near, and as destruction from the Ruler of all it will come.|en
30|1|16|16|糧食不是在我們眼前斷絕了嗎？歡喜快樂不是從我們神的殿中止息了嗎？|zh
31|1|16|16|Is not food cut off before our eyes? joy and delight from the house of our God?|en
32|1|17|17|穀種在土塊下朽爛；倉也荒涼，廩也破壞；因為五穀枯乾了。|zh
33|1|17|17|The grains have become small and dry under the spade; the store-houses are made waste, the grain-stores are broken down; for the grain is dry and dead.|en
34|1|18|18|牲畜哀鳴；牛群混亂，因為無草；羊群也受了困苦。|zh
