|chapter|sec|no|content|lang
0|1|1|1|以下所記的是摩西在約但河東的曠野、疏弗對面的亞拉巴─就是巴蘭、陀弗、拉班、哈洗錄、底撒哈中間─向以色列眾人所說的話。|zh
1|1|1|1|These are the words which Moses said to all Israel on the far side of Jordan, in the waste land in the Arabah opposite Suph, between Paran on the one side, and Tophel, Laban, Hazeroth, and Dizahab on the other.|en
2|1|2|2|從何烈山經過西珥山到加低斯巴尼亞有十一天的路程。）|zh
3|1|2|2|It is eleven days' journey from Horeb by the way of Mount Seir to Kadesh-barnea.|en
4|1|3|3|出埃及第四十年十一月初一日，摩西照耶和華藉著他所吩咐以色列人的話都曉諭他們。|zh
5|1|3|3|Now in the fortieth year, on the first day of the eleventh month, Moses gave to the children of Israel all the orders which the Lord had given him for them;|en
6|1|4|4|那時，他已經擊殺了住希實本的亞摩利王西宏和住以得來、亞斯他錄的巴珊王噩。|zh
7|1|4|4|After he had overcome Sihon, king of the Amorites, ruling in Heshbon, and Og, king of Bashan, ruling in Ashtaroth, at Edrei:|en
8|1|5|5|摩西在約但河東的摩押地講律法說：|zh
9|1|5|5|On the far side of Jordan in the land of Moab, Moses gave the people this law, saying,|en
10|1|6|6|耶和華─我們的神在何烈山曉諭我們說：你們在這山上住的日子夠了；|zh
11|1|6|6|The Lord our God said to us in Horeb, You have been long enough in this mountain:|en
12|1|7|7|要起行轉到亞摩利人的山地和靠近這山地的各處，就是亞拉巴、山地、高原、南地，沿海一帶迦南人的地，並利巴嫩山又到伯拉大河。|zh
13|1|7|7|Make a move now, and go on your way into the hill-country of the Amorites and the places near it, in the Arabah and the hill-country and in the lowlands and in the South and by the seaside, all the land of the Canaanites, and Lebanon, as far as the great river, the river Euphrates.|en
14|1|8|8|如今我將這地擺在你們面前；你們要進去得這地，就是耶和華向你們列祖亞伯拉罕、以撒、雅各起誓應許賜給他們和他們後裔為業之地。|zh
15|1|8|8|See, all the land is before you: go in and take for yourselves the land which the Lord gave by an oath to your fathers, Abraham, Isaac, and Jacob, and to their seed after them.|en
16|1|9|9|那時，我對你們說：管理你們的重任，我獨自擔當不起。|zh
17|1|9|9|At that time I said to you, I am not able to undertake the care of you by myself;|en
18|1|10|10|耶和華─你們的神使你們多起來。看哪，你們今日像天上的星那樣多。|zh
19|1|10|10|The Lord your God has given you increase, and now you are like the stars of heaven in number.|en
20|1|11|11|惟願耶和華─你們列祖的神使你們比如今更多千倍，照他所應許你們的話賜福與你們。|zh
21|1|11|11|May the Lord, the God of your fathers, make you a thousand times greater in number than you are, and give you his blessing as he has said!|en
22|1|12|12|但你們的麻煩，和管理你們的重任，並你們的爭訟，我獨自一人怎能擔當得起呢？|zh
23|1|12|12|How is it possible for me by myself to be responsible for you, and undertake the weight of all your troubles and your arguments?|en
24|1|13|13|你們要按著各支派選舉有智慧、有見識、為眾人所認識的，我立他們為你們的首領。|zh
25|1|13|13|Take for yourselves men who are wise, far-seeing, and respected among you, from your tribes, and I will make them rulers over you.|en
26|1|14|14|你們回答我說：照你所說的行了為妙。|zh
