|chapter|sec|no|content|lang
0|1|1|1|神既在古時藉著眾先知多次多方的曉諭列祖，|zh
1|1|1|1|In times past the word of God came to our fathers through the prophets, in different parts and in different ways;|en
2|1|2|2|就在這末世藉著他兒子曉諭我們；又早已立他為承受萬有的，也曾藉著他創造諸世界。|zh
3|1|2|2|But now, at the end of these days, it has come to us through his Son, to whom he has given all things for a heritage, and through whom he made the order of the generations;|en
4|1|3|3|他是神榮耀所發的光輝，是神本體的真像，常用他權能的命令托住萬有。他洗淨了人的罪，就坐在高天至大者的右邊。|zh
5|1|3|3|Who, being the outshining of his glory, the true image of his substance, supporting all things by the word of his power, having given himself as an offering making clean from sins, took his seat at the right hand of God in heaven;|en
6|1|4|4|他所承受的名，既比天使的名更尊貴，就遠超過天使。|zh
7|1|4|4|Having become by so much better than the angels, as the name which is his heritage is more noble than theirs.|en
8|1|5|5|所有的天使，神從來對那一個說，你是我的兒子，我今日生你？又指著那一個說：我要作他的父，他要作我的子？|zh
9|1|5|5|To which of the angels did God say at any time, You are my Son, this day I have given you being? or, I will be his Father, and he will be my Son?|en
10|1|6|6|再者，神使長子到世上來的時候（或作：神再使長子到世上來的時候），就說：神的使者都要拜他。|zh
11|1|6|6|And again, when he is sending his only Son into the world, he says, Let all the angels of God give him worship.|en
12|1|7|7|論到使者，又說：神以風為使者，以火燄為僕役；|zh
13|1|7|7|And of the angels he says, Who makes his angels winds, and his servants flames of fire:|en
14|1|8|8|論到子卻說：神阿，你的寶座是永永遠遠的；你的國權是正直的。|zh
15|1|8|8|But of the Son he says, Your seat of power, O God, is for ever and ever; and the rod of your kingdom is a rod of righteousness.|en
16|1|9|9|你喜愛公義，恨惡罪惡；所以神，就是你的神，用喜樂油膏你，勝過膏你的同伴；|zh
17|1|9|9|You have been a lover of righteousness and a hater of evil; and so God, your God, has put the oil of joy on your head more than on the heads of those who are with you.|en
18|1|10|10|又說：主阿，你起初立了地的根基；天也是你手所造的。|zh
19|1|10|10|You, Lord, at the first did put the earth on its base, and the heavens are the works of your hands:|en
20|1|11|11|天地都要滅沒，你卻要長存。天地都要像衣服漸漸舊了；|zh
21|1|11|11|They will come to their end; but you are for ever; they will become old as a robe;|en
22|1|12|12|你要將天地捲起來，像一件外衣，天地就都改變了。惟有你永不改變；你的年數沒有窮盡。|zh
23|1|12|12|They will be rolled up like a cloth, even like a robe, and they will be changed: but you are the same and your years will have no end.|en
24|1|13|13|所有的天使，神從來對那一個說：你坐在我的右邊，等我使你仇敵作你的腳凳？|zh
25|1|13|13|But of which of the angels has he said at any time, Take your seat at my right hand till I put all those who are against you under your feet?|en
26|1|14|14|天使豈不都是服役的靈、奉差遣為那將要承受救恩的人效力麼？|zh
27|1|14|14|Are they not all helping spirits, who are sent out as servants to those whose heritage will be salvation?|en
28|2|1|1|所以，我們當越發鄭重所聽見的道理，恐怕我們隨流失去。|zh
29|2|1|1|For this reason there is the more need for us to give attention to the things which have come to our ears, for fear that by chance we might be slipping away.|en
30|2|2|2|那藉著天使所傳的話既是確定的；凡犯悖逆的都受了該受的報應。|zh
31|2|2|2|Because if the word which came through the angels was fixed, and in the past every evil act against God's orders was given its full punishment;|en
32|2|3|3|我們若忽略這麼大的救恩，怎能逃罪呢？這救恩起先是主親自講的，後來是聽見的人給我們證實了。|zh
33|2|3|3|What will come on us, if we do not give our minds to such a great salvation? a salvation of which our fathers first had knowledge through the words of the Lord, and which was made certain to us by those to whom his words came;|en
34|2|4|4|神又按自己的旨意，用神蹟、奇事和百般的異能，並聖靈的恩賜，同他們作見證。|zh
35|2|4|4|And God was a witness with them, by signs and wonders, and by more than natural powers, and by his distribution of the Holy Spirit at his pleasure.|en
36|2|5|5|我們所說將來的世界，神原沒有交給天使管轄。|zh
37|2|5|5|For he did not make the angels rulers over the world to come, of which I am writing.|en
38|2|6|6|但有人在經上某處證明說：人算甚麼，你竟顧念他？世人算甚麼，你竟眷顧他？|zh
39|2|6|6|But a certain writer has given his witness, saying, What is man, that you keep him in mind? what is the son of man, that you take him into account?|en
40|2|7|7|你叫他比天使微小一點（或作：你叫他暫時比天使小），賜他榮耀尊貴為冠冕，並將你手所造的都派他管理，|zh
41|2|7|7|You made him a little lower than the angels; you gave him a crown of glory and honour, and made him ruler over all the works of your hands:|en
42|2|8|8|叫萬物都服在他的腳下。既叫萬物都服他，就沒有剩下一樣不服他的。只是如今我們還不見萬物都服他。|zh
43|2|8|8|You put all things under his feet. For in making man the ruler over all things, God did not put anything outside his authority; though we do not see everything under him now.|en
44|2|9|9|惟獨見那成為比天使小一點的耶穌（或作：惟獨見耶穌暫時比天使小）；因為受死的苦，就得了尊貴榮耀為冠冕，叫他因著神的恩，為人人嘗了死味。|zh
45|2|9|9|But we see him who was made a little lower than the angels, even Jesus, crowned with glory and honour, because he let himself be put to death so that by the grace of God he might undergo death for all men.|en
46|2|10|10|原來那為萬物所屬為萬物所本的，要領許多的兒子進榮耀裡去，使救他們的元帥，因受苦難得以完全，本是合宜的。|zh
47|2|10|10|Because it was right for him, for whom and through whom all things have being, in guiding his sons to glory, to make the captain of their salvation complete through pain.|en
48|2|11|11|因那使人成聖的和那些得以成聖的，都是出於一。所以，他稱他們為弟兄也不以為恥，|zh
49|2|11|11|For he who makes holy and those who are made holy are all of one family; and for this reason it is no shame for him to give them the name of brothers,|en
50|2|12|12|說：我要將你的名傳與我的弟兄，在會中我要頌揚你；|zh
51|2|12|12|Saying, I will give the knowledge of your name to my brothers, I will make a song of praise to you before the church.|en
52|2|13|13|又說：我要倚賴他；又說：看哪，我與神所給我的兒女。|zh
53|2|13|13|And again he says, I will put my faith in him. And again, See, I am here, and the children which God has given to me.|en
54|2|14|14|兒女既同有血肉之體，他也照樣親自成了血肉之體，特要藉著死敗壞那掌死權的，就是魔鬼，|zh
55|2|14|14|And because the children are flesh and blood, he took a body himself and became like them; so that by his death he might put an end to him who had the power of death, that is to say, the Evil One;|en
56|2|15|15|並要釋放那些一生因怕死而為奴僕的人。|zh
57|2|15|15|And let those who all their lives were in chains because of their fear of death, go free.|en
58|2|16|16|他並不救拔天使，乃是救拔亞伯拉罕的後裔。|zh
59|2|16|16|For, truly, he does not take on the life of angels, but that of the seed of Abraham.|en
60|2|17|17|所以，他凡事該與他的弟兄相同，為要在神的事上成為慈悲忠信的大祭司，為百姓的罪獻上挽回祭。|zh
61|2|17|17|Because of this it was necessary for him to be made like his brothers in every way, so that he might be a high priest full of mercy and keeping faith in everything to do with God, making offerings for the sins of the people.|en
62|2|18|18|他自己既然被試探而受苦，就能搭救被試探的人。|zh
63|2|18|18|For having been put to the test himself, he is able to give help to others when they are tested.|en
64|3|1|1|同蒙天召的聖潔弟兄阿，你們應當思想我們所認為使者、為大祭司的耶穌。|zh
65|3|1|1|For this reason, holy brothers, marked out to have a part in heaven, give thought to Jesus the representative and high priest of our faith;|en
66|3|2|2|他為那設立他的盡忠，如同摩西在神的全家盡忠一樣。|zh
67|3|2|2|Who kept faith with God who gave him his place, even as Moses did in all his house.|en
68|3|3|3|他比摩西算是更配多得榮耀，好像建造房屋的比房屋更尊榮；|zh
69|3|3|3|And it was right for this man to have more honour than Moses, even as the builder of a house has more honour than the house.|en
70|3|4|4|因為房屋都必有人建造，但建造萬物的就是神。|zh
71|3|4|4|For every house has a builder; but the builder of all things is God.|en
72|3|5|5|摩西為僕人，在神的全家誠然盡忠，為要證明將來必傳說的事。|zh
73|3|5|5|And Moses certainly kept faith as a servant, in all his house, and as a witness of those things which were to be said later;|en
74|3|6|6|但基督為兒子，治理神的家；我們若將可誇的盼望和膽量堅持到底，便是他的家了。|zh
75|3|6|6|But Christ as a son, over his house; whose house are we, if we keep our hearts fixed in the glad and certain hope till the end.|en
76|3|7|7|聖靈有話說：你們今日若聽他的話，|zh
77|3|7|7|And so, as the Holy Spirit says, Today if you let his voice come to your ears,|en
78|3|8|8|就不可硬著心，像在曠野惹他發怒、試探他的時候一樣。|zh
79|3|8|8|Be not hard of heart, as when you made me angry, on the day of testing in the waste land,|en
80|3|9|9|在那裡，你們的祖宗試我探我，並且觀看我的作為有四十年之久。|zh
81|3|9|9|When your fathers put me to the test, and saw my works for forty years.|en
82|3|10|10|所以，我厭煩那世代的人，說：他們心裡常常迷糊，竟不曉得我的作為！|zh
83|3|10|10|So that I was angry with this generation, and I said, Their hearts are in error at all times, and they have no knowledge of my ways;|en
84|3|11|11|我就在怒中起誓說；他們斷不可進入我的安息。|zh
85|3|11|11|And being angry I made an oath, saying, They may not come into my rest.|en
86|3|12|12|弟兄們，你們要謹慎，免得你們中間或有人存著不信的惡心，把永生神離棄了。|zh
87|3|12|12|My brothers, take care that there is not by chance in any one of you an evil heart without belief, turning away from the living God:|en
88|3|13|13|總要趁著還有今日，天天彼此相勸，免得你們中間有人被罪迷惑，心裡就剛硬了。|zh
89|3|13|13|But give comfort to one another every day as long as it is still Today; so that no one among you may be made hard by the deceit of sin:|en
90|3|14|14|我們若將起初確實的信心堅持到底，就在基督裡有分了。|zh
91|3|14|14|For if we keep the substance of the faith which we had at the start, even till the end, we have a part with Christ;|en
92|3|15|15|經上說：你們今日若聽他的話，就不可硬著心，像惹他發怒的日子一樣。|zh
