|chapter|sec|no|content|lang
0|1|1|1|保羅、西拉、提摩太寫信給帖撒羅尼迦在父神和主耶穌基督裡的教會。願恩惠平安歸與你們！|zh
1|1|1|1|Paul and Silvanus and Timothy, to the church of the Thessalonians in God the Father and the Lord Jesus Christ: Grace to you and peace.|en
2|1|2|2|我們為你們眾人常常感謝神，禱告的時候提到你們，|zh
3|1|2|2|We give praise to God at all times for you, keeping you in memory in our prayers;|en
4|1|3|3|在神我們的父面前，不住的記念你們因信心所做的工夫，因愛心所受的勞苦，因盼望我們主耶穌基督所存的忍耐。|zh
5|1|3|3|Having ever in mind your work of faith and acts of love and the strength of your hope in our Lord Jesus Christ, before our God and Father;|en
6|1|4|4|被神所愛的弟兄阿，我知道你們是蒙揀選的；|zh
7|1|4|4|Being conscious, my brothers, dear to God, that you have been marked out by God's purpose;|en
8|1|5|5|因為我們的福音傳到你們那裡，不獨在乎言語，也在乎權能和聖靈，並充足的信心，正如你們知道、我們在你們那裡，為你們的緣故是怎樣為人。|zh
9|1|5|5|Because our good news came to you, not in word only, but in power, and in the Holy Spirit, so that you were completely certain of it; even as you saw what our behaviour to you was like from our love to you.|en
10|1|6|6|並且你們在大難之中，蒙了聖靈所賜的喜樂，領受真道就效法我們，也效法了主；|zh
11|1|6|6|And you took us and the Lord as your example, after the word had come to you in much trouble, with joy in the Holy Spirit;|en
12|1|7|7|甚至你們作了馬其頓和亞該亞所有信主之人的榜樣。|zh
13|1|7|7|So that you became an example to all those who have faith in Christ in Macedonia and Achaia.|en
14|1|8|8|因為主的道從你們那裡已經傳揚出來。你們向神的信心不但在馬其頓和亞該亞，就是在各處也都傳開了；所以不用我們說甚麼話。|zh
15|1|8|8|For not only was the word of the Lord sounding out from you in Macedonia and Achaia, but in every place your faith in God is made clear; so that we have no need to say anything.|en
16|1|9|9|因為他們自己已經報明我們是怎樣進到你們那裡，你們是怎樣離棄偶像，歸向神，要服事那又真又活的神，|zh
17|1|9|9|For they themselves give the news of how we came among you; and how you were turned from images to God, to the worship of a true and living God,|en
18|1|10|10|等候他兒子從天降臨，就是他從死裡復活的─那位救我們脫離將來忿怒的耶穌。|zh
19|1|10|10|Waiting for his Son from heaven, who came back from the dead, even Jesus, our Saviour from the wrath to come.|en
20|2|1|1|弟兄們，你們自己原曉得我們進到你們那裡並不是徒然的。|zh
21|2|1|1|For you yourselves, brothers, are conscious that our coming among you was not without effect:|en
22|2|2|2|我們從前在腓立比被害受辱，這是你們知道的；然而還是靠我們的神放開膽量，在大爭戰中把神的福音傳給你們。|zh
23|2|2|2|But after we had first undergone much pain and been cruelly attacked as you saw, at Philippi, by the help of God we gave you the good news without fear, though everything was against us.|en
24|2|3|3|我們的勸勉不是出於錯誤，不是出於污穢，也不是用詭詐。|zh
25|2|3|3|For our witness does not come from error or from an unclean heart or from deceit:|en
26|2|4|4|但神既然驗中了我們，把福音託付我們，我們就照樣講，不是要討人喜歡，乃是要討那察驗我們心的神喜歡。|zh
27|2|4|4|But even as the good news was given to us by the approval of God, so we give it out; not as pleasing men, but God by whom our hearts are tested.|en
28|2|5|5|因為我們從來沒有用過諂媚的話，這是你們知道的；也沒有藏著貪心，這是神可以作見證的。|zh
29|2|5|5|For it is common knowledge among you that we never made use of smooth-sounding false words, and God is witness that at no time were we secretly desiring profit for ourselves,|en
30|2|6|6|我們作基督的使徒，雖然可以叫人尊重，卻沒有向你們或向別人求榮耀；|zh
31|2|6|6|Or looking for glory from men, from you or from others, when we might have made ourselves a care to you as Apostles of Christ.|en
32|2|7|7|只在你們中間存心溫柔，如同母親乳養自己的孩子。|zh
33|2|7|7|But we were gentle among you, like a woman caring for her little ones:|en
34|2|8|8|我們既是這樣愛你們，不但願意將神的福音給你們，連自己的性命也願意給你們，因你們是我們所疼愛的。|zh
35|2|8|8|Even so, being full of loving desire for you, we took delight in giving you not only God's good news, but even our lives, because you were dear to us.|en
36|2|9|9|弟兄們，你們記念我們的辛苦勞碌，晝夜做工，傳神的福音給你們，免得叫你們一人受累。|zh
37|2|9|9|For you have the memory, my brothers, of our trouble and care; how, working night and day, so that we might not be a trouble to any of you, we gave you the good news of God.|en
38|2|10|10|我們向你們信主的人，是何等聖潔、公義、無可指摘，有你們作見證，也有神作見證。|zh
39|2|10|10|You are witnesses, with God, how holy and upright and free from all evil was our way of life among you who have faith;|en
40|2|11|11|你們也曉得我們怎樣勸勉你們，安慰你們，囑咐你們各人，好像父親待自己的兒女一樣，|zh
41|2|11|11|Even as you saw how, like a father with his children, we were teaching and comforting you all, and giving witness,|en
42|2|12|12|要叫你們行事對得起那召你們進他國、得他榮耀的神。|zh
43|2|12|12|So that your lives might be pleasing to God, who has given you a part in his kingdom and his glory.|en
44|2|13|13|為此，我們也不住的感謝神，因你們聽見我們所傳神的道就領受了；不以為是人的道，乃以為是神的道。這道實在是神的，並且運行在你們信主的人心中。|zh
45|2|13|13|And for this cause we still give praise to God, that, when the word came to your ears through us, you took it, not as the word of man, but, as it truly is, the word of God, which has living power in you who have faith.|en
46|2|14|14|弟兄們，你們曾效法猶太中在基督耶穌裡神的各教會；因為你們也受了本地人的苦害，像他們受了猶太人的苦害一樣。|zh
47|2|14|14|For you, my brothers, took as your examples the churches of God which are in Judaea in Christ Jesus; because you underwent the same things from your countrymen as they did from the Jews;|en
48|2|15|15|這猶太人殺了主耶穌和先知，又把我們趕出去。他們不得神的喜悅，且與眾人為敵；|zh
49|2|15|15|Who put to death the Lord Jesus and the prophets, violently driving us out; who are unpleasing to God and against all men;|en
50|2|16|16|不許我們傳道給外邦人使外邦人得救，常常充滿自己的罪惡。神的忿怒臨在他們身上已經到了極處。|zh
51|2|16|16|Who, to make the measure of their sins complete, kept us from giving the word of salvation to the Gentiles: but the wrath of God is about to come on them in the fullest degree.|en
52|2|17|17|弟兄們，我們暫時與你們離別，是面目離別，心裡卻不離別；我們極力的想法子，很願意見你們的面。|zh
53|2|17|17|But we, my brothers, being away from you for a short time, in body but not in heart, had all the more desire to see your face;|en
54|2|18|18|所以我們有意到你們那裡；我保羅有一兩次要去，只是撒但阻擋了我們。|zh
55|2|18|18|For which reason we made attempts to come to you, even I, Paul, once and again; but Satan kept us from coming.|en
56|2|19|19|我們的盼望和喜樂，並所誇的冠冕是甚麼呢？豈不是我們主耶穌來的時候，你們在他面前站立得住麼？|zh
57|2|19|19|For what is our hope or joy or crown of glory? Are not even you, before our Lord Jesus, at his coming?|en
58|2|20|20|因為你們就是我們的榮耀，我們的喜樂。|zh
59|2|20|20|For you are our glory and our joy.|en
60|3|1|1|我們既不能再忍，就願意獨自等在雅典，|zh
61|3|1|1|At last our desire to have news of you was so strong that, while we ourselves were waiting at Athens,|en
62|3|2|2|打發我們的兄弟在基督福音上作神執事的（有古卷作：與神同工的）提摩太前去，堅固你們，並在你們所信的道上勸慰你們，|zh
63|3|2|2|We sent Timothy, our brother and God's servant in the good news of Christ, to give you strength and comfort in your faith;|en
64|3|3|3|免得有人被諸般患難搖動。因為你們自己知道我們受患難原是命定的。|zh
65|3|3|3|So that no man might be moved by these troubles; because you see that these things are part of God's purpose for us.|en
66|3|4|4|我們在你們那裡的時候，預先告訴你們，我們必受患難，以後果然應驗了，你們也知道。|zh
67|3|4|4|And when we were with you, we said to you that trouble was before us; and so it came about, as you see.|en
68|3|5|5|為此，我既不能再忍，就打發人去，要曉得你們的信心如何，恐怕那誘惑人的到底誘惑了你們，叫我們的勞苦歸於徒然。|zh
69|3|5|5|For this reason, when I was no longer able to keep quiet, I sent to get news of your faith, fearing that you might be tested by the Evil One and that our work might come to nothing.|en
70|3|6|6|但提摩太剛才從你們那裡回來，將你們信心和愛心的好消息報給我們，又說你們常常記念我們，切切的想見我們，如同我們想見你們一樣。|zh
71|3|6|6|But now that Timothy has come to us from you, and has given us good news of your faith and love, and that you have happy memories of us, desiring greatly to see us, even as we do to see you;|en
72|3|7|7|所以弟兄們，我們在一切困苦患難之中，因著你們的信心就得了安慰。|zh
73|3|7|7|For this cause, brothers, in all our trouble and grief we were comforted about you because of your faith;|en
74|3|8|8|你們若靠主站立得穩，我們就活了。|zh
75|3|8|8|For it is life to us if you keep your faith in the Lord unchanged.|en
76|3|9|9|我們在神面前，因著你們甚是喜樂，為這一切喜樂，可用何等的感謝為你們報答神呢？|zh
77|3|9|9|For how great is the praise which we give to God for you, and how great the joy with which we are glad because of you before our God;|en
78|3|10|10|我們晝夜切切的祈求，要見你們的面，補滿你們信心的不足。|zh
79|3|10|10|Night and day requesting God again and again that we may see your face and make your faith complete.|en
80|3|11|11|願神我們的父和我們的主耶穌一直引領我們到你們那裡去。|zh
81|3|11|11|Now may our God and Father himself and our Lord Jesus make a way for us to come to you;|en
82|3|12|12|又願主叫你們彼此相愛的心，並愛眾人的心都能增長、充足，如同我們愛你們一樣；|zh
83|3|12|12|And the Lord give you increase of love in fullest measure to one another and to all men, even as our love to you;|en
84|3|13|13|好使你們當我們主耶穌同他眾聖徒來的時候，在我們父神面前，心裡堅固，成為聖潔，無可責備。|zh
85|3|13|13|So that your hearts may be strong and free from all sin before our God and Father, at the coming of our Lord Jesus with all his saints.|en
86|4|1|1|弟兄們，我還有話說：我們靠著主耶穌求你們，勸你們，你們既然受了我們的教訓，知道該怎樣行可以討神的喜悅，就要照你們現在所行的更加勉勵。|zh
