|chapter|sec|no|content|lang
0|1|1|1|當烏西雅、約坦、亞哈斯、希西家作猶大王的時候，亞摩斯的兒子以賽亞得默示，論到猶大和耶路撒冷。|zh
1|1|1|1|The vision of Isaiah, the son of Amoz, which he saw about Judah and Jerusalem, in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah.|en
2|1|2|2|天哪，要聽！地啊，側耳而聽！因為耶和華說：我養育兒女，將他們養大，他們竟悖逆我。|zh
3|1|2|2|Give ear, O heavens, and you, O earth, to the word which the Lord has said: I have taken care of my children till they became men, but their hearts have been turned away from me.|en
4|1|3|3|牛認識主人，驢認識主人的槽，以色列卻不認識；我的民卻不留意。|zh
5|1|3|3|Even the ox has knowledge of its owner, and the ass of the place where its master puts its food: but Israel has no knowledge, my people give no thought to me.|en
6|1|4|4|嗐！犯罪的國民，擔著罪孽的百姓；行惡的種類，敗壞的兒女！他們離棄耶和華，藐視以色列的聖者，與他生疏，往後退步。|zh
7|1|4|4|O nation full of sin, a people weighted down with crime, a generation of evil-doers, false-hearted children: they have gone away from the Lord, they have no respect for the Holy One of Israel, their hearts are turned back from him.|en
8|1|5|5|你們為甚麼屢次悖逆，還要受責打嗎？你們已經滿頭疼痛，全心發昏。|zh
9|1|5|5|Why will you have more and more punishment? why keep on in your evil ways? Every head is tired and every heart is feeble.|en
10|1|6|6|從腳掌到頭頂，沒有一處完全的，盡是傷口、青腫，與新打的傷痕，都沒有收口，沒有纏裹，也沒有用膏滋潤。|zh
11|1|6|6|The body, from head to foot, is all diseased; it is a mass of open wounds, marks of blows, and broken flesh: the flow of blood has not been stopped, and no oil has been put on the wounds.|en
12|1|7|7|你們的地土已經荒涼；你們的城邑被火焚燬。你們的田地在你們眼前為外邦人所侵吞，既被外邦人傾覆就成為荒涼。|zh
13|1|7|7|Your country has become waste; your towns are burned with fire; as for your land, it is overturned before your eyes, made waste and overcome by men from strange lands.|en
14|1|8|8|僅存錫安城（原文是女子），好像葡萄園的草棚，瓜田的茅屋，被圍困的城邑。|zh
15|1|8|8|And the daughter of Zion has become like a tent in a vine-garden, like a watchman's house in a field of fruit, like a town shut in by armies.|en
16|1|9|9|若不是萬軍之耶和華給我們稍留餘種，我們早已像所多瑪、蛾摩拉的樣子了。|zh
17|1|9|9|If the Lord of armies had not kept some at least of us safe, we would have been like Sodom, and the fate of Gomorrah would have been ours.|en
18|1|10|10|你們這所多瑪的官長啊，要聽耶和華的話！你們這蛾摩拉的百姓啊，要側耳聽我們神的訓誨！|zh
19|1|10|10|Give ear to the word of the Lord, you rulers of Sodom; let your hearts be turned to the law of our God, you people of Gomorrah.|en
