|chapter|sec|no|content|lang
0|1|1|1|大利烏王第二年八月，耶和華的話臨到易多的孫子、比利家的兒子先知撒迦利亞，說：|zh
1|1|1|1|In the eighth month, in the second year of Darius, the word of the Lord came to Zechariah, the son of Berechiah, the son of Iddo the prophet, saying,|en
2|1|2|2|耶和華曾向你們列祖大大發怒。|zh
3|1|2|2|The Lord has been very angry with your fathers:|en
4|1|3|3|所以你要對以色列人說，萬軍之耶和華如此說：你們要轉向我，我就轉向你們。這是萬軍之耶和華說的。|zh
5|1|3|3|And you are to say to them, These are the words of the Lord of armies: Come back to me, says the Lord of armies, and I will come back to you.|en
6|1|4|4|不要效法你們列祖。從前的先知呼叫他們說，萬軍之耶和華如此說：你們要回頭離開你們的惡道惡行。他們卻不聽，也不順從我。這是耶和華說的。|zh
7|1|4|4|Be not like your fathers, to whom the voice of the earlier prophets came, saying, Be turned now from your evil ways and from your evil doings: but they did not give ear to me or take note, says the Lord.|en
8|1|5|5|你們的列祖在哪裡呢？那些先知能永遠存活麼？|zh
9|1|5|5|Your fathers, where are they? and the prophets, do they go on living for ever?|en
10|1|6|6|只是我的言語和律例，就是所吩咐我僕人眾先知的，豈不臨到你們列祖麼？他們就回頭，說：萬軍之耶和華定意按我們的行動作為向我們怎樣行，他已照樣行了。|zh
11|1|6|6|But my words and my orders, which I gave to my servants the prophets, have they not overtaken your fathers? and turning back they said, As it was the purpose of the Lord of armies to do to us, in reward for our ways and our doings, so has he done.|en
12|1|7|7|大利烏第二年十一月，就是細罷特月二十四日，耶和華的話臨到易多的孫子、比利家的兒子先知撒迦利亞，說：|zh
13|1|7|7|On the twenty-fourth day of the eleventh month, the month Shebat, in the second year of Darius, the word of the Lord came to Zechariah, the son of Berechiah, the son of Iddo the prophet, saying,|en
14|1|8|8|我夜間觀看，見一人騎著紅馬，站在窪地番石榴樹中間。在他身後又有紅馬、黃馬，和白馬。|zh
15|1|8|8|I saw in the night a man on a red horse, between the mountains in the valley, and at his back were horses, red, black, white, and of mixed colours.|en
16|1|9|9|我對與我說話的天使說：主啊，這是甚麼意思？他說：我要指示你這是甚麼意思。|zh
17|1|9|9|Then I said, O my lord, what are these? And the angel who was talking to me said to me, I will make clear to you what they are.|en
18|1|10|10|那站在番石榴樹中間的人說：這是奉耶和華差遣在遍地走來走去的。|zh
19|1|10|10|And the man who was between the mountains, answering me, said, These are those whom the Lord has sent to go up and down through the earth.|en
20|1|11|11|那些騎馬的對站在番石榴樹中間耶和華的使者說：我們已在遍地走來走去，見全地都安息平靜。|zh
21|1|11|11|And the man who was between the mountains, answering, said to the angel of the Lord, We have gone up and down through the earth, and all the earth is quiet and at rest.|en
22|1|12|12|於是，耶和華的使者說：萬軍之耶和華啊，你惱恨耶路撒冷和猶大的城邑已經七十年，你不施憐憫要到幾時呢？|zh
23|1|12|12|Then the angel of the Lord, answering, said, O Lord of armies, how long will it be before you have mercy on Jerusalem and on the towns of Judah against which your wrath has been burning for seventy years?|en
24|1|13|13|耶和華就用美善的安慰話回答那與我說話的天使。|zh
25|1|13|13|And the Lord gave an answer in good and comforting words to the angel who was talking to me.|en
26|1|14|14|與我說話的天使對我說：你要宣告說，萬軍之耶和華如此說：我為耶路撒冷為錫安，心裡極其火熱。|zh
27|1|14|14|And the angel who was talking to me said to me, Let your voice be loud and say, These are the words of the Lord of armies: I am greatly moved about the fate of Jerusalem and of Zion.|en
28|1|15|15|我甚惱怒那安逸的列國，因我從前稍微惱怒我民，他們就加害過分。|zh
29|1|15|15|And I am very angry with the nations who are living untroubled: for when I was only a little angry, they made the evil worse.|en
30|1|16|16|所以耶和華如此說：現今我回到耶路撒冷，仍施憐憫，我的殿必重建在其中，準繩必拉在耶路撒冷之上。這是萬軍之耶和華說的。|zh
31|1|16|16|So this is what the Lord has said: I have come back to Jerusalem with mercies; my house is to be put up in her, says the Lord of armies, and a line is to be stretched out over Jerusalem.|en
32|1|17|17|你要再宣告說，萬軍之耶和華如此說：我的城邑必再豐盛發達。耶和華必再安慰錫安，揀選耶路撒冷。|zh
33|1|17|17|And again let your voice be loud and say, This is what the Lord of armies has said: My towns will again be overflowing with good things, and again the Lord will give comfort to Zion and take Jerusalem for himself.|en
34|1|18|18|我舉目觀看，見有四角。|zh
35|1|18|18|And lifting up my eyes I saw four horns.|en
36|1|19|19|我就問與我說話的天使說：這是甚麼意思？他回答說：這是打散猶大、以色列，和耶路撒冷的角。|zh
37|1|19|19|And I said to the angel who was talking to me, What are these? And he said to me, These are the horns which have sent Judah, Israel, and Jerusalem in flight.|en
38|1|20|20|耶和華又指四個匠人給我看。|zh
39|1|20|20|And the Lord gave me a vision of four metal-workers.|en
40|1|21|21|我說：他們來做甚麼呢？他說：這是打散猶大的角，使人不敢抬頭；但這些匠人來威嚇列國，打掉他們的角，就是舉起打散猶大地的角。|zh
41|1|21|21|Then I said, What have these come to do? And he said, These are the horns which sent Judah in flight, and kept him from lifting up his head: but these men have come to send fear on them and to put down the nations who are lifting up their horns against the land of Judah to send it in flight.|en
42|2|1|1|我又舉目觀看，見一人手拿準繩。|zh
43|2|1|1|And lifting up my eyes, I saw a man with a measuring-line in his hand.|en
44|2|2|2|我說：你往哪裡去？他對我說：要去量耶路撒冷，看有多寬多長。|zh
45|2|2|2|And I said to him, Where are you going? And he said to me, To take the measure of Jerusalem, to see how wide and how long it is.|en
46|2|3|3|與我說話的天使去的時候，又有一位天使迎著他來，|zh
47|2|3|3|And the angel who was talking to me went out, and another angel went out, and, meeting him,|en
48|2|4|4|對他說：你跑去告訴那少年人說，耶路撒冷必有人居住，好像無城牆的鄉村，因為人民和牲畜甚多。|zh
49|2|4|4|Said to him, Go quickly and say to this young man, Jerusalem will be an unwalled town, because of the great number of men and cattle in her.|en
50|2|5|5|耶和華說：我要作耶路撒冷四圍的火城，並要作其中的榮耀。|zh
51|2|5|5|For I, says the Lord, will be a wall of fire round about her, and I will be the glory inside her.|en
52|2|6|6|耶和華說：我從前分散你們在天的四方（原文是猶如天的四風），現在你們要從北方之地逃回。這是耶和華說的。|zh
53|2|6|6|Ho, ho! go in flight from the land of the north, says the Lord: for I have sent you far and wide to the four winds of heaven, says the Lord.|en
54|2|7|7|與巴比倫人同住的錫安民哪，應當逃脫。|zh
55|2|7|7|Ho! Zion, go in flight from danger, you who are living with the daughter of Babylon.|en
56|2|8|8|萬軍之耶和華說，在顯出榮耀之後，差遣我去懲罰那擄掠你們的列國，摸你們的就是摸他眼中的瞳人。|zh
57|2|8|8|For this is what the Lord of armies has said: In the way of glory he has sent me to the nations which have taken your goods: for anyone touching you is touching what is most dear to him.|en
58|2|9|9|看哪，我（或譯：他）要向他們掄手，他們就必作服事他們之人的擄物，你們便知道萬軍之耶和華差遣我了。|zh
59|2|9|9|For at the shaking of my hand over them, their goods will be taken by those who were their servants: and you will see that the Lord of armies has sent me.|en
60|2|10|10|錫安城啊，應當歡樂歌唱，因為我來要住在你中間。這是耶和華說的。|zh
61|2|10|10|Give songs of joy, O daughter of Zion: for I come, and I will make my resting-place among you, says the Lord.|en
62|2|11|11|那時，必有許多國歸附耶和華，作他（原文是我）的子民。他（原文是我）要住在你中間，你就知道萬軍之耶和華差遣我到你那裡去了。|zh
63|2|11|11|And a number of nations will be joined to the Lord in that day, and will become my people; and I will be living among you, and you will see that the Lord of armies has sent me to you.|en
64|2|12|12|耶和華必收回猶大作他聖地的分，也必再揀選耶路撒冷。|zh
65|2|12|12|And Judah will be the Lord's heritage in the holy land, and Jerusalem will again be his.|en
66|2|13|13|凡有血氣的都當在耶和華面前靜默無聲；因為他興起，從聖所出來了。|zh
67|2|13|13|Let all flesh be quiet and make no sound before the Lord: for he is awake and has come from his holy resting-place.|en
68|3|1|1|天使（原文是他）又指給我看：大祭司約書亞站在耶和華的使者面前；撒但也站在約書亞的右邊，與他作對。|zh
69|3|1|1|And he let me see Joshua, the high priest, in his place before the angel of the Lord, and the Satan at his right hand ready to take up a cause against him.|en
70|3|2|2|耶和華向撒但說：撒但哪，耶和華責備你！就是揀選耶路撒冷的耶和華責備你！這不是從火中抽出來的一根柴麼？|zh
71|3|2|2|And the Lord said to the Satan, May the Lord's word be sharp against you, O Satan, the word of the Lord who has taken Jerusalem for himself: is this not a burning branch pulled out of the fire?|en
72|3|3|3|約書亞穿著污穢的衣服站在使者面前。|zh
73|3|3|3|Now Joshua was clothed in unclean robes, and he was in his place before the angel.|en
74|3|4|4|使者吩咐站在面前的說：你們要脫去他污穢的衣服；又對約書亞說：我使你脫離罪孽，要給你穿上華美的衣服。|zh
75|3|4|4|And he made answer and said to those who were there before him, Take the unclean robes off him, and let him be clothed in clean robes;|en
76|3|5|5|我說：要將潔淨的冠冕戴在他頭上。他們就把潔淨的冠冕戴在他頭上，給他穿上華美的衣服，耶和華的使者在旁邊站立。|zh
77|3|5|5|And let them put a clean head-dress on his head. So they put a clean head-dress on his head, clothing him with clean robes: and to him he said, See, I have taken your sin away from you.|en
78|3|6|6|耶和華的使者告誡約書亞說：|zh
79|3|6|6|And the angel of the Lord made a statement to Joshua, and said,|en
80|3|7|7|萬軍之耶和華如此說：你若遵行我的道，謹守我的命令，你就可以管理我的家，看守我的院宇；我也要使你在這些站立的人中間來往。|zh
81|3|7|7|These are the words of the Lord of armies: If you will go in my ways and keep what I have put in your care, then you will be judge over my Temple and have the care of my house, and I will give you the right to come in among those who are there.|en
82|3|8|8|大祭司約書亞啊，你和坐在你面前的同伴都當聽。他們是作預兆的。我必使我僕人大衛的苗裔發出。|zh
83|3|8|8|Give ear now, O Joshua, the high priest, you and your friends who are seated before you; for these are men who are a sign: for see, I will let my servant the Branch be seen.|en
84|3|9|9|看哪，我在約書亞面前所立的石頭，在一塊石頭上有七眼。萬軍之耶和華說：我要親自雕刻這石頭，並要在一日之間除掉這地的罪孽。|zh
85|3|9|9|For see, the stone which I have put before Joshua; on one stone are seven eyes: see, the design cut on it will be my work, says the Lord of armies, and I will take away the sin of that land in one day.|en
