|chapter|sec|no|content|lang
0|1|1|1|奉我們救主神和我們的盼望基督耶穌之命，作基督耶穌使徒的保羅，|zh
1|1|1|1|Paul, an Apostle of Jesus Christ, by the order of God our Saviour and Christ Jesus our hope;|en
2|1|2|2|寫信給那因信主作我真兒子的提摩太。願恩惠、憐憫、平安從父神和我們主基督耶穌歸與你！|zh
3|1|2|2|To Timothy, my true child in the faith: Grace, mercy, peace, from God the Father and Christ Jesus our Lord.|en
4|1|3|3|我往馬其頓去的時候，曾勸你仍住在以弗所，好囑咐那幾個人不可傳異教，|zh
5|1|3|3|It was my desire, when I went on into Macedonia, that you might make a stop at Ephesus, to give orders to certain men not to put forward a different teaching,|en
6|1|4|4|也不可聽從荒渺無憑的話語和無窮的家譜；這等事只生辯論，並不發明神在信上所立的章程。|zh
7|1|4|4|Or to give attention to stories and long lists of generations, from which come questionings and doubts, in place of God's ordered way of life which is in faith;|en
8|1|5|5|但命令的總歸就是愛；這愛是從清潔的心和無虧的良心，無偽的信心生出來的。|zh
9|1|5|5|But the effect of the order is love coming from a clean heart, and a knowledge of what is right, and true faith:|en
10|1|6|6|有人偏離這些，反去講虛浮的話，|zh
11|1|6|6|From which some have been turned away, giving themselves to foolish talking;|en
12|1|7|7|想要作教法師，卻不明白自己所講說的所論定的。|zh
13|1|7|7|Desiring to be teachers of the law, though they have no knowledge of what they say or of the statements which they make so certainly.|en
14|1|8|8|我們知道律法原是好的，只要人用得合宜；|zh
15|1|8|8|We are conscious that the law is good, if a man makes a right use of it,|en
16|1|9|9|因為律法不是為義人設立的，乃是為不法和不服的，不虔誠和犯罪的，不聖潔和戀世俗的，弒父母和殺人的，|zh
17|1|9|9|With the knowledge that the law is made, not for the upright man, but for those who have no respect for law and order, for evil men and sinners, for the unholy and those who have no religion, for those who put their fathers or mothers to death, for takers of life,|en
18|1|10|10|行淫和親男色的，搶人口和說謊話的，並起假誓的，或是為別樣敵正道的事設立的。|zh
19|1|10|10|For those who go after loose women, for those with unnatural desires, for those who take men prisoners, who make false statements and false oaths, and those who do any other things against the right teaching,|en
20|1|11|11|這是照著可稱頌之神交託我榮耀福音說的。|zh
21|1|11|11|Which may be seen in the good news of the glory of the great God, which was given into my care.|en
22|1|12|12|我感謝那給我力量的我們主基督耶穌，因他以我有忠心，派我服事他。|zh
23|1|12|12|I give praise to him who gave me power, Christ Jesus our Lord, because he took me to be true, making me his servant,|en
24|1|13|13|我從前是褻瀆神的，逼迫人的，侮慢人的；然而我還蒙了憐憫，因我是不信不明白的時候而做的。|zh
25|1|13|13|Though I had said violent words against God, and done cruel acts, causing great trouble: but I was given mercy, because I did it without knowledge, not having faith;|en
26|1|14|14|並且我主的恩是格外豐盛，使我在基督耶穌裡有信心和愛心。|zh
27|1|14|14|And the grace of our Lord was very great, with faith and love which is in Christ Jesus.|en
28|1|15|15|基督耶穌降世，為要拯救罪人。這話是可信的，是十分可佩服的。在罪人中我是個罪魁。|zh
29|1|15|15|It is a true saying, in which all may put their faith, that Christ Jesus came into the world to give salvation to sinners, of whom I am the chief:|en
30|1|16|16|然而，我蒙了憐憫，是因耶穌基督要在我這罪魁身上顯明他一切的忍耐，給後來信他得永生的人作榜樣。|zh
31|1|16|16|But for this reason I was given mercy, so that in me, the chief of sinners, Jesus Christ might make clear all his mercy, as an example to those who in the future would have faith in him to eternal life.|en
32|1|17|17|但願尊貴、榮耀歸與那不能朽壞、不能看見、永世的君王、獨一的神，直到永永遠遠。阿們！|zh
33|1|17|17|Now to the King eternal, ever-living, unseen, the only God, be honour and glory for ever and ever. So be it.|en
34|1|18|18|我兒提摩太阿，我照從前指著你的預言，將這命令交託你，叫你因此可以打那美好的仗。|zh
