|chapter|sec|no|content|lang
0|1|1|1|當猶大王烏西雅，以色列王約阿施的兒子耶羅波安在位的時候，大地震前二年，提哥亞牧人中的阿摩司得默示論以色列。|zh
1|1|1|1|The words of Amos, who was among the herdsmen of Tekoa; what he saw about Israel in the days of Uzziah, king of Judah, and in the days of Jeroboam, the son of Joash, king of Israel, two years before the earth-shock.|en
2|1|2|2|他說：耶和華必從錫安吼叫，從耶路撒冷發聲；牧人的草場要悲哀；迦密的山頂要枯乾。|zh
3|1|2|2|And he said, The Lord will give a lion's cry from Zion, his voice will be sounding from Jerusalem; and the fields of the keepers of sheep will become dry, and the top of Carmel will be wasted away.|en
4|1|3|3|耶和華如此說：大馬色三番四次地犯罪，我必不免去他的刑罰；因為他以打糧食的鐵器打過基列。|zh
5|1|3|3|These are the words of the Lord: For three crimes of Damascus, and for four, I will not let its fate be changed; because they have been crushing Gilead with iron grain-crushing instruments.|en
6|1|4|4|我卻要降火在哈薛的家中，燒滅便哈達的宮殿。|zh
7|1|4|4|And I will send a fire into the house of Hazael, burning up the great houses of Ben-hadad.|en
8|1|5|5|我必折斷大馬色的門閂，剪除亞文平原的居民和伯伊甸掌權的。亞蘭人必被擄到吉珥。這是耶和華說的。|zh
9|1|5|5|And I will have the locks of the door of Damascus broken, and him who is seated in power cut off from the valley of Aven, and him in whose hand is the rod from the house of Eden; and the people of Aram will go away as prisoners into Kir, says the Lord.|en
10|1|6|6|耶和華如此說：迦薩三番四次地犯罪，我必不免去他的刑罰；因為他擄掠眾民交給以東。|zh
11|1|6|6|These are the words of the Lord: For three crimes of Gaza, and for four, I will not let its fate be changed; because they took all the people away prisoners, to give them up to Edom.|en
12|1|7|7|我卻要降火在迦薩的城內，燒滅其中的宮殿。|zh
13|1|7|7|And I will send a fire on the wall of Gaza, burning up its great houses:|en
14|1|8|8|我必剪除亞實突的居民和亞實基倫掌權的，也必反手攻擊以革倫。非利士人所餘剩的必都滅亡。這是主耶和華說的。|zh
15|1|8|8|Him who is seated in power I will have cut off from Ashdod, and him in whose hand is the rod from Ashkelon; and my hand will be turned against Ekron, and the rest of the Philistines will come to destruction, says the Lord God.|en
16|1|9|9|耶和華如此說：推羅三番四次地犯罪，我必不免去他的刑罰；因為他將眾民交給以東，並不記念弟兄的盟約。|zh
17|1|9|9|These are the words of the Lord: For three crimes of Tyre, and for four, I will not let its fate be changed; because they gave up all the people prisoners to Edom, without giving a thought to the brothers' agreement between them.|en
18|1|10|10|我卻要降火在推羅的城內，燒滅其中的宮殿。|zh
19|1|10|10|And I will send a fire on the wall of Tyre, burning up its great houses.|en
20|1|11|11|耶和華如此說：以東三番四次地犯罪，我必不免去他的刑罰；因為他拿刀追趕兄弟，毫無憐憫，發怒撕裂，永懷忿怒。|zh
21|1|11|11|These are the words of the Lord: For three crimes of Edom, and for four, I will not let its fate be changed; because his sword was turned against his brother, without pity, and his wrath was burning at all times, and he was angry for ever.|en
22|1|12|12|我卻要降火在提幔，燒滅波斯拉的宮殿。|zh
23|1|12|12|And I will send a fire on Teman, burning up the great houses of Bozrah.|en
24|1|13|13|耶和華如此說：亞捫人三番四次地犯罪，我必不免去他們的刑罰；因為他們剖開基列的孕婦，擴張自己的境界。|zh
25|1|13|13|These are the words of the Lord: For three crimes of the children of Ammon, and for four, I will not let its fate be changed; because in Gilead they had women with child cut open, so that they might make wider the limits of their land.|en
26|1|14|14|我卻要在爭戰吶喊的日子，旋風狂暴的時候，點火在拉巴的城內，燒滅其中的宮殿。|zh
27|1|14|14|And I will make a fire in the wall of Rabbah, burning up its great houses, with loud cries in the days of war, with a storm in the day of the great wind:|en
28|1|15|15|他們的王和首領必一同被擄去。這是耶和華說的。|zh
29|1|15|15|And their king will be made prisoner, he and his captains together, says the Lord.|en
30|2|1|1|耶和華如此說：摩押三番四次地犯罪，我必不免去他的刑罰；因為他將以東王的骸骨焚燒成灰。|zh
31|2|1|1|These are the words of the Lord: For three crimes of Moab, and for four, I will not let its fate be changed; because he had the bones of the king of Edom burned to dust.|en
32|2|2|2|我卻要降火在摩押，燒滅加略的宮殿。摩押必在鬨嚷吶喊吹角之中死亡。|zh
33|2|2|2|And I will send a fire on Moab, burning up the great houses of Kerioth: and death will come on Moab with noise and outcries and the sound of the horn:|en
34|2|3|3|我必剪除摩押中的審判者，將其中的一切首領和他一同殺戮。這是耶和華說的。|zh
35|2|3|3|And I will have the judge cut off from among them, and all their captains I will put to death with him, says the Lord.|en
36|2|4|4|耶和華如此說：猶大人三番四次地犯罪，我必不免去他們的刑罰；因為他們厭棄耶和華的訓誨，不遵守他的律例。他們列祖所隨從虛假的偶像使他們走迷了。|zh
37|2|4|4|These are the words of the Lord: For three crimes of Judah, and for four, I will not let its fate be changed; because they have given up the law of the Lord, and have not kept his rules; and their false ways, in which their fathers went, have made them go out of the right way.|en
38|2|5|5|我卻要降火在猶大，燒滅耶路撒冷的宮殿。|zh
39|2|5|5|And I will send a fire on Judah, burning up the great houses of Jerusalem.|en
40|2|6|6|耶和華如此說：以色列人三番四次地犯罪，我必不免去他們的刑罰；因他們為銀子賣了義人，為一雙鞋賣了窮人。|zh
41|2|6|6|These are the words of the Lord: For three crimes of Israel, and for four, I will not let its fate be changed; because they have given the upright man for silver, and the poor for the price of two shoes;|en
42|2|7|7|他們見窮人頭上所蒙的灰也都垂涎，阻礙謙卑人的道路。父子同一個女子行淫，褻瀆我的聖名。|zh
43|2|7|7|Crushing the head of the poor, and turning the steps of the gentle out of the way: and a man and his father go in to the same young woman, putting shame on my holy name:|en
44|2|8|8|他們在各壇旁鋪人所當的衣服，臥在其上，又在他們神的廟中喝受罰之人的酒。|zh
45|2|8|8|By every altar they are stretched on clothing taken from those who are in their debt, drinking in the house of their god the wine of those who have made payment for wrongdoing.|en
46|2|9|9|我從以色列人面前除滅亞摩利人。他雖高大如香柏樹，堅固如橡樹，我卻上滅他的果子，下絕他的根本。|zh
47|2|9|9|Though I sent destruction on the Amorite before them, who was tall as the cedar and strong as the oak-tree, cutting off his fruit from on high and his roots from under the earth.|en
48|2|10|10|我也將你們從埃及地領上來，在曠野引導你們四十年，使你們得亞摩利人之地為業。|zh
49|2|10|10|And I took you up out of the land of Egypt, guiding you for forty years in the waste land, so that you might take for your heritage the land of the Amorite.|en
50|2|11|11|我從你們子弟中興起先知，又從你們少年人中興起拿細耳人。以色列人哪，不是這樣麼？這是耶和華說的。|zh
51|2|11|11|And some of your sons I made prophets, and some of your young men I made separate for myself. Is it not even so, O children of Israel? says the Lord.|en
52|2|12|12|你們卻給拿細耳人酒喝，囑咐先知說：不要說預言。|zh
53|2|12|12|But to those who were separate you gave wine for drink; and to the prophets you said, Be prophets no longer.|en
54|2|13|13|看哪，在你們所住之地，我必壓你們，如同裝滿禾捆的車壓物一樣。|zh
55|2|13|13|See, I am crushing you down, as one is crushed under a cart full of grain.|en
56|2|14|14|快跑的不能逃脫；有力的不能用力；剛勇的也不能自救。|zh
57|2|14|14|And flight will be impossible for the quick-footed, and the force of the strong will become feeble, and the man of war will not get away safely:|en
58|2|15|15|拿弓的不能站立；腿快的不能逃脫；騎馬的也不能自救。|zh
59|2|15|15|And the bowman will not keep his place; he who is quick-footed will not get away safely: and the horseman will not keep his life.|en
60|2|16|16|到那日，勇士中最有膽量的，必赤身逃跑。這是耶和華說的。|zh
61|2|16|16|And he who is without fear among the fighting men will go in flight without his clothing in that day, says the Lord.|en
62|3|1|1|以色列人哪，你們全家是我從埃及地領上來的，當聽耶和華攻擊你們的話：|zh
63|3|1|1|Give ear to this word which the Lord has said against you, O children of Israel, against all the family which I took up out of the land of Egypt, saying,|en
64|3|2|2|在地上萬族中，我只認識你們；因此，我必追討你們的一切罪孽。|zh
65|3|2|2|You only of all the families of the earth have I taken care of: for this reason I will send punishment on you for all your sins.|en
66|3|3|3|二人若不同心，豈能同行呢？|zh
67|3|3|3|Is it possible for two to go walking together, if not by agreement?|en
68|3|4|4|獅子若非抓食，豈能在林中咆哮呢？少壯獅子若無所得，豈能從洞中發聲呢？|zh
69|3|4|4|Will a lion give his loud cry in the woodland when no food is there? will the voice of the young lion be sounding from his hole if he has taken nothing?|en
70|3|5|5|若沒有機檻，雀鳥豈能陷在網羅裡呢？網羅若無所得，豈能從地上翻起呢？|zh
71|3|5|5|Is it possible for a bird to be taken in a net on the earth where no net has been put for him? will the net come up from the earth if it has taken nothing at all?|en
72|3|6|6|城中若吹角，百姓豈不驚恐呢？災禍若臨到一城，豈非耶和華所降的麼？|zh
73|3|6|6|If the horn is sounded in the town will the people not be full of fear? will evil come on a town if the Lord has not done it?|en
74|3|7|7|主耶和華若不將奧秘指示他的僕人─眾先知，就一無所行。|zh
75|3|7|7|Certainly the Lord will do nothing without making clear his secret to his servants, the prophets.|en
76|3|8|8|獅子吼叫，誰不懼怕呢？主耶和華發命，誰能不說預言呢？|zh
77|3|8|8|The cry of the lion is sounding; who will not have fear? The Lord God has said the word; is it possible for the prophet to keep quiet?|en
78|3|9|9|要在亞實突的宮殿中和埃及地的宮殿裡傳揚說：你們要聚集在撒瑪利亞的山上，就看見城中有何等大的擾亂與欺壓的事。|zh
79|3|9|9|Give out the news in the great houses of Assyria and in the land of Egypt, and say, Come together on the mountains of Samaria, and see what great outcries are there, and what cruel acts are done in it.|en
80|3|10|10|那些以強暴搶奪財物、積蓄在自己家中的人不知道行正直的事。這是耶和華說的。|zh
81|3|10|10|For they have no knowledge of how to do what is right, says the Lord, who are storing up violent acts and destruction in their great houses.|en
82|3|11|11|所以主耶和華如此說：敵人必來圍攻這地，使你的勢力衰微，搶掠你的家宅。|zh
83|3|11|11|For this reason, says the Lord, an attacker will come, shutting in the land on every side; and your strength will come down and your great houses will be made waste.|en
