|chapter|sec|no|content|lang
0|1|1|1|論尼尼微的默示，就是伊勒歌斯人那鴻所得的默示。|zh
1|1|1|1|The word about Nineveh. The book of the vision of Nahum the Elkoshite.|en
2|1|2|2|耶和華是忌邪施報的神。耶和華施報大有忿怒；向他的敵人施報，向他的仇敵懷怒。|zh
3|1|2|2|The Lord is a God who takes care of his honour and gives punishment for wrong; the Lord gives punishment and is angry; the Lord sends punishment on those who are against him, being angry with his haters.|en
4|1|3|3|耶和華不輕易發怒，大有能力，萬不以有罪的為無罪。他乘旋風和暴風而來，雲彩為他腳下的塵土。|zh
5|1|3|3|The Lord is slow to get angry and great in power, and will not let the sinner go without punishment: the way of the Lord is in the wind and the storm, and the clouds are the dust of his feet.|en
6|1|4|4|他斥責海，使海乾了，使一切江河乾涸。巴珊和迦密的樹林衰殘；利巴嫩的花草也衰殘了。|zh
7|1|4|4|He says sharp words to the sea and makes it dry, drying up all the rivers: Bashan is feeble, and Carmel, and the flower of Lebanon is without strength.|en
8|1|5|5|大山因他震動；小山也都消化。大地在他面前突起；世界和住在其間的也都如此。|zh
9|1|5|5|The mountains are shaking because of him, and the hills flowing away; the earth is falling to bits before him, the world and all who are in it.|en
10|1|6|6|他發忿恨，誰能立得住呢？他發烈怒，誰能當得起呢？他的忿怒如火傾倒；磐石因他崩裂。|zh
11|1|6|6|Who may keep his place before his wrath? and who may undergo the heat of his passion? his wrath is let loose like fire and the rocks are broken open by him.|en
12|1|7|7|耶和華本為善，在患難的日子為人的保障，並且認得那些投靠他的人。|zh
13|1|7|7|The Lord is good, a strong place in the day of trouble; and he has knowledge of those who take him for their safe cover.|en
14|1|8|8|但他必以漲溢的洪水淹沒尼尼微，又驅逐仇敵進入黑暗。|zh
15|1|8|8|But like water overflowing he will take them away; he will put an end to those who come up against him, driving his haters into the dark.|en
16|1|9|9|尼尼微人哪，設何謀攻擊耶和華呢？他必將你們滅絕淨盡；災難不再興起。|zh
17|1|9|9|What are you designing against the Lord? he will put an end to it: his haters will not come up again a second time.|en
18|1|10|10|你們像叢雜的荊棘，像喝醉了的人，又如枯乾的碎秸全然燒滅。|zh
19|1|10|10|For though they are like twisted thorns, and are overcome as with drink, they will come to destruction like stems of grass fully dry.|en
20|1|11|11|有一人從你那裡出來，圖謀邪惡，設惡計攻擊耶和華。|zh
21|1|11|11|One has gone out from you who is designing evil against the Lord, whose purposes are of no value.|en
22|1|12|12|耶和華如此說：尼尼微雖然勢力充足，人數繁多，也被剪除，歸於無有。猶大啊，我雖然使你受苦，卻不再使你受苦。|zh
23|1|12|12|This is what the Lord has said: The days of my cause against you are ended; they are cut off and past. Though I have sent trouble on you, you will no longer be troubled.|en
24|1|13|13|現在我必從你頸項上折斷他的軛，扭開他的繩索。|zh
25|1|13|13|And now I will let his yoke be broken off you, and your chains be parted.|en
26|1|14|14|耶和華已經出令，指著尼尼微說：你名下的人必不留後；我必從你神的廟中除滅雕刻的偶像和鑄造的偶像；我必因你鄙陋，使你歸於墳墓。|zh
27|1|14|14|The Lord has given an order about you, that no more of your name are to be planted: from the house of your gods I will have the pictured and metal images cut off; I will make your last resting-place a place of shame; for you are completely evil.|en
28|1|15|15|看哪，有報好信傳平安之人的腳登山，說：猶大啊，可以守你的節期，還你所許的願吧！因為那惡人不再從你中間經過，他已滅絕淨盡了。|zh
29|1|15|15|See on the mountains the feet of him who comes with good news, giving word of peace! Keep your feasts, O Judah, give effect to your oaths: for the good-for-nothing man will never again go through you; he is completely cut off.|en
30|2|1|1|尼尼微啊，那打碎邦國的上來攻擊你。你要看守保障，謹防道路，使腰強壯，大大勉力。|zh
31|2|1|1|A crusher has come up before your face: keep a good look-out, let the way be watched, make yourself strong, let your power be greatly increased.|en
32|2|2|2|耶和華復興雅各的榮華，好像以色列的榮華一樣；因為使地空虛的，已經使雅各和以色列空虛，將他們的葡萄枝毀壞了。|zh
33|2|2|2|For the Lord will make good the vine of Jacob, as well as the vine of Israel: for the wasters have made them waste and sent destruction on the branches of their vine.|en
34|2|3|3|他勇士的盾牌是紅的，精兵都穿朱紅衣服。在他預備爭戰的日子，戰車上的鋼鐵閃爍如火，柏木把的槍也掄起來了。|zh
35|2|3|3|The body-covers of his fighting men have been made red, the men of war are clothed in bright red: the war-carriages are like flames of fire in the day when he gets ready, the horses are shaking.|en
36|2|4|4|車輛在街上（或譯：城外）急行，在寬闊處奔來奔去，形狀如火把，飛跑如閃電。|zh
37|2|4|4|The war-carriages are rushing through the streets, pushing against one another in the wide ways, looking like burning lights, running like thunder-flames.|en
38|2|5|5|尼尼微王招聚他的貴冑；他們步行絆跌，速上城牆，預備擋牌。|zh
39|2|5|5|He takes the record of his great men: they go falling on their way; they go quickly to the wall, the cover is made ready.|en
40|2|6|6|河閘開放，宮殿沖沒。|zh
41|2|6|6|The river doorways are forced open, and the king's house is flowing away.|en
42|2|7|7|王后蒙羞，被人擄去；宮女搥胸，哀鳴如鴿。此乃命定之事。|zh
43|2|7|7|And the queen is uncovered, she is taken away and her servant-girls are weeping like the sound of doves, hammering on their breasts.|en
44|2|8|8|尼尼微自古以來充滿人民，如同聚水的池子；現在居民卻都逃跑。雖有人呼喊說：站住！站住！卻無人回顧。|zh
45|2|8|8|But Nineveh is like a pool of water whose waters are flowing away; Keep your place, they say; but no one is turning back.|en
46|2|9|9|你們搶掠金銀罷！因為所積蓄的無窮，華美的寶器無數。|zh
47|2|9|9|Take silver, take gold; for there is no end to the store; take for yourselves a weight of things to be desired.|en
48|2|10|10|尼尼微現在空虛荒涼，人心消化，雙膝相碰，腰都疼痛，臉都變色。|zh
49|2|10|10|Everything has been taken from her, all is gone, she has nothing more: the heart is turned to water, the knees are shaking, all are twisted in pain, and colour has gone from all faces.|en
50|2|11|11|獅子的洞和少壯獅子餵養之處在哪裡呢？公獅母獅小獅遊行、無人驚嚇之地在哪裡呢？|zh
51|2|11|11|Where is the lions' hole, the place where the young lions got their food, where the lion and the she-lion were walking with their young, without cause for fear?|en
52|2|12|12|公獅為小獅撕碎許多食物，為母獅掐死活物，把撕碎的、掐死的充滿他的洞穴。|zh
53|2|12|12|Food enough for his young and for his she-lions was pulled down by the lion; his hole was full of flesh and his resting-place stored with meat.|en
54|2|13|13|萬軍之耶和華說：我與你為敵，必將你的車輛焚燒成煙，刀劍也必吞滅你的少壯獅子。我必從地上除滅你所撕碎的，你使者的聲音必不再聽見。|zh
55|2|13|13|See, I am against you, says the Lord of armies, and I will have your war-carriages burned in the smoke, and your young lions will be food for the sword: you will no longer get your food by force on the earth, and the voice of your she-lions will be stopped for ever.|en
56|3|1|1|禍哉！這流人血的城，充滿謊詐和強暴，搶奪的事總不止息。|zh
57|3|1|1|A curse is on the town of blood; it is full of deceit and violent acts; and there is no end to the taking of life.|en
58|3|2|2|鞭聲響亮，車輪轟轟，馬匹踢跳，車輛奔騰，|zh
59|3|2|2|The noise of the whip, and the noise of thundering wheels; horses rushing and war-carriages jumping,|en
60|3|3|3|馬兵爭先，刀劍發光，槍矛閃爍，被殺的甚多，屍首成了大堆，屍骸無數，人碰著而跌倒，|zh
61|3|3|3|Horsemen driving forward, and the shining sword and the bright spear: and a great number of wounded, and masses of dead bodies; they are falling over the bodies of the dead:|en
62|3|4|4|都因那美貌的妓女多有淫行，慣行邪術，藉淫行誘惑列國，用邪術誘惑（原文是賣）多族。|zh
63|3|4|4|Because of all the false ways of the loose woman, expert in attraction and wise in secret arts, who takes nations in the net of her false ways, and families through her secret arts.|en
64|3|5|5|萬軍之耶和華說：我與你為敵；我必揭起你的衣襟，蒙在你臉上，使列國看見你的赤體，使列邦觀看你的醜陋。|zh
65|3|5|5|See, I am against you, says the Lord of armies, and I will have your skirts pulled over your face, and let the nations see you unclothed, and the kingdoms your shame.|en
66|3|6|6|我必將可憎污穢之物拋在你身上，辱沒你，為眾目所觀。|zh
67|3|6|6|I will make you completely disgusting and full of shame, and will put you up to be looked at by all.|en
68|3|7|7|凡看見你的，都必逃跑離開你，說：尼尼微荒涼了！有誰為你悲傷呢？我何處尋得安慰你的人呢？|zh
69|3|7|7|And it will come about that all who see you will go in flight from you and say, Nineveh is made waste: who will be weeping for her? where am I to get comforters for her?|en
70|3|8|8|你豈比挪亞們（或）強呢？挪亞們坐落在眾河之間，周圍有水；海（指尼羅河）作他的濠溝，又作他的城牆。|zh
71|3|8|8|Are you better than No-amon, seated on the Nile streams, with waters all round her; whose wall was the sea and her earthwork the waters?|en
72|3|9|9|古實和埃及是他無窮的力量；弗人和路比族是他的幫手。|zh
73|3|9|9|Ethiopia was her strength and Egyptians without number; Put and Lubim were her helpers.|en
74|3|10|10|但他被遷移，被擄去；他的嬰孩在各市口上也被摔死。人為他的尊貴人拈鬮；他所有的大人都被鍊子鎖著。|zh
75|3|10|10|But even she has been taken away, she has gone away as a prisoner: even her young children are smashed to bits at the top of all the streets: the fate of her honoured men is put to the decision of chance, and all her great men are put in chains.|en
76|3|11|11|你也必喝醉，必被埋藏，並因仇敵的緣故尋求避難所。|zh
77|3|11|11|And you will be overcome with wine, you will become feeble; you will be looking for a safe place from those who are fighting against you.|en
