|chapter|sec|no|content|lang
0|1|1|1|當三十年四月初五日，以西結（原文是我）在迦巴魯河邊被擄的人中，天就開了，得見神的異象。|zh
1|1|1|1|Now it came about in the thirtieth year, in the fourth month, on the fifth day of the month, while I was by the river Chebar among those who had been made prisoners, that the heavens were made open and I saw visions of God.|en
2|1|2|2|正是約雅斤王被擄去第五年四月初五日，|zh
3|1|2|2|On the fifth day of the month, in the fifth year after King Jehoiachin had been made a prisoner,|en
4|1|3|3|在迦勒底人之地、迦巴魯河邊，耶和華的話特特臨到布西的兒子祭司以西結；耶和華的靈（原文是手）降在他身上。|zh
5|1|3|3|The word of the Lord came to me, Ezekiel the priest, the son of Buzi, in the land of the Chaldaeans by the river Chebar; and the hand of the Lord was on me there.|en
6|1|4|4|我觀看，見狂風從北方颳來，隨著有一朵包括閃爍火的大雲，周圍有光輝；從其中的火內發出好像光耀的精金；|zh
7|1|4|4|And, looking, I saw a storm-wind coming out of the north, a great cloud with flames of fire coming after one another, and a bright light shining round about it and in the heart of it was something coloured like electrum.|en
8|1|5|5|又從其中顯出四個活物的形像來。他們的形狀是這樣：有人的形像，|zh
9|1|5|5|And in the heart of it were the forms of four living beings. And this was what they were like; they had the form of a man.|en
10|1|6|6|各有四個臉面，四個翅膀。|zh
11|1|6|6|And every one had four faces, and every one of them had four wings.|en
12|1|7|7|他們的腿是直的，腳掌好像牛犢之蹄，都燦爛如光明的銅。|zh
13|1|7|7|And their feet were straight feet; and the under sides of their feet were like the feet of oxen; and they were shining like polished brass.|en
14|1|8|8|在四面的翅膀以下有人的手。這四個活物的臉和翅膀乃是這樣：|zh
15|1|8|8|And they had the hands of a man under their wings; the four of them had faces on their four sides.|en
16|1|9|9|翅膀彼此相接，行走並不轉身，俱各直往前行。|zh
17|1|9|9|They went without turning, every one went straight forward.|en
18|1|10|10|至於臉的形像：前面各有人的臉，右面各有獅子的臉，左面各有牛的臉，後面各有鷹的臉。|zh
19|1|10|10|As for the form of their faces, they had the face of a man, and the four of them had the face of a lion on the right side, and the four of them had the face of an ox on the left side, and the four of them had the face of an eagle.|en
20|1|11|11|各展開上邊的兩個翅膀相接，各以下邊的兩個翅膀遮體。|zh
21|1|11|11|And their wings were separate at the top; two of the wings of every one were joined one to another, and two were covering their bodies.|en
22|1|12|12|他們俱各直往前行。靈往哪裡去，他們就往那裡去，行走並不轉身。|zh
23|1|12|12|Every one of them went straight forward; wherever the spirit was to go they went; they went on without turning.|en
24|1|13|13|至於四活物的形像，就如燒著火炭的形狀，又如火把的形狀。火在四活物中間上去下來，這火有光輝，從火中發出閃電。|zh
25|1|13|13|And between the living beings it was like burning coals of fire, as if flames were going one after the other between the living beings; and the fire was bright, and out of the fire went thunder-flames.|en
26|1|14|14|這活物往來奔走，好像電光一閃。|zh
27|1|14|14|And the living beings went out and came back as quickly as a thunder-flame.|en
28|1|15|15|我正觀看活物的時候，見活物的臉旁各有一輪在地上。|zh
29|1|15|15|Now while I was looking at the four living beings, I saw one wheel on the earth, by the side of the living beings, for the four of them.|en
30|1|16|16|輪的形狀和顏色（原文是作法）好像水蒼玉。四輪都是一個樣式，形狀和作法好像輪中套輪。|zh
31|1|16|16|The form of the wheels and their work was like a beryl; the four of them had the same form and design, and they were like a wheel inside a wheel.|en
32|1|17|17|輪行走的時候，向四方都能直行，並不掉轉。|zh
33|1|17|17|The four of them went straight forward without turning to one side.|en
34|1|18|18|至於輪輞，高而可畏；四個輪輞周圍滿有眼睛。|zh
35|1|18|18|And I saw that they had edges, and their edges, even of the four, were full of eyes round about.|en
36|1|19|19|活物行走，輪也在旁邊行走；活物從地上升，輪也都上升。|zh
37|1|19|19|And when the living beings went on, the wheels went by their side; and when the living beings were lifted up from the earth, the wheels were lifted up.|en
38|1|20|20|靈往哪裡去，活物就往那裡去；活物上升，輪也在活物旁邊上升，因為活物的靈在輪中。|zh
39|1|20|20|Wherever the spirit was to go they went; and the wheels were lifted up by their side: for the spirit of the living beings was in the wheels.|en
40|1|21|21|那些行走，這些也行走；那些站住，這些也站住；那些從地上升，輪也在旁邊上升，因為活物的靈在輪中。|zh
41|1|21|21|When these went on, the others went; and when these came to rest, the others came to rest; and when these were lifted up from the earth, the wheels were lifted up by their side: for the spirit of the living beings was in the wheels.|en
42|1|22|22|活物的頭以上有穹蒼的形像，看著像可畏的水晶，鋪張在活物的頭以上。|zh
43|1|22|22|And over the heads of the living beings there was the form of an arch, looking like ice, stretched out over their heads on high.|en
44|1|23|23|穹蒼以下，活物的翅膀直張，彼此相對；每活物有兩個翅膀遮體。|zh
45|1|23|23|Under the arch their wings were straight, one stretched out to another: every one had two wings covering their bodies on this side and two covering their bodies on that side.|en
46|1|24|24|活物行走的時候，我聽見翅膀的響聲，像大水的聲音，像全能者的聲音，也像軍隊鬨嚷的聲音。活物站住的時候，便將翅膀垂下。|zh
47|1|24|24|And when they went, the sound of their wings was like the sound of great waters to my ears, like the voice of the Ruler of all, a sound like the rushing of an army: when they came to rest they let down their wings.|en
48|1|25|25|在他們頭以上的穹蒼之上有聲音。他們站住的時候，便將翅膀垂下。|zh
49|1|25|25|And there was a voice from the top of the arch which was over their heads: when they came to rest they let down their wings.|en
50|1|26|26|在他們頭以上的穹蒼之上有寶座的形像，彷彿藍寶石；在寶座形像以上有彷彿人的形狀。|zh
51|1|26|26|And on the top of the arch which was over their heads was the form of a king's seat, like a sapphire stone; and on the form of the seat was the form of a man seated on it on high.|en
52|1|27|27|我見從他腰以上有彷彿光耀的精金，周圍都有火的形狀，又見從他腰以下有彷彿火的形狀，周圍也有光輝。|zh
53|1|27|27|And I saw it coloured like electrum, with the look of fire in it and round it, going up from what seemed to be the middle of his body; and going down from what seemed to be the middle of his body I saw what was like fire, and there was a bright light shining round him.|en
54|1|28|28|下雨的日子，雲中虹的形狀怎樣，周圍光輝的形狀也是怎樣。這就是耶和華榮耀的形像。我一看見就俯伏在地，又聽見一位說話的聲音。|zh
55|1|28|28|Like the bow in the cloud on a day of rain, so was the light shining round him. And this is what the glory of the Lord was like. And when I saw it I went down on my face, and the voice of one talking came to my ears.|en
56|2|1|1|他對我說：人子啊，你站起來，我要和你說話。|zh
57|2|1|1|And he said to me, Son of man, get up on your feet, so that I may say words to you.|en
58|2|2|2|他對我說話的時候，靈就進入我裡面，使我站起來，我便聽見那位對我說話的聲音。|zh
59|2|2|2|And at his words the spirit came into me and put me on my feet; and his voice came to my ears.|en
60|2|3|3|他對我說：人子啊，我差你往悖逆的國民以色列人那裡去。他們是悖逆我的，他們和他們的列祖違背我，直到今日。|zh
