|chapter|sec|no|content|lang
0|1|1|1|當烏西雅、約坦、亞哈斯、希西家作猶大王，約阿施的兒子耶羅波安作以色列王的時候，耶和華的話臨到備利的兒子何西阿。|zh
1|1|1|1|The word of the Lord which came to Hosea, the son of Beeri, in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah, and in the days of Jeroboam, the son of Joash, king of Israel.|en
2|1|2|2|耶和華初次與何西阿說話，對他說：你去娶淫婦為妻，也收那從淫亂所生的兒女；因為這地大行淫亂，離棄耶和華。|zh
3|1|2|2|The start of the word of the Lord by Hosea: And the Lord said to Hosea, Go, take for yourself a wife of loose ways, and children of the same, for the land has been untrue to the Lord.|en
4|1|3|3|於是，何西阿去娶了滴拉音的女兒歌篾。這婦人懷孕，給他生了一個兒子。|zh
5|1|3|3|So he took as his wife Gomer, the daughter of Diblaim, and she gave birth to a son.|en
6|1|4|4|耶和華對何西阿說：給他起名叫耶斯列；因為再過片時，我必討耶戶家在耶斯列殺人流血的罪，也必使以色列家的國滅絕。|zh
7|1|4|4|And the Lord said to him, Give him the name of Jezreel, for after a little time I will send punishment for the blood of Jezreel on the line of Jehu, and put an end to the kingdom of Israel.|en
8|1|5|5|到那日，我必在耶斯列平原折斷以色列的弓。|zh
9|1|5|5|And in that day I will let the bow of Israel be broken in the valley of Jezreel.|en
10|1|6|6|歌篾又懷孕生了一個女兒，耶和華對何西阿說：給她起名叫羅路哈瑪（就是不蒙憐憫的意思）；因為我必不再憐憫以色列家，決不赦免他們。|zh
11|1|6|6|And after that she gave birth to a daughter. And the Lord said, Give her the name Lo-ruhamah; for I will not again have mercy on Israel, to give them forgiveness.|en
12|1|7|7|我卻要憐憫猶大家，使他們靠耶和華─他們的神得救，不使他們靠弓、刀、爭戰、馬匹，與馬兵得救。|zh
13|1|7|7|But I will have mercy on Judah and will give them salvation by the Lord their God, but not by the bow or the sword or by fighting or by horses or horsemen.|en
14|1|8|8|歌篾給羅路哈瑪斷奶以後，又懷孕生了一個兒子。|zh
15|1|8|8|Now when Lo-ruhamah had been taken from the breast, the woman gave birth to a son.|en
16|1|9|9|耶和華說：給他起名叫羅阿米（就是非我民的意思）；因為你們不作我的子民，我也不作你們的神。|zh
17|1|9|9|And the Lord said, Give him the name Lo-ammi; for you are not my people, and I will not be your God.|en
18|1|10|10|然而，以色列的人數必如海沙，不可量，不可數。從前在甚麼地方對他們說你們不是我的子民，將來在那裡必對他們說你們是永生神的兒子。|zh
19|1|10|10|But still the number of the children of Israel will be like the sand of the sea, which may not be measured or numbered; and in place of its being said to them, You are not my people, it will be said to them, You are the sons of the living God|en
20|1|11|11|猶大人和以色列人必一同聚集，為自己立一個首領，從這地上去（或譯：從被擄之地上來），因為耶斯列的日子必為大日。|zh
21|1|11|11|And the children of Israel and the children of Judah will come together and take for themselves one head, and will go up from the land, for great will be the day of Jezreel.|en
22|2|1|1|你們要稱你們的弟兄為阿米（就是我民的意思），稱你們的姊妹為路哈瑪（就是蒙憐憫的意思）。|zh
23|2|1|1|Say to your brothers, Ammi; and to your sisters, Ruhamah.|en
24|2|2|2|你們要與你們的母親大大爭辯；因為她不是我的妻子，我也不是她的丈夫。叫她除掉臉上的淫像和胸間的淫態，|zh
25|2|2|2|Take up the cause against your mother, take it up, for she is not my wife, and I am not her husband; let her put away her loose ways from her face, and her false ways from between her breasts;|en
26|2|3|3|免得我剝她的衣服，使她赤體，與才生的時候一樣，使她如曠野，如乾旱之地，因渴而死。|zh
