|chapter|sec|no|content|lang
0|1|1|1|約書亞死後，以色列人求問耶和華說：我們中間誰當首先上去攻擊迦南人，與他們爭戰？|zh
1|1|1|1|Now after the death of Joshua, the children of Israel made request to the Lord, saying, Who is to go up first to make war for us against the Canaanites?|en
2|1|2|2|耶和華說：猶大當先上去，我已將那地交在他手中。|zh
3|1|2|2|And the Lord said, Judah is to go up: see, I have given the land into his hands.|en
4|1|3|3|猶大對他哥哥西緬說：請你同我到拈鬮所得之地去，好與迦南人爭戰；以後我也同你到你拈鬮所得之地去。於是西緬與他同去。|zh
5|1|3|3|Then Judah said to Simeon his brother, Come up with me into my heritage, so that we may make war against the Canaanites; and I will then go with you into your heritage. So Simeon went with him.|en
6|1|4|4|猶大就上去；耶和華將迦南人和比利洗人交在他們手中。他們在比色擊殺了一萬人，|zh
7|1|4|4|And Judah went up; and the Lord gave the Canaanites and the Perizzites into their hands; and they overcame ten thousand of them in Bezek.|en
8|1|5|5|又在那裡遇見亞多尼比色，與他爭戰，殺敗迦南人和比利洗人。|zh
9|1|5|5|And they came across Adoni-zedek, and made war on him; and they overcame the Canaanites and the Perizzites.|en
10|1|6|6|亞多尼比色逃跑；他們追趕，拿住他，砍斷他手腳的大姆指。|zh
11|1|6|6|But Adoni-zedek went in flight; and they went after him and overtook him, and had his thumbs and his great toes cut off.|en
12|1|7|7|亞多尼比色說：從前有七十個王，手腳的大姆指都被我砍斷，在我桌子底下拾取零碎食物。現在神按著我所行的報應我了。於是他們將亞多尼比色帶到耶路撒冷，他就死在那裡。|zh
13|1|7|7|And Adoni-zedek said, Seventy kings, whose thumbs and great toes had been cut off, got broken meat under my table: as I have done, so has God done to me in full. And they took him to Jerusalem, and he came to his end there.|en
14|1|8|8|猶大人攻打耶路撒冷，將城攻取，用刀殺了城內的人，並且放火燒城。|zh
15|1|8|8|Then the children of Judah made an attack on Jerusalem, and took it, burning down the town after they had put its people to the sword without mercy.|en
16|1|9|9|後來猶大人下去，與住山地、南地，和高原的迦南人爭戰。|zh
17|1|9|9|After that the children of Judah went down to make war on the Canaanites living in the hill-country and in the south and in the lowlands.|en
18|1|10|10|猶大人去攻擊住希伯崙的迦南人，殺了示篩、亞希幔、撻買。希伯崙從前名叫基列亞巴。|zh
19|1|10|10|And Caleb went against the Canaanites of Hebron: (now in earlier times Hebron was named Kiriath-arba:) and he put Sheshai and Ahiman and Talmai to the sword.|en
20|1|11|11|他們從那裡去攻擊底壁的居民；底壁從前名叫基列西弗。|zh
21|1|11|11|And from there he went up against the people of Debir. (Now the name of Debir in earlier times was Kiriath-sepher.)|en
22|1|12|12|迦勒說：誰能攻打基列西弗，將城奪取，我就把我女兒押撒給他為妻。|zh
23|1|12|12|And Caleb said, I will give Achsah, my daughter, as wife to the man who overcomes Kiriath-sepher and takes it.|en
24|1|13|13|迦勒兄弟基納斯的兒子俄陀聶奪取了那城，迦勒就把女兒押撒給他為妻。|zh
25|1|13|13|And Othniel, the son of Kenaz, Caleb's younger brother, took it; so he gave him his daughter Achsah for his wife.|en
26|1|14|14|押撒過門的時候，勸丈夫向他父親求一塊田。押撒一下驢，迦勒問他說：你要甚麼？|zh
27|1|14|14|Now when she came to him, he put into her mind the idea of requesting a field from her father: and she got down from her ass; and Caleb said to her, What is it?|en
28|1|15|15|他說：求你賜福給我，你既將我安置在南地，求你也給我水泉。迦勒就把上泉下泉賜給他。|zh
29|1|15|15|And she said to him, Give me a blessing; because you have put me in a dry south-land, now give me springs of water. So Caleb gave her the higher spring and the lower spring.|en
30|1|16|16|摩西的內兄（或譯：岳父）是基尼人，他的子孫與猶大人一同離了棕樹城，往亞拉得以南的猶大曠野去，就住在民中。|zh
31|1|16|16|Now Hobab the Kenite, Moses' father-in-law, had come up out of the town of palm-trees, with the children of Judah, into the waste land of Arad; and he went and was living among the Amalekites;|en
32|1|17|17|猶大和他哥哥西緬同去，擊殺了住洗法的迦南人，將城盡行毀滅，那城的名便叫何珥瑪。|zh
33|1|17|17|And Judah went with Simeon, his brother, and overcame the Canaanites living in Zephath, and put it under the curse; and he gave the town the name of Hormah.|en
34|1|18|18|猶大又取了迦薩和迦薩的四境，亞實基倫和亞實基倫的四境，以革倫和以革倫的四境。|zh
35|1|18|18|Then Judah took Gaza and its limit, and Ashkelon and its limit, and Ekron and its limit.|en
36|1|19|19|耶和華與猶大同在，猶大就趕出山地的居民，只是不能趕出平原的居民，因為他們有鐵車。|zh
37|1|19|19|And the Lord was with Judah; and he took the hill-country for his heritage; but he was unable to make the people of the valley go out, for they had war-carriages of iron.|en
