|chapter|sec|no|content|lang
0|1|1|1|作神和主耶穌基督僕人的雅各請散住十二個支派之人的安。|zh
1|1|1|1|James, a servant of God and of the Lord Jesus Christ, sends words of love to the twelve tribes of the Jews living in all parts of the earth.|en
2|1|2|2|我的弟兄們，你們落在百般試煉中，都要以為大喜樂；|zh
3|1|2|2|Let it be all joy to you, my brothers, when you undergo tests of every sort;|en
4|1|3|3|因為知道你們的信心經過試驗，就生忍耐。|zh
5|1|3|3|Because you have the knowledge that the testing of your faith gives you the power of going on in hope;|en
6|1|4|4|但忍耐也當成功，使你們成全、完備，毫無缺欠。|zh
7|1|4|4|But let this power have its full effect, so that you may be made complete, needing nothing.|en
8|1|5|5|你們中間若有缺少智慧的，應當求那厚賜與眾人、也不斥責人的神，主就必賜給他。|zh
9|1|5|5|But if any man among you is without wisdom, let him make his request to God, who gives freely to all without an unkind word, and it will be given to him.|en
10|1|6|6|只要憑著信心求，一點不疑惑；因為那疑惑的人，就像海中的波浪，被風吹動翻騰。|zh
11|1|6|6|Let him make his request in faith, doubting nothing; for he who has doubt in his heart is like the waves of the sea, which are troubled by the driving of the wind.|en
12|1|7|7|這樣的人不要想從主那裡得甚麼。|zh
13|1|7|7|Let it not seem to such a man that he will get anything from the Lord;|en
14|1|8|8|心懷二意的人，在他一切所行的路上都沒有定見。|zh
15|1|8|8|For there is a division in his mind, and he is uncertain in all his ways.|en
16|1|9|9|卑微的弟兄升高，就該喜樂；|zh
17|1|9|9|But let the brother of low position be glad that he is lifted up;|en
18|1|10|10|富足的降卑，也該如此；因為他必要過去，如同草上的花一樣。|zh
19|1|10|10|But the man of wealth, that he is made low; because like the flower of the grass he will come to his end.|en
20|1|11|11|太陽出來，熱風颳起，草就枯乾，花也凋謝，美容就消沒了；那富足的人，在他所行的事上也要這樣衰殘。|zh
21|1|11|11|For when the sun comes up with its burning heat, the grass gets dry and the grace of its form is gone with the falling flower; so the man of wealth comes to nothing in his ways.|en
22|1|12|12|忍受試探的人是有福的，因為他經過試驗以後，必得生命的冠冕；這是主應許給那些愛他之人的。|zh
23|1|12|12|There is a blessing on the man who undergoes testing; because, if he has God's approval, he will be given the crown of life, which the Lord has said he will give to those who have love for him.|en
24|1|13|13|人被試探，不可說：「我是被神試探」；因為神不能被惡試探，他也不試探人。|zh
25|1|13|13|Let no man say when he is tested, I am tested by God; for it is not possible for God to be tested by evil, and he himself puts no man to such a test:|en
26|1|14|14|但各人被試探，乃是被自己的私慾牽引誘惑的。|zh
27|1|14|14|But every man is tested when he is turned out of the right way by the attraction of his desire.|en
28|1|15|15|私慾既懷了胎，就生出罪來；罪既長成，就生出死來。|zh
29|1|15|15|Then when its time comes, desire gives birth to sin; and sin, when it is of full growth, gives birth to death.|en
30|1|16|16|我親愛的弟兄們，不要看錯了。|zh
31|1|16|16|Do not be turned from the right way, dear brothers.|en
32|1|17|17|各樣美善的恩賜和各樣全備的賞賜都是從上頭來的，從眾光之父那裡降下來的；在他並沒有改變，也沒有轉動的影兒。|zh
33|1|17|17|Every good and true thing is given to us from heaven, coming from the Father of lights, with whom there is no change or any shade made by turning.|en
34|1|18|18|他按自己的旨意，用真道生了我們，叫我們在他所造的萬物中好像初熟的果子。|zh
35|1|18|18|Of his purpose he gave us being, by his true word, so that we might be, in a sense, the first-fruits of all the things which he had made.|en
36|1|19|19|我親愛的弟兄們，這是你們所知道的，但你們各人要快快的聽，慢慢的說，慢慢的動怒，|zh
37|1|19|19|You have knowledge of this, dear brothers. But let every man be quick in hearing, slow in words, slow to get angry;|en
38|1|20|20|因為人的怒氣並不成就神的義。|zh
39|1|20|20|For the righteousness of God does not come about by the wrath of man.|en
40|1|21|21|所以，你們要脫去一切的污穢和盈餘的邪惡，存溫柔的心領受那所栽種的道，就是能救你們靈魂的道。|zh
41|1|21|21|For this reason, putting away all dirty behaviour and the overweight of evil, take into your souls without pride the word which, being planted there, is able to give you salvation.|en
42|1|22|22|只是你們要行道，不要單單聽道，自己欺哄自己。|zh
43|1|22|22|But be doers of the word, and not only hearers of it, blinding yourselves with false ideas.|en
44|1|23|23|因為聽道而不行道的，就像人對著鏡子看自己本來的面目，|zh
45|1|23|23|Because if any man is a hearer of the word and not a doer, he is like a man looking at his natural face in a glass;|en
46|1|24|24|看見，走後，隨即忘了他的相貌如何。|zh
47|1|24|24|For after looking at himself he goes away, and in a short time he has no memory of what he was like.|en
48|1|25|25|惟有詳細察看那全備、使人自由之律法的，並且時常如此，這人既不是聽了就忘，乃是實在行出來，就在他所行的事上必然得福。|zh
49|1|25|25|But he who goes on looking into the true law which makes him free, being not a hearer without memory but a doer putting it into effect, this man will have a blessing on his acts.|en
50|1|26|26|若有人自以為虔誠，卻不勒住他的舌頭，反欺哄自己的心，這人的虔誠是虛的。|zh
51|1|26|26|If a man seems to have religion and has no control over his tongue but lets himself be tricked by what is false, this man's religion is of no value.|en
52|1|27|27|在神我們的父面前，那清潔沒有玷污的虔誠，就是看顧在患難中的孤兒寡婦，並且保守自己不沾染世俗。|zh
53|1|27|27|The religion which is holy and free from evil in the eyes of our God and Father is this: to take care of children who have no fathers and of widows who are in trouble, and to keep oneself untouched by the world.|en
54|2|1|1|我的弟兄們，你們信奉我們榮耀的主耶穌基督，便不可按著外貌待人。|zh
55|2|1|1|My brothers, if you have the faith of our Lord Jesus Christ of glory, do not take a man's position into account.|en
56|2|2|2|若有一個人帶著金戒指，穿著華美衣服，進你們的會堂去；又有一個窮人穿著骯髒衣服也進去；|zh
57|2|2|2|For if a man comes into your Synagogue in fair clothing and with a gold ring, and a poor man comes in with dirty clothing,|en
58|2|3|3|你們就重看那穿華美衣服的人，說「請坐在這好位上」；又對那窮人說：「你站在那裡」，或「坐在我腳凳下邊。」|zh
59|2|3|3|And you do honour to the man in fair clothing and say, Come here and take this good place; and you say to the poor man, Take up your position there, or be seated at my feet;|en
60|2|4|4|這豈不是你們偏心待人，用惡意斷定人麼？|zh
61|2|4|4|Is there not a division in your minds? have you not become judges with evil thoughts?|en
62|2|5|5|我親愛的弟兄們，請聽，神豈不是揀選了世上的貧窮人，叫他們在信上富足，並承受他所應許給那些愛他之人的國麼？|zh
63|2|5|5|Give ear, my dear brothers; are not those who are poor in the things of this world marked out by God to have faith as their wealth, and for their heritage the kingdom which he has said he will give to those who have love for him?|en
64|2|6|6|你們反倒羞辱貧窮人。那富足人豈不是欺壓你們、拉你們到公堂去麼？|zh
65|2|6|6|But you have put the poor man to shame. Are not the men of wealth rulers over you? do they not take you by force before their judges?|en
66|2|7|7|他們不是褻瀆你們所敬奉（所敬奉：或作被稱）的尊名麼？|zh
67|2|7|7|Do they not say evil of the holy name which was given to you?|en
68|2|8|8|經上記著說：「要愛人如己。」你們若全守這至尊的律法，才是好的。|zh
69|2|8|8|But if you keep the greatest law of all, as it is given in the holy Writings, Have love for your neighbour as for yourself, you do well:|en
70|2|9|9|但你們若按外貌待人，便是犯罪，被律法定為犯法的。|zh
71|2|9|9|But if you take a man's position into account, you do evil, and are judged as evil-doers by the law.|en
72|2|10|10|因為凡遵守全律法的，只在一條上跌倒，他就是犯了眾條。|zh
73|2|10|10|For anyone who keeps all the law, but makes a slip in one point, is judged to have gone against it all.|en
74|2|11|11|原來那說「不可姦淫」的，也說「不可殺人」；你就是不姦淫，卻殺人，仍是成了犯律法的。|zh
75|2|11|11|For he who said, Do not be untrue in married life, is the same who said, Put no man to death. Now if you are not untrue in married life, but you put a man to death, the law is broken.|en
76|2|12|12|你們既然要按使人自由的律法受審判，就該照這律法說話行事。|zh
77|2|12|12|Let your words and your acts be those of men who are to be judged by the law which makes free.|en
78|2|13|13|因為那不憐憫人的，也要受無憐憫的審判；憐憫原是向審判誇勝。|zh
79|2|13|13|For the man who has had no mercy will be judged without mercy, but mercy takes pride in overcoming judging.|en
